регион,район,город,тип,население,широта,долгота,расстояние
Магаданская область,Ольский,Радужный,п,137,59.7008333333333,150.155,39
Магаданская область,Ольский,Гадля,с,425,59.665,151.3225,43
Магаданская область,Ольский,Ола,рп,6117,59.5805555555556,151.300277777778,49
Магаданская область,Ольский,Клепка,п,549,59.7541666666667,151.490833333333,46
Магаданская область,Магадан,Сокол,пгт,4805,59.9186111111111,150.745,1
Магаданская область,Хасынский,Хасын,п,373,60.0872222222222,150.892777777778,21
Магаданская область,Хасынский,Стекольный,п,1663,60.0438888888889,150.735277777778,14
Магаданская область,Хасынский,Палатка,п,3579,60.1133333333333,150.946388888889,25
Магаданская область,Хасынский,Сплавная,с,45,59.8661111111111,150.584722222222,9
Магаданская область,Тенькинский,Мадаун,п,134,60.6063888888889,150.694722222222,77
Магаданская область,Магадан,Уптар,пгт,2085,59.8983333333333,150.870277777778,8
Магаданская область,Ольский,Армань,пгт,802,59.6747222222222,150.126944444444,42
Магаданская область,Магадан,Магадан,г,91781,59.5605555555556,150.798888888889,39
