регион,район,город,тип,население,широта,долгота,расстояние
Хабаровский край,Николаевский,Иннокентьевка,с,404,53.2313888888889,140.321666666667,94
Хабаровский край,Ульчский,Большие Санники,с,304,51.6455555555556,140.461666666667,81
Хабаровский край,Николаевский,Джаоре с,с,0,52.6583333333333,141.283611111111,64
Хабаровский край,Ульчский,Белоглинка,с,51,52.9294444444444,139.857222222222,72
Хабаровский край,Ульчский,Монгол,с,85,52.1313888888889,140.374444444444,28
Хабаровский край,Николаевский,Маго,п,1125,53.2516666666667,140.1775,98
Хабаровский край,Ульчский,Кизи,с,2,51.5791666666667,140.529722222222,89
Хабаровский край,Ульчский,Сусанино,с,701,52.7938888888889,140.073888888889,52
Хабаровский край,Ульчский,Мариинское,с,477,51.7272222222222,140.178611111111,75
Хабаровский край,Ульчский,Воскресенское,с,17,52.8547222222222,139.995555555556,60
Хабаровский край,Ульчский,Нижняя Гавань,с,178,52.4388888888889,140.424166666667,6
Хабаровский край,Ульчский,Тыр,п,466,52.9294444444444,139.77,76
Хабаровский край,Ульчский,Кольчем,с,42,52.2291666666667,140.179166666667,25
Хабаровский край,Николаевский,Оремиф,с,219,53.0091666666667,141.097222222222,82
Хабаровский край,Ульчский,Булава,с,1458,51.9380555555556,140.408888888889,49
Хабаровский край,Николаевский,Алеевка,с,57,52.8375,141.193611111111,71
Хабаровский край,Николаевский,Алексеевка,с,8,52.8602777777778,141.230555555556,75
Хабаровский край,Ульчский,Тулинское,с,1,51.6811111111111,140.642777777778,79
Хабаровский край,Николаевский,Виданово,с,26,51.9977777777778,141.221388888889,67
Хабаровский край,Ульчский,Савинское,с,282,52.1575,140.373888888889,25
Хабаровский край,Ульчский,Ново-Троицкое,с,0,53.1902777777778,139.876111111111,97
Хабаровский край,Николаевский,Красное,с,822,53.1155555555556,140.858333333333,86
Хабаровский край,Николаевский,Свободное,с,0,53.0277777777778,141.231111111111,89
Хабаровский край,Ульчский,Чильба,с,37,51.6333333333333,140.580277777778,83
Хабаровский край,Николаевский,Николаевск-на-Амуре,г,18159,53.1461111111111,140.711111111111,86
Хабаровский край,Ульчский,Кальма,с,83,52.9725,139.735833333333,81
Хабаровский край,Николаевский,Чныррах,п,261,53.0827777777778,140.878611111111,83
Хабаровский край,Ульчский,Дуди,с,279,52.0927777777778,140.201944444444,36
Хабаровский край,Ульчский,Богородское,с,3292,52.3675,140.436944444444,1
Хабаровский край,Ульчский,Мариинский Рейд,п,406,51.7044444444444,140.202777777778,77
Хабаровский край,Ульчский,Софийск,с,692,51.5708333333333,139.8475,99
Хабаровский край,Николаевский,Тнейвах,с,20,52.9922222222222,141.148888888889,82
Хабаровский край,Ульчский,Солонцы,с,394,52.2536111111111,140.245277777778,19
Хабаровский край,Николаевский,Нижнее Пронге,п,248,52.8558333333333,141.201666666667,73
Хабаровский край,Николаевский,Нигирь,с,286,52.1197222222222,141.286111111111,64
Хабаровский край,Николаевский,Подгорное,с,12,53.1022222222222,140.758888888889,82
Хабаровский край,Ульчский,Тахта,с,583,53.1291666666667,139.843611111111,92
Хабаровский край,Николаевский,Озерпах,п,206,53.0425,141.247777777778,91
Хабаровский край,Николаевский,Сахаровка,с,48,53.2480555555556,140.276944444444,97
Хабаровский край,Ульчский,Ухта,с,132,52.3766666666667,140.3975,3
Хабаровский край,Ульчский,Аннинские Минеральные Воды,с,195,52.7669444444444,140.170833333333,46
Хабаровский край,Николаевский,Константиновка,с,473,53.08,140.780833333333,80
