регион,район,город,тип,население,широта,долгота,расстояние
Хабаровский край,Николаевский,Иннокентьевка,с,404,53.2313888888889,140.321666666667,23
Хабаровский край,Николаевский,Джаоре с,с,0,52.6583333333333,141.283611111111,69
Хабаровский край,Ульчский,Белоглинка,с,51,52.9294444444444,139.857222222222,58
Хабаровский край,Николаевский,Маго,п,1125,53.2516666666667,140.1775,33
Хабаровский край,Ульчский,Сусанино,с,701,52.7938888888889,140.073888888889,55
Хабаровский край,Николаевский,Многовершинный,рп,2024,53.9336111111111,139.924166666667,99
Хабаровский край,Николаевский,Макаровка,с,5,53.2194444444444,141.412777777778,51
Хабаровский край,Ульчский,Воскресенское,с,17,52.8547222222222,139.995555555556,55
Хабаровский край,Николаевский,Власьево,с,7,53.4258333333333,140.901944444444,34
Хабаровский край,Ульчский,Нижняя Гавань,с,178,52.4388888888889,140.424166666667,81
Хабаровский край,Ульчский,Тыр,п,466,52.9294444444444,139.77,64
Хабаровский край,Николаевский,Пуир,п,192,53.1658333333333,141.434166666667,52
Хабаровский край,Николаевский,Оремиф,с,219,53.0091666666667,141.097222222222,33
Хабаровский край,Николаевский,Чля,с,458,53.5425,140.194166666667,52
Хабаровский край,Николаевский,Литке,с,7,53.9527777777778,140.326388888889,91
Хабаровский край,Николаевский,Алеевка,с,57,52.8375,141.193611111111,50
Хабаровский край,Николаевский,Алексеевка,с,8,52.8602777777778,141.230555555556,50
Хабаровский край,Николаевский,Байдуково,с,2,53.2994444444444,141.473611111111,57
Хабаровский край,Николаевский,Орель-Чля,с,36,53.3641666666667,139.835833333333,59
Хабаровский край,Ульчский,Ново-Троицкое,с,0,53.1902777777778,139.876111111111,51
Хабаровский край,Николаевский,Гырман,с,64,53.2908333333333,140.114444444444,38
Хабаровский край,Николаевский,Красное,с,822,53.1155555555556,140.858333333333,14
Хабаровский край,Николаевский,Свободное,с,0,53.0277777777778,141.231111111111,41
Хабаровский край,Николаевский,Николаевск-на-Амуре,г,18159,53.1461111111111,140.711111111111,4
Хабаровский край,Ульчский,Кальма,с,83,52.9725,139.735833333333,64
Хабаровский край,Николаевский,Чныррах,п,261,53.0827777777778,140.878611111111,17
Хабаровский край,Ульчский,Богородское,с,3292,52.3675,140.436944444444,88
Хабаровский край,Николаевский,Тнейвах,с,20,52.9922222222222,141.148888888889,37
Хабаровский край,Николаевский,Нижнее Пронге,п,248,52.8558333333333,141.201666666667,49
Хабаровский край,Николаевский,Подгорное,с,12,53.1022222222222,140.758888888889,9
Хабаровский край,Ульчский,Тахта,с,583,53.1291666666667,139.843611111111,54
Хабаровский край,Николаевский,Озерпах,п,206,53.0425,141.247777777778,41
Хабаровский край,Николаевский,Сахаровка,с,48,53.2480555555556,140.276944444444,27
Хабаровский край,Ульчский,Ухта,с,132,52.3766666666667,140.3975,88
Хабаровский край,Ульчский,Аннинские Минеральные Воды,с,195,52.7669444444444,140.170833333333,53
Хабаровский край,Николаевский,Константиновка,с,473,53.08,140.780833333333,11
