регион,район,город,тип,население,широта,долгота,расстояние
Камчатский край,Елизовский район,Начики,п,313,53.1222222222222,157.747222222222,47
Камчатский край,Елизовский район,Новый,п,1329,53.0972222222222,158.535277777778,9
Камчатский край,Елизовский район,Красный,п,859,53.1291666666667,158.496111111111,5
Камчатский край,Елизовский район,Раздольный,п,2421,53.2691666666667,158.287777777778,15
Камчатский край,Елизовский район,Елизово,г,39198,53.1830555555556,158.388333333333,4
Камчатский край,Елизовский район,Кеткино,п,291,53.2652777777778,158.323611111111,13
Камчатский край,Елизовский район,Пионерский,п,2805,53.0891666666667,158.553333333333,11
Камчатский край,Елизовский район,Березняки,п,298,53.2644444444444,158.083055555556,26
Камчатский край,Елизовский район,Термальный,п,1965,52.9361111111111,158.228888888889,30
Камчатский край,Елизовский район,Светлый,п,982,53.0819444444444,158.578611111111,12
Камчатский край,Елизовский район,Николаевка,с,1809,53.0466666666667,158.333611111111,15
Камчатский край,Елизовский район,Зеленый,п,734,53.2772222222222,158.1825,21
Камчатский край,Елизовский район,Южные Коряки,с,426,53.2652777777778,158.131666666667,23
Камчатский край,Елизовский район,Коряки,с,2741,53.2791666666667,158.211388888889,20
Камчатский край,Елизовский район,Сокоч,п,841,53.1527777777778,157.691388888889,51
Камчатский край,Вилючинский городской округ,Вилючинск,г,21979,52.9069444444444,158.418333333333,29
Камчатский край,Елизовский район,Пиначево,с,70,53.3480555555556,158.389722222222,20
Камчатский край,Елизовский район,Ганалы,с,1,53.6958333333333,157.621944444444,80
Камчатский край,Елизовский район,Паратунка,с,1618,52.9622222222222,158.254166666667,26
Камчатский край,Елизовский район,Двуречье,п,285,53.1394444444444,158.494722222222,4
Камчатский край,Елизовский район,Дальний,п,76,53.18,157.634722222222,54
Камчатский край,Елизовский район,Северные Коряки,с,152,53.3544444444444,158.206944444444,26
Камчатский край,Елизовский район,Нагорный,п,1425,53.1227777777778,158.515,6
Камчатский край,Елизовский район,Сосновка,с,955,53.0836111111111,158.3,14
Камчатский край,Елизовский район,Малка,с,21,53.3325,157.472777777778,67
Камчатский край,Петропавловск-Камчатский городской округ,Петропавловск-Камчатский,г,181181,53.0369444444444,158.655833333333,20
Камчатский край,Елизовский район,Крутобереговый,п,154,53.0811111111111,158.567777777778,12
Камчатский край,Елизовский район,Лесной,п,903,53.2566666666667,158.027222222222,30
Камчатский край,Елизовский район,Вулканный,рп,1481,53.095,158.346944444444,10
