регион,район,город,тип,население,широта,долгота,расстояние
Сахалинская область,городской округ Охинский,Пильтун-2,с,5,52.7069444444444,143.106388888889,91
Сахалинская область,городской округ Охинский,Сабо,с,3,53.1563888888889,143.055555555556,41
Сахалинская область,городской округ Охинский,Тунгор,с,501,53.3886111111111,142.955555555556,15
Сахалинская область,городской округ Охинский,Некрасовка,с,782,53.6833333333333,142.627777777778,24
Сахалинская область,городской округ Охинский,Эхаби,с,86,53.5111111111111,142.968611111111,5
Сахалинская область,городской округ Охинский,Лагури,п,0,53.5786111111111,142.762777777778,10
Сахалинская область,городской округ Охинский,Колендо,с,0,53.7783333333333,142.7875,29
Сахалинская область,городской округ Охинский,Оха,г,20391,53.5844444444444,142.947222222222,8
Сахалинская область,городской округ Охинский,Восточное,с,160,53.49,143.0675,12
Сахалинская область,городской округ Охинский,Москальво,с,175,53.5819444444444,142.507222222222,25
Сахалинская область,Городской округ Ногликский,Морской Пильтун,с,0,52.8841666666667,143.300833333333,75
