регион,район,город,тип,население,широта,долгота,расстояние
Сахалинская область,Углегорский городской округ,Никольское,с,176,48.9869444444444,142.135555555556,22
Сахалинская область,Углегорский городской округ,Орлово,с,15,48.8405555555556,141.929722222222,40
Сахалинская область,Томаринский городской округ,Красногорск,с,2417,48.4069444444444,142.096944444444,87
Сахалинская область,городской округ Смирныховский,Пильво,с,0,50.0427777777778,142.178055555556,95
Сахалинская область,Углегорский городской округ,Белые Ключи,с,2,49.6644444444444,142.315277777778,55
Сахалинская область,городской округ Смирныховский,Ельники,с,37,49.6852777777778,142.845,77
Сахалинская область,Поронайский городской округ,Вахрушев,пгт,1722,48.995,142.858888888889,60
Сахалинская область,Томаринский городской округ,Айнское,с,22,48.5677777777778,142.193055555556,69
Сахалинская область,Макаровский городской округ,Горное,с,2,48.7505555555556,142.815833333333,72
Сахалинская область,Углегорский городской округ,Бошняково,с,647,49.6508333333333,142.175833333333,51
Сахалинская область,Углегорский городской округ,Лесогорское,с,244,49.4419444444444,142.125,28
Сахалинская область,Углегорский городской округ,Прудное,с,9,48.9433333333333,142.191388888889,28
Сахалинская область,Углегорский городской округ,Ударное,с,2,49.1152777777778,142.136388888889,9
Сахалинская область,Томаринский городской округ,Заречное,с,109,48.3866666666667,142.118055555556,89
Сахалинская область,городской округ Смирныховский,Рощино,с,260,49.9572222222222,142.766388888889,98
Сахалинская область,городской округ Смирныховский,Буюклы,с,908,49.5444444444444,142.869722222222,69
Сахалинская область,Поронайский городской округ,Забайкалец,с,160,49.36,142.865,59
Сахалинская область,Томаринский городской округ,Парусное,с,131,48.3241666666667,142.158888888889,96
Сахалинская область,Углегорский городской округ,Медвежье,с,59,48.8961111111111,142.269166666667,35
Сахалинская область,Томаринский городской округ,Лопатино,с,0,48.3925,142.255833333333,89
Сахалинская область,городской округ Смирныховский,Смирных,пгт,7818,49.7411111111111,142.832777777778,81
Сахалинская область,Макаровский городской округ,Поречье,с,318,48.5705555555556,142.750833333333,84
Сахалинская область,Углегорский городской округ,Ольховка,с,242,49.0616666666667,142.104166666667,14
Сахалинская область,Углегорский городской округ,Краснополье,с,511,48.9419444444444,142.213611111111,29
Сахалинская область,Поронайский городской округ,Восток,с,1957,48.9805555555556,142.916388888889,65
Сахалинская область,Углегорский городской округ,Приозерное,с,1,49.1891666666667,142.3,15
Сахалинская область,городской округ Смирныховский,Кошевое,с,7,49.5963888888889,142.811666666667,69
Сахалинская область,городской округ Смирныховский,Победино,с,864,49.8380555555556,142.813888888889,89
Сахалинская область,Поронайский городской округ,Леонидово,с,974,49.2813888888889,142.870555555556,58
Сахалинская область,Углегорский городской округ,Надеждино,с,0,49.2736111111111,142.075555555556,9
Сахалинская область,городской округ Смирныховский,Раздольное,с,14,49.5855555555556,142.919722222222,74
Сахалинская область,Макаровский городской округ,Гребенское,с,2,48.4880555555556,142.721666666667,91
Сахалинская область,Макаровский городской округ,Макаров,г,6393,48.625,142.778888888889,80
Сахалинская область,Углегорский городской округ,Тельновское,с,72,49.3886111111111,142.120555555556,22
Сахалинская область,городской округ Смирныховский,Южная-Хандаса,с,1,49.9702777777778,142.780833333333,100
Сахалинская область,Макаровский городской округ,Новое,с,537,48.8852777777778,142.943333333333,71
Сахалинская область,Углегорский городской округ,Ольшанка,с,95,48.8430555555556,141.949444444444,39
Сахалинская область,Углегорский городской округ,Поречье,с,189,48.8833333333333,142.006111111111,34
Сахалинская область,Макаровский городской округ,Туманово,с,0,48.725,142.838055555556,75
Сахалинская область,Поронайский городской округ,Лермонтовка,с,18,48.9780555555556,142.967777777778,68
Сахалинская область,Томаринский городской округ,Северное,с,1,48.4458333333333,142.135833333333,82
Сахалинская область,Углегорский городской округ,Шахтерск,пгт,6355,49.1675,142.120277777778,3
Сахалинская область,Углегорский городской округ,Углегорск,г,8687,49.0816666666667,142.069166666667,12
Сахалинская область,городской округ Смирныховский,Орлово,с,63,49.7469444444444,142.9725,89
Сахалинская область,Поронайский городской округ,Малиновка,с,129,49.4638888888889,142.906388888889,67
Сахалинская область,Поронайский городской округ,Майское,с,76,49.2922222222222,142.886388888889,59
Сахалинская область,Поронайский городской округ,Гастелло,с,763,49.1022222222222,142.945833333333,63
Сахалинская область,Поронайский городской округ,Матросово,с,63,49.4627777777778,142.858888888889,63
Сахалинская область,Поронайский городской округ,Тихменево,с,320,49.2044444444444,142.891944444444,58
