регион,район,город,тип,население,широта,долгота,расстояние
Сахалинская область,Тымовский городской округ,Славы,с,156,51.0330555555556,142.636111111111,90
Сахалинская область,Тымовский городской округ,Горки,с,0,51.1861111111111,142.661666666667,74
Сахалинская область,Тымовский городской округ,Усково,с,33,50.9575,142.650555555556,98
Сахалинская область,Тымовский городской округ,Чир-Унвд,с,213,51.2013888888889,142.686388888889,72
Сахалинская область,Городской округ Ногликский,Ноглики,пгт,10151,51.7902777777778,143.129444444444,1
Сахалинская область,Городской округ Ногликский,Даги,с,0,52.1325,143.022222222222,39
Сахалинская область,Тымовский городской округ,Ульва,с,0,51.3205555555556,142.679722222222,60
Сахалинская область,Городской округ Ногликский,Катангли,с,53,51.7155555555556,143.224166666667,9
Сахалинская область,городской округ Александровск-Сахалинский район,Танги,с,73,51.24,142.189166666667,89
Сахалинская область,городской округ Александровск-Сахалинский район,Мангидай,с,43,51.0966666666667,142.261666666667,97
Сахалинская область,Тымовский городской округ,Арги-Паги,с,717,51.3475,142.729444444444,56
Сахалинская область,Городской округ Ногликский,Вал,с,674,52.3402777777778,143.060555555556,62
Сахалинская область,Городской округ Ногликский,Эвай,с,0,52.2497222222222,143.053333333333,52
Сахалинская область,Тымовский городской округ,Березовая Поляна,с,0,51.0008333333333,142.640555555556,93
Сахалинская область,Городской округ Ногликский,Ныш-2,с,5,51.4933333333333,142.789166666667,40
Сахалинская область,Городской округ Ногликский,Венское,с,2,51.9444444444444,143.107222222222,18
Сахалинская область,Тымовский городской округ,Молодежное,с,650,51.0175,142.651944444444,91
Сахалинская область,Городской округ Ногликский,Чайво,с,0,52.3613888888889,143.1925,64
Сахалинская область,Городской округ Ногликский,Ныш,с,443,51.5352777777778,142.755277777778,38
Сахалинская область,Тымовский городской округ,Адо-Тымово,с,460,51.1358333333333,142.676944444444,79
Сахалинская область,Тымовский городской округ,Иркир,с,49,51.2472222222222,142.674166666667,67
Сахалинская область,Городской округ Ногликский,Горячие Ключи,с,4,52.0416666666667,143.083888888889,28
Сахалинская область,городской округ Александровск-Сахалинский район,Хоэ,с,309,51.3197222222222,142.181388888889,84
Сахалинская область,Городской округ Ногликский,Комрво,с,1,51.1105555555556,143.563333333333,80
