регион,район,город,тип,население,широта,долгота,расстояние
Сахалинская область,городской округ Город Южно-Сахалинск,Ключи,с,485,47.0816666666667,142.661111111111,22
Сахалинская область,Анивский городской округ,Огоньки,с,432,46.7791666666667,142.391111111111,27
Сахалинская область,Невельский городской округ,Амурское,с,29,46.5994444444444,141.829722222222,74
Сахалинская область,Холмский городской округ,Совхозное,с,156,47.1558333333333,142.088611111111,56
Сахалинская область,Холмский городской округ,Бамбучек,с,19,46.9416666666667,142.273333333333,34
Сахалинская область,Анивский городской округ,Успенское,с,446,46.8519444444444,142.583055555556,10
Сахалинская область,городской округ Город Южно-Сахалинск,Южно-Сахалинск,г,200854,46.9591666666667,142.738055555556,8
Сахалинская область,Холмский городской округ,Правда,с,1756,46.9386111111111,142.005277777778,54
Сахалинская область,Холмский городской округ,Ожидаево,с,9,47.03,142.391388888889,29
Сахалинская область,Невельский городской округ,Шебунино,с,522,46.4316666666667,141.853888888889,83
Сахалинская область,Анивский городской округ,Рыбацкое,с,318,46.7,142.524166666667,25
Сахалинская область,Корсаковский городской округ,Первая Падь,с,192,46.6719444444444,142.758611111111,23
Сахалинская область,Корсаковский городской округ,Раздольное,с,529,46.6491666666667,142.815,27
Сахалинская область,городской округ Долинский,Ручьи,с,27,47.3655555555556,142.6925,53
Сахалинская область,Холмский городской округ,Прибой,с,12,46.9719444444444,142.013055555556,54
Сахалинская область,Корсаковский городской округ,Корсаков,г,33645,46.6338888888889,142.780277777778,28
Сахалинская область,Невельский городской округ,Раздольное,с,32,46.7469444444444,141.924722222222,62
Сахалинская область,Холмский городской округ,Серные Источники,с,56,46.9858333333333,142.020833333333,54
Сахалинская область,Корсаковский городской округ,Вторая Падь,с,67,46.6816666666667,142.750555555556,22
Сахалинская область,Холмский городской округ,Новосибирское,с,56,47.4655555555556,141.966666666667,86
Сахалинская область,городской округ Город Южно-Сахалинск,Старорусское,с,200,47.1747222222222,142.744722222222,32
Сахалинская область,городской округ Город Южно-Сахалинск,Березняки,с,1032,47.1308333333333,142.761944444444,27
Сахалинская область,городской округ Город Южно-Сахалинск,Дальнее,с,2594,46.9986111111111,142.671388888889,13
Сахалинская область,городской округ Город Южно-Сахалинск,Синегорск,с,1616,47.1722222222222,142.517222222222,35
Сахалинская область,Холмский городской округ,Чапланово,с,711,46.9663888888889,142.231111111111,38
Сахалинская область,Анивский городской округ,Воскресенское,с,290,46.7433333333333,142.537777777778,20
Сахалинская область,Корсаковский городской округ,Лесное,с,120,46.9063888888889,143.075555555556,27
Сахалинская область,Корсаковский городской округ,Соловьевка,с,914,46.7225,142.747777777778,18
Сахалинская область,городской округ Долинский,Сокол,с,3299,47.2427777777778,142.748333333333,39
Сахалинская область,Анивский городской округ,Мицулевка,с,410,46.8027777777778,142.734166666667,9
Сахалинская область,Невельский городской округ,Ватутино,с,44,46.5316666666667,141.908055555556,73
Сахалинская область,Невельский городской округ,Селезнево,с,27,46.6133333333333,141.839166666667,73
Сахалинская область,городской округ Город Южно-Сахалинск,Новодеревенское,с,0,47.0766666666667,142.653055555556,21
Сахалинская область,городской округ Город Южно-Сахалинск,17 км,с,1,47.1380555555556,142.5575,30
Сахалинская область,Холмский городской округ,Люблино,с,8,46.9152777777778,141.995555555556,55
Сахалинская область,Холмский городской округ,Чехов,с,2579,47.4436111111111,142.004722222222,82
Сахалинская область,Анивский городской округ,Зеленодольск,с,21,46.6516666666667,142.373888888889,36
Сахалинская область,Холмский городской округ,Пожарское,с,85,46.8816666666667,142.277222222222,33
Сахалинская область,городской округ Долинский,Быков,с,3564,47.3197222222222,142.561388888889,49
Сахалинская область,Корсаковский городской округ,Муравьево,с,3,46.5083333333333,143.308055555556,61
Сахалинская область,городской округ Город Южно-Сахалинск,Санаторное,с,607,47.1047222222222,142.631666666667,25
Сахалинская область,Корсаковский городской округ,Пихтовое,с,106,46.6077777777778,143.331111111111,56
Сахалинская область,городской округ Город Южно-Сахалинск,Елочки,с,214,47.0158333333333,142.643055555556,15
Сахалинская область,Холмский городской округ,Калинино,с,37,46.8611111111111,141.966944444444,57
Сахалинская область,Корсаковский городской округ,Тамбовское,с,7,46.8127777777778,142.859722222222,13
Сахалинская область,Анивский городской округ,Малиновка,с,1,46.6480555555556,142.447777777778,33
Сахалинская область,Анивский городской округ,Петропавловское,с,378,46.7852777777778,142.497222222222,20
Сахалинская область,Холмский городской округ,Чистоводное,с,100,47.0219444444444,142.328333333333,33
Сахалинская область,Холмский городской округ,Николайчук,с,1,47.0011111111111,142.088611111111,49
Сахалинская область,Невельский городской округ,Лопатино,с,7,46.6041666666667,141.823333333333,75
Сахалинская область,Невельский городской округ,Колхозное,с,347,46.6558333333333,141.902222222222,67
Сахалинская область,Корсаковский городской округ,Береговое,с,25,46.57,143.331111111111,58
Сахалинская область,городской округ Долинский,Долинск,г,11685,47.3261111111111,142.793333333333,49
Сахалинская область,Анивский городской округ,Кириллово,с,0,46.4513888888889,142.345833333333,56
Сахалинская область,Холмский городской округ,Пионеры,с,444,47.2591666666667,142.026388888889,66
Сахалинская область,Холмский городской округ,Камышево,с,1,46.9725,142.150833333333,44
Сахалинская область,Холмский городской округ,Зырянское,с,1,46.8986111111111,141.990833333333,55
Сахалинская область,городской округ Долинский,Фирсово,с,34,47.6494444444444,142.564166666667,85
Сахалинская область,Корсаковский городской округ,Утесное,с,8,46.5975,143.076111111111,42
Сахалинская область,городской округ Город Южно-Сахалинск,Новая Деревня,с,397,47.0488888888889,142.708888888889,18
Сахалинская область,Холмский городской округ,Павино,с,31,47.2725,142.163333333333,60
Сахалинская область,Корсаковский городской округ,Третья Падь,с,753,46.6986111111111,142.740277777778,20
Сахалинская область,Анивский городской округ,Троицкое,с,5492,46.925,142.649444444444,6
Сахалинская область,Анивский городской округ,Высокое,с,107,46.8130555555556,142.316388888889,31
Сахалинская область,Невельский городской округ,Ясноморское,с,126,46.7511111111111,141.904444444444,63
Сахалинская область,Анивский городской округ,Благовещенское,с,1,46.7588888888889,142.5025,21
Сахалинская область,Невельский городской округ,Невельск,г,9996,46.6527777777778,141.863055555556,70
Сахалинская область,городской округ Долинский,Советское,с,506,47.4938888888889,142.661666666667,67
Сахалинская область,городской округ Долинский,Стародубское,с,2120,47.4108333333333,142.817777777778,58
Сахалинская область,Корсаковский городской округ,Охотское,с,367,46.8591666666667,143.1575,33
Сахалинская область,Корсаковский городской округ,Новое,с,1,46.7113888888889,142.881388888889,23
Сахалинская область,Анивский городской округ,Ново-Троицкое,с,1328,46.8930555555556,142.686388888889,2
Сахалинская область,Холмский городской округ,Костромское,с,1112,47.3086111111111,142.020833333333,70
Сахалинская область,Корсаковский городской округ,Чапаево,с,741,46.7844444444444,142.936944444444,20
Сахалинская область,Невельский городской округ,Придорожное,с,41,46.7044444444444,141.916666666667,64
Сахалинская область,Холмский городской округ,Красноярское,с,11,47.3980555555556,141.989166666667,79
Сахалинская область,городской округ Долинский,Углезаводск,с,1343,47.3216666666667,142.630277777778,48
Сахалинская область,городской округ Долинский,Сосновка,с,244,47.3197222222222,142.685555555556,48
Сахалинская область,Анивский городской округ,Анива,г,9405,46.7130555555556,142.526666666667,24
Сахалинская область,городской округ Долинский,Октябрьское,с,101,47.3361111111111,142.705,50
Сахалинская область,Корсаковский городской округ,Озерское,с,1129,46.6108333333333,143.129166666667,43
Сахалинская область,Корсаковский городской округ,Дачное,с,1823,46.7638888888889,142.7475,13
Сахалинская область,Холмский городской округ,Пятиречье,с,361,47.015,142.261666666667,37
Сахалинская область,Холмский городской округ,Яблочное,с,1543,47.1241666666667,142.066666666667,56
Сахалинская область,Анивский городской округ,Таранай,с,814,46.6219444444444,142.425555555556,36
Сахалинская область,Корсаковский городской округ,Новиково,с,408,46.3647222222222,143.365833333333,76
Сахалинская область,городской округ Долинский,Покровка,с,507,47.3272222222222,142.704722222222,49
Сахалинская область,Холмский городской округ,Холмск,г,27479,47.0408333333333,142.041666666667,54
Сахалинская область,Невельский городской округ,Горнозаводск,с,3927,46.5616666666667,141.847777777778,75
Сахалинская область,Холмский городской округ,Байково,с,0,47.4777777777778,141.965277777778,87
