регион,район,город,тип,население,широта,долгота,расстояние
Приморский край,Надежденский район,Тавричанка,п,7947,43.3269444444444,131.866944444444,24
Приморский край,Анучинский,Скворцово,п,19,43.6222222222222,133.000833333333,73
Приморский край,Черниговский,Вассиановка,с,313,44.1383333333333,132.6425,91
Приморский край,Артёмовский,Кневичи,с,2888,43.3975,132.201388888889,4
Приморский край,Михайловский район,Кирпичное,д,9,43.9027777777778,131.971666666667,57
Приморский край,Хорольский,Малая Ярославка,с,38,44.1336111111111,132.106944444444,81
Приморский край,Уссурийский,Николо-Львовское,с,58,43.8780555555556,131.366666666667,82
Приморский край,Уссурийский,Баневурово,с,303,43.7180555555556,132.042777777778,36
Приморский край,Городской округ Партизанский,Партизанск,г,25015,43.1280555555556,133.126388888889,84
Приморский край,Шкотовский,Моленый Мыс,д,1,43.0983333333333,132.545555555556,46
Приморский край,Октябрьский,Струговка,с,1048,43.9952777777778,131.6725,76
Приморский край,Черниговский,Сибирцево-3,п,2,44.1805555555556,132.463611111111,90
Приморский край,Надежденский район,Кипарисово,с,921,43.4758333333333,131.923333333333,20
Приморский край,Шкотовский,Новороссия,с,331,43.34,132.624722222222,39
Приморский край,Уссурийский,Тимирязевский,п,2409,43.8586111111111,131.955555555556,53
Приморский край,Уссурийский,Лимичевка,ж/д_ст,66,43.8538888888889,131.966944444444,52
Приморский край,Хасанский,Барсовый,ж/д_рзд,0,43.1783333333333,131.640555555556,47
Приморский край,Надежденский район,Новый,п,5745,43.3636111111111,132.020277777778,11
Приморский край,Хасанский,База круглая,п,13,42.8702777777778,131.441666666667,82
Приморский край,Артёмовский,Кролевцы,с,558,43.4469444444444,132.246388888889,9
Приморский край,Уссурийский,Степное,с,754,43.9730555555556,131.808333333333,69
Приморский край,Анучинский,Виноградовка,с,369,43.7613888888889,132.951944444444,76
Приморский край,Михайловский район,Степное,с,177,44.0805555555556,131.852777777778,79
Приморский край,Михайловский район,Отрадное,с,81,43.8130555555556,132.531388888889,55
Приморский край,Черниговский,Халкидон,с,745,44.2591666666667,132.424166666667,98
Приморский край,Октябрьский,Полтавка,с,375,44.0261111111111,131.329166666667,95
Приморский край,Михайловский район,Дубки,с,130,44.0616666666667,131.955555555556,75
Приморский край,Михайловский район,Васильевка,с,580,43.8819444444444,132.011666666667,54
Приморский край,Михайловский район,Перелетный,ж/д_ст,4,44.0916666666667,132.322777777778,78
Приморский край,Черниговский,Абражеевка,с,146,44.0777777777778,132.479444444444,80
Приморский край,Уссурийский,Каменушка,с,291,43.62,132.231666666667,25
Приморский край,Надежденский район,Шмидтовка,п,156,43.3269444444444,132.002777777778,14
Приморский край,Надежденский район,Соловей Ключ,п,375,43.3947222222222,132.055,7
Приморский край,Надежденский район,Нежино,с,335,43.455,131.771666666667,31
Приморский край,Владивостокский,Русский,п,6883,43.0169444444444,131.906388888889,46
Приморский край,Надежденский район,Виневитино,ж/д_ст,71,43.4202777777778,131.746111111111,32
Приморский край,Октябрьский,Синельниково-2,с,690,43.9341666666667,131.543055555556,76
Приморский край,Надежденский район,Стеклозаводской,п,121,43.4719444444444,131.936111111111,18
Приморский край,Партизанский,Новая Сила,с,515,43.0180555555556,133.109166666667,88
Приморский край,Шкотовский,Анисимовка,с,340,43.17,132.789722222222,57
Приморский край,Уссурийский,Боголюбовка,с,86,43.8194444444444,132.268611111111,47
Приморский край,Анучинский,Гродеково,с,242,43.8597222222222,133.147222222222,95
Приморский край,Уссурийский,Воздвиженский,ж/д_ст,224,43.9369444444444,131.875833333333,63
Приморский край,Большой Камень,Большой Камень,г,37918,43.1111111111111,132.348055555556,35
Приморский край,Хасанский,Овчинниково,с,49,43.2363888888889,131.384722222222,64
Приморский край,Надежденский район,Горный,п,11,43.4113888888889,131.663888888889,39
Приморский край,Октябрьский,Покровка,с,10080,43.9508333333333,131.635555555556,73
Приморский край,Хасанский,Рязановка,ж/д_ст,38,42.7938888888889,131.247222222222,99
Приморский край,Черниговский,Светлояровка,ж/д_рзд,15,44.1666666666667,132.533333333333,90
Приморский край,Октябрьский,Новогеоргиевка,с,872,44.0294444444444,131.403333333333,92
Приморский край,Михайловский район,Кремово,с,1147,44.0433333333333,132.273333333333,72
Приморский край,Уссурийский,Линевичи,с,109,43.7369444444444,131.844444444444,44
Приморский край,Хасанский,Пожарский,ж/д_рзд,0,43.0066666666667,131.434166666667,72
Приморский край,Хасанский,Филипповка,с,405,43.2375,131.538611111111,52
Приморский край,Октябрьский,Липовцы,пгт,6051,44.1966666666667,131.720833333333,95
Приморский край,Надежденский район,Де-Фриз,п,323,43.2783333333333,131.993333333333,18
Приморский край,Михайловский район,Ивановка,с,2229,43.965,132.479444444444,68
Приморский край,Надежденский район,Морской,п,101,43.3891666666667,131.924444444444,18
Приморский край,Уссурийский,Борисовский Мост,с,2,43.8269444444444,131.8325,53
Приморский край,Хасанский,Ромашка,с,10,42.8544444444444,131.301111111111,91
Приморский край,Уссурийский,Борисовка,с,3204,43.8069444444444,131.8125,52
Приморский край,Хасанский,Пойма,с,5,42.8966666666667,131.237222222222,92
Приморский край,ЗАТО Фокино,Дунай,пгт,5857,42.8822222222222,132.333055555556,59
Приморский край,Уссурийский,Яконовка,с,221,43.7330555555556,131.695555555556,52
Приморский край,Михайловский район,Николаевка,с,467,43.8877777777778,132.447777777778,59
Приморский край,Надежденский район,Мирный,п,102,43.395,131.945555555556,16
Приморский край,Уссурийский,Улитовка,с,259,43.86,131.663888888889,64
Приморский край,Шкотовский,Романовка,с,1993,43.2363888888889,132.466111111111,31
Приморский край,Шкотовский,Центральное,с,387,43.3411111111111,132.695555555556,44
Приморский край,Октябрьский,Гранатовка,с,70,43.9111111111111,131.554722222222,74
Приморский край,Надежденский район,Барановский,ж/д_ст,318,43.6505555555556,131.930555555556,33
Приморский край,Уссурийский,Долины,с,390,43.6766666666667,132.101111111111,31
Приморский край,ЗАТО Фокино,Фокино,г,18507,42.9708333333333,132.411111111111,52
Приморский край,Уссурийский,Глуховка,с,306,43.7625,132.101666666667,40
Приморский край,Хорольский,Усачевка,с,158,44.2422222222222,131.838611111111,96
Приморский край,Хасанский,Маяк Бюссе,нп,4,42.8816666666667,131.468333333333,79
Приморский край,Хасанский,Занадворовка,с,492,43.2997222222222,131.611666666667,44
Приморский край,Черниговский,Халкидон,ж/д_ст,21,44.2741666666667,132.453333333333,100
Приморский край,Владивостокский,Попова,п,507,42.9608333333333,131.729722222222,59
