регион,район,город,тип,население,широта,долгота,расстояние
Забайкальский край,Читинский район,Домно-Ключи,с,264,51.9605555555556,112.995555555556,22
Забайкальский край,Читинский район,Новая,ст,9408,51.7716666666667,113.791111111111,43
Республика Бурятия,Еравнинский район,Гурт Осторной,заимка,0,52.7158333333333,113.314444444444,76
Республика Бурятия,Еравнинский район,Гурт Могзон,заимка,3,52.6155555555556,113.065277777778,67
Забайкальский край,Улётовский район,Татаурово,с,666,51.6008333333333,112.933333333333,53
Забайкальский край,Читинский район,Старая Кука,с,287,51.7586111111111,113.066388888889,34
Забайкальский край,Чита,ЧЭС,п,302,52.0061111111111,113.219444444444,6
Забайкальский край,Читинский район,Профилакторий Карповка,с,0,52.1575,113.536388888889,21
Забайкальский край,Чита,Сибирский,п,581,52.0019444444444,113.267222222222,3
Забайкальский край,Читинский район,Верх-Нарым,с,338,51.5825,113.441944444444,50
Забайкальский край,Читинский район,Карповка,с,572,52.2086111111111,113.535833333333,25
Забайкальский край,Читинский район,Тасей,с,99,52.215,112.953888888889,31
Забайкальский край,Читинский район,Иргень,с,362,51.9822222222222,112.58,50
Забайкальский край,Читинский район,Угдан,с,1317,52.1588888888889,113.453333333333,17
Забайкальский край,Улётовский район,Дровяная,пгт,2904,51.5802777777778,113.0475,52
Забайкальский край,Улётовский район,Черемхово,с,455,51.4597222222222,112.7275,74
Забайкальский край,Читинский район,Каменка,п,88,51.8733333333333,113.661666666667,29
Забайкальский край,Читинский район,Беклемишево,с,1087,52.1194444444444,112.675,44
Забайкальский край,Читинский район,Маккавеево,с,4061,51.7533333333333,113.956388888889,54
Забайкальский край,Чита,Песчанка,п,6001,51.9855555555556,113.593611111111,20
Республика Бурятия,Еравнинский район,Гурт Элькисер,заимка,0,52.7463888888889,113.300555555556,80
Забайкальский край,Чита,Энергетиков,п,10668,52.0672222222222,113.355833333333,5
Забайкальский край,Читинский район,Кука,с,263,51.7969444444444,112.929166666667,36
Забайкальский край,Читинский район,Кука,п/ст,147,51.7969444444444,112.929166666667,36
Республика Бурятия,Еравнинский район,Гурт Теплица,заимка,0,52.7261111111111,113.305,77
Забайкальский край,Читинский район,Лесоучасток Верх-Нарым,нп,44,51.6594444444444,113.606944444444,45
Забайкальский край,Читинский район,Черново,с,279,51.9547222222222,113.246388888889,8
Забайкальский край,Карымский район,Кадахта,с,1050,51.6125,114.25,79
Забайкальский край,Читинский район,Атамановка,пгт,10555,51.9294444444444,113.637222222222,25
Забайкальский край,Карымский район,Большая Тура,с,1037,51.6313888888889,114.086944444444,69
Забайкальский край,Читинский район,Лесной Городок,п,769,51.7352777777778,113.071944444444,36
Забайкальский край,Улётовский район,Голубичная,ст,303,51.6233333333333,113.045,48
Забайкальский край,Чита,Рудник Кадала,п,3012,52.04,113.260833333333,3
Забайкальский край,Читинский район,Смоленка,с,5401,52.1427777777778,113.513055555556,19
Забайкальский край,Читинский район,Лесная,п/ст,717,51.7702777777778,113.009444444444,35
Забайкальский край,Читинский район,Сохондо,с,991,51.8161111111111,112.529722222222,58
Забайкальский край,Читинский район,Бургень,с,645,52.4211111111111,113.776111111111,54
Забайкальский край,Читинский район,Мухор-Кондуй,с,50,52.4155555555556,113.275833333333,43
Забайкальский край,Читинский район,Александровка,с,994,51.7652777777778,113.750277777778,42
