регион,район,город,тип,население,широта,долгота,расстояние
Иркутская область,Братский район,Боровской,п,377,56.49,102.168888888889,31
Иркутская область,Братский район,Бурнинская Вихоря,п,266,56.3638888888889,101.595277777778,6
Иркутская область,Братский район,Калтук,с,1493,55.6777777777778,101.736111111111,77
Иркутская область,Братский район,Кежемский,п,1505,56.5536111111111,102.446944444444,50
Иркутская область,Братский район,Вихоревка,г,20955,56.1208333333333,101.170277777778,42
Иркутская область,Братский район,Большеокинское,с,983,55.7438888888889,101.743611111111,69
Иркутская область,Братский район,Тарма,п,889,55.9813888888889,101.293333333333,50
Иркутская область,Братский район,Ключи-Булак,с,1220,55.5227777777778,101.688611111111,94
Иркутская область,Братский район,Пашенный,п,13,56.4408333333333,102.253333333333,35
Иркутская область,Братский район,Дубынино,с,203,56.6088888888889,101.790833333333,27
Иркутская область,Братский район,Кузнецовка,с,1041,56.0872222222222,101.243611111111,42
Иркутская область,Братский район,Наратай,п,330,56.1263888888889,102.3275,47
Иркутская область,Братский район,Мамырь,п,509,56.5825,102.656388888889,63
Иркутская область,Братский район,Подвыездный,п,5,56.2944444444444,102.053611111111,23
Иркутская область,Братский район,Леонова,д,426,55.5655555555556,101.501388888889,90
Иркутская область,Братский район,Сахарово,п,255,56.5002777777778,101.484444444444,19
Иркутская область,Братский район,Озерный,п,592,55.8758333333333,102.085,60
Иркутская область,Братск,Братск,г,227467,56.1513888888889,101.634166666667,24
Иркутская область,Братский район,Турма,п,1795,56.1933333333333,100.888333333333,53
Иркутская область,Братский район,Куватка,д,713,55.5019444444444,101.961388888889,98
Иркутская область,Братский район,Зяба,п,416,56.3788888888889,102.129722222222,26
Иркутская область,Братский район,Сосновый,п,276,55.5438888888889,101.091944444444,99
Иркутская область,Усть-Илимский район,Седаново,п,1283,56.9802777777778,101.314444444444,71
Иркутская область,Усть-Илимский район,Ершово,с,692,57.1494444444444,102.234444444444,92
Иркутская область,Братский район,Кобляково,с,628,56.5875,101.435,29
Иркутская область,Братский район,Новодолоново,п,458,55.8486111111111,101.555,58
Иркутская область,Усть-Илимский район,Ковинский,п,0,56.9813888888889,100.863333333333,85
Иркутская область,Братский район,Анчирикова,д,17,56.4675,101.515833333333,15
Иркутская область,Братский район,Кумейка,д,389,55.5344444444444,101.774444444444,93
Иркутская область,Братский район,Первомайский,п,0,55.6905555555556,102.138888888889,80
Иркутская область,Братский район,Придорожный,п,1,56.6944444444444,101.294166666667,43
Иркутская область,Усть-Илимский район,Подъеланка,с,500,57.0855555555556,101.65,79
Иркутская область,Братский район,Бамбуй,п,11,56.0972222222222,101.203611111111,43
Иркутская область,Братский район,Черемшанка,п,0,55.6541666666667,101.576666666667,80
