регион,район,город,тип,население,широта,долгота,расстояние
Иркутская область,Иркутский район,Ангара,д,55,52.3872222222222,104.231944444444,17
Иркутская область,Иркутский район,Маркова,рп,29141,52.2111111111111,104.207777777778,14
Иркутская область,Иркутский район,Горяшина,д,519,52.5808333333333,104.257777777778,36
Иркутская область,Шелеховский район,Хузино,п,13,51.8697222222222,103.845277777778,58
Иркутская область,Слюдянский район,Мурино,п,168,51.4758333333333,104.405833333333,88
Иркутская область,Иркутский район,Степановка,д,205,52.7938888888889,104.006944444444,64
Иркутская область,Усольский район,Кочерикова,д,366,52.9433333333333,103.411388888889,100
Иркутская область,Иркутский район,Горячий Ключ,п,870,52.2761111111111,104.909166666667,35
Иркутская область,Эхирит-Булагатский район,Сагарук,д,48,52.7908333333333,105.023333333333,72
Иркутская область,Боханский район,Веселая Поляна,п,11,53.1358333333333,104.4425,96
Иркутская область,Шелеховский район,Куйтун,п,60,52.1138888888889,103.715833333333,49
Иркутская область,Иркутский район,Карлук,д,3799,52.4227777777778,104.297222222222,18
Иркутская область,Шелеховский район,Моты,с,554,52.0761111111111,103.901666666667,39
Иркутская область,Ангарский район,Звездочка,п,39,52.3488888888889,103.649166666667,51
Республика Бурятия,Кабанский район,Танхой,рп,950,51.5544444444444,105.118055555556,93
Иркутская область,Иркутский район,Рязановщина,д,204,52.7130555555556,104.326944444444,49
Иркутская область,Ангарский район,Якимовка,заимка,52,52.3969444444444,103.507777777778,62
Иркутская область,Иркутский район,Тальцы,нп,14,51.9908333333333,104.67,36
Республика Бурятия,Кабанский район,Кедровая,п/ст,78,51.5119444444444,104.93,91
Иркутская область,Ангарский район,Ударник,п,147,52.4322222222222,104.068888888889,28
Иркутская область,Иркутск,Иркутск,г,623479,52.2863888888889,104.280555555556,8
Республика Бурятия,Кабанский район,Выдрино,с,4185,51.4613888888889,104.643333333333,91
Иркутская область,Иркутский район,Малая Топка,п,2224,52.3427777777778,104.316944444444,9
Иркутская область,Усольский район,Буреть,д,642,52.9694444444444,103.504166666667,98
Иркутская область,Ангарский район,Мегет,п,8905,52.4194444444444,104.0525,28
Иркутская область,Эхирит-Булагатский район,Кулункун,с,351,52.8416666666667,104.670555555556,66
Иркутская область,Слюдянский район,Новоснежная,п,445,51.4677777777778,104.626666666667,90
Иркутская область,Эхирит-Булагатский район,Большая Кура,д,204,52.7330555555556,104.847222222222,60
Иркутская область,Слюдянский район,Байкал,п,376,51.8713888888889,104.806111111111,52
Иркутская область,Баяндаевский район,Хатар-Хадай,с,325,52.8377777777778,105.235,85
Иркутская область,Иркутский район,Падь Мельничная,п,2918,52.1627777777778,104.379444444444,11
Иркутская область,Боханский район,Русиновка,д,256,53.1319444444444,103.973333333333,100
Иркутская область,Слюдянский район,Култук,рп,3696,51.7255555555556,103.709166666667,76
Иркутская область,Иркутский район,Быкова,д,262,52.7361111111111,104.023888888889,57
Иркутская область,Усольский район,Бадай,д,248,52.8763888888889,103.609166666667,86
Иркутская область,Усольский район,Белореченский,рп,7693,52.8136111111111,103.525833333333,84
Иркутская область,Боханский район,Тараса,с,1316,53.0872222222222,103.779722222222,100
Иркутская область,Иркутский район,Оек,с,4126,52.5891666666667,104.460833333333,36
Иркутская область,Эхирит-Булагатский район,Куяда,д,312,52.6144444444444,104.674444444444,43
Иркутская область,Слюдянский район,Муравей,п,27,51.6102777777778,103.85,82
Иркутская область,Слюдянский район,Бабха,п,3,51.5333333333333,104.088055555556,84
Иркутская область,Боханский район,Кулаково,д,149,52.9730555555556,103.584166666667,95
Иркутская область,Усольский район,Степной,п,0,52.9011111111111,103.525,91
Иркутская область,Эхирит-Булагатский район,Мурино,д,37,52.6727777777778,104.718888888889,50
Иркутская область,Эхирит-Булагатский район,Бозой,п,2488,52.9225,104.851944444444,79
Иркутская область,Иркутский район,Черемшанка,п,4,52.0247222222222,104.863611111111,41
Иркутская область,Боханский район,Петрограновка,д,194,53.0683333333333,104.185833333333,90
Иркутская область,Шелеховский район,Подкаменная,п,679,51.9675,103.910277777778,47
Иркутская область,Боханский район,Маньково,д,201,53.1333333333333,104.065,98
Иркутская область,Усольский район,Биликтуй,с,934,52.5930555555556,103.834444444444,52
Иркутская область,Баяндаевский район,Хиней,с,45,52.8613888888889,105.297777777778,90
Иркутская область,Иркутский район,Березка,п,2,52.0661111111111,104.579722222222,25
Иркутская область,Иркутский район,Вдовина,заимка,136,52.3602777777778,104.0975,22
Иркутская область,Эхирит-Булагатский район,Кукунут,д,488,52.9883333333333,104.721944444444,83
Иркутская область,Усольский район,Озерный,п,47,52.7138888888889,103.454444444444,80
Иркутская область,Эхирит-Булагатский район,Нижняя Идыга,д,327,52.9041666666667,104.6225,72
Иркутская область,Ангарский район,Зуй,д,311,52.4552777777778,104.049722222222,31
Иркутская область,Иркутский район,Лыловщина,д,468,52.5175,104.238055555556,29
Иркутская область,Баяндаевский район,Ользоны,с,633,52.9461111111111,105.2175,93
Иркутская область,Иркутский район,Добролет,д,37,52.2536111111111,104.836666666667,30
Иркутская область,Иркутский район,Бухун,п,52,52.8975,104.187777777778,71
Иркутская область,Иркутский район,Новогрудинина,д,466,52.15,104.416111111111,13
Иркутская область,Шелеховский район,Ягодный,п,52,52.0119444444444,104.035,37
Иркутская область,Слюдянский район,Маритуй,с,42,51.7869444444444,104.225833333333,54
Иркутская область,Эхирит-Булагатский район,Корсук,д,486,52.7938888888889,105.004722222222,71
Иркутская область,Эхирит-Булагатский район,Барда,д,20,52.8311111111111,104.409722222222,62
Республика Бурятия,Кабанский район,Переемная,п/ст,50,51.5788888888889,105.254166666667,96
Иркутская область,Слюдянский район,Шаражалгай,п,0,51.7477777777778,103.961388888889,64
Иркутская область,Усольский район,Мальта,с,3218,52.8313888888889,103.5225,86
Иркутская область,Ангарский район,Одинск,с,1004,52.4619444444444,103.726944444444,50
Иркутская область,Иркутский район,Большая Речка,рп,2781,51.9511111111111,104.738611111111,42
Иркутская область,Иркутский район,Смоленщина,с,4483,52.255,104.126388888889,18
Иркутская область,Усольский район,Новомальтинск,п,1324,52.8688888888889,103.551666666667,88
Иркутская область,Шелеховский район,Глубокая,п,48,51.8777777777778,103.856111111111,56
Иркутская область,Усольский район,Ершовка,п,51,52.7011111111111,103.436111111111,81
Иркутская область,Иркутский район,Галки,д,677,52.6219444444444,104.447222222222,39
Иркутская область,Эхирит-Булагатский район,Солянка,д,3,52.6605555555556,104.608611111111,46
Иркутская область,Иркутский район,Плишкино,п,2183,52.3455555555556,104.488888888889,10
Иркутская область,Усольский район,Архиереевка,д,88,52.4555555555556,103.613055555556,57
Иркутская область,Шелеховский район,Орленок,п,12,52.0105555555556,104.085,35
Иркутская область,Эхирит-Булагатский район,Алужина,с,546,52.7097222222222,104.788055555556,56
Иркутская область,Иркутский район,Верхний Кет,д,62,52.9655555555556,104.201666666667,78
Иркутская область,Усольский район,Низовцева,д,95,52.505,103.640277777778,57
Иркутская область,Боханский район,Буреть,с,999,52.9922222222222,103.511388888889,100
Иркутская область,Эхирит-Булагатский район,Усть-Ордынский,п,15013,52.805,104.753611111111,64
Иркутская область,Иркутский район,Кыцигировка,д,496,52.7308333333333,104.544722222222,52
Иркутская область,Иркутский район,Бутырки,д,680,52.5608333333333,104.507777777778,33
Иркутская область,Иркутский район,Горный,п,360,52.3955555555556,104.371944444444,14
Иркутская область,Иркутский район,Бургаз,д,307,52.5458333333333,104.698888888889,37
Иркутская область,Боханский район,Ключи,д,36,52.8133333333333,103.785555555556,73
Иркутская область,Боханский район,Харагун,д,165,53.1713888888889,104.303888888889,100
Иркутская область,Шелеховский район,Введенщина,с,1680,52.2055555555556,103.946666666667,31
Иркутская область,Иркутский район,Нижний Кочергат,п,22,52.1375,105.274444444444,61
Иркутская область,Эхирит-Булагатский район,Ишины,д,103,52.815,105.009444444444,73
Иркутская область,Шелеховский район,Огоньки,п,43,52.0116666666667,104.016944444444,38
Иркутская область,Шелеховский район,Родниковый,п,6,51.9247222222222,103.888611111111,51
Иркутская область,Слюдянский район,Орехово,п,9,51.5597222222222,104.000833333333,83
Иркутская область,Иркутский район,Сосновый Бор,д,1721,52.6580555555556,104.504166666667,44
Иркутская область,Баяндаевский район,Загатуй,д,631,52.8875,105.336111111111,94
Иркутская область,Эхирит-Булагатский район,Тугутуй,с,962,52.6825,104.813611111111,54
Иркутская область,Шелеховский район,Источник,п,5,51.9025,103.884722222222,53
Иркутская область,Иркутский район,Мамоны,с,5751,52.3072222222222,104.158888888889,16
Иркутская область,Слюдянский район,Ангасольская,п,13,51.7322222222222,103.829722222222,71
Иркутская область,Иркутский район,Еловка,с,255,52.6944444444444,103.970277777778,55
Иркутская область,Иркутский район,Зорино-Быково,п,227,52.7188888888889,103.956666666667,58
Иркутская область,Боханский район,Заведение,п,0,53.0547222222222,103.893611111111,93
Иркутская область,Боханский район,Воробьевка,д,215,53.0041666666667,103.6725,95
Иркутская область,Иркутский район,Молодежный,п,8700,52.2286111111111,104.415,4
Иркутская область,Иркутский район,Пивовариха,с,4566,52.2733333333333,104.449722222222,3
Иркутская область,Эхирит-Булагатский район,Рудовщина,д,45,52.6091666666667,104.697777777778,43
Иркутская область,Усольский район,Тайтурка,рп,4662,52.8705555555556,103.465555555556,92
Иркутская область,Ангарский район,Ангарск,г,225489,52.5441666666667,103.888055555556,46
Иркутская область,Эхирит-Булагатский район,Кударейка,д,197,52.8636111111111,104.431944444444,66
Иркутская область,Иркутский район,Поливаниха,заимка,74,52.2702777777778,104.728333333333,22
Иркутская область,Эхирит-Булагатский район,Харанут,д,267,52.7680555555556,104.951111111111,67
Республика Бурятия,Кабанский район,Толбазиха,п,8,51.4447222222222,104.690833333333,93
Иркутская область,Иркутский район,Худяково,д,782,52.2716666666667,104.583333333333,12
