регион,район,город,тип,население,широта,долгота,расстояние
Иркутская область,Бодайбинский район,Апрельск,п,72,58.1858333333333,114.578611111111,41
Иркутская область,Бодайбинский район,Мамакан,п,1516,57.8175,114.012222222222,14
Иркутская область,Мамско-Чуйский район,Мусковит,п,111,58.2138888888889,113.286944444444,68
Иркутская область,Бодайбинский район,Маракан,п,234,58.7,114.5825,95
Иркутская область,Бодайбинский район,Кяхтинский,п,5,57.9444444444444,114.240555555556,8
Иркутская область,Бодайбинский район,Васильевский,п,93,58.1372222222222,114.336666666667,30
Иркутская область,Бодайбинский район,Бодайбо,г,11931,57.8519444444444,114.198888888889,2
Иркутская область,Бодайбинский район,Артемовский,рп,1140,58.205,114.644166666667,44
Иркутская область,Мамско-Чуйский район,Витимский,пгт,270,58.2202777777778,113.258055555556,70
Иркутская область,Мамско-Чуйский район,Большой Северный,п,0,58.1930555555556,113.366388888889,63
Иркутская область,Бодайбинский район,Балахнинский,п,954,58.0105555555556,114.276388888889,16
