регион,район,город,тип,население,широта,долгота,расстояние
Иркутская область,Киренский район,Салтыкова,д,74,57.945,108.476111111111,31
Иркутская область,Усть-Кутский район,Марково,с,28,57.5575,107.110833333333,61
Иркутская область,Киренский район,Сидорова,д,180,57.7575,108.133055555556,4
Иркутская область,Киренский район,Усть-Киренга,с,58,57.4108333333333,107.9675,40
Иркутская область,Усть-Кутский район,Заярново,п,329,57.335,107.090277777778,75
Иркутская область,Киренский район,Заборье,д,10,57.595,107.850555555556,23
Иркутская область,Киренский район,Коммуна,д,119,57.7380555555556,108.042222222222,3
Иркутская область,Киренский район,Воронежский,п,123,57.8669444444444,108.396944444444,22
Иркутская область,Киренский район,Юбилейный,п,399,58.1283333333333,108.842777777778,61
Иркутская область,Киренский район,Хабарова,д,25,57.7708333333333,108.037222222222,1
Иркутская область,Киренский район,Макарово,с,621,57.4836111111111,107.823611111111,35
Иркутская область,Киренский район,Подъельник,д,0,57.9902777777778,108.555277777778,38
Иркутская область,Киренский район,Скобельская,д,0,57.5130555555556,107.883888888889,30
Иркутская область,Киренский район,Банщиково,с,61,58.0227777777778,108.622222222222,43
Иркутская область,Киренский район,Кривошапкино,с,388,57.7505555555556,107.999722222222,4
Иркутская область,Киренский район,Верхнекарелина,д,0,57.8694444444444,107.777777777778,19
Иркутская область,Киренский район,Вишнякова,д,40,58.1341666666667,108.861944444444,62
Иркутская область,Киренский район,Алексеевск,рп,2055,57.8383333333333,108.351111111111,18
Иркутская область,Киренский район,Кондрашина,д,0,58.1030555555556,108.820555555556,58
Иркутская область,Киренский район,Алымовка,с,283,57.9608333333333,108.577777777778,37
Иркутская область,Киренский район,Никулина,д,147,57.9888888888889,108.591944444444,39
Иркутская область,Киренский район,Алексеевка,д,2,57.8544444444444,108.378055555556,21
Иркутская область,Казачинско-Ленский район,Верхнемартыново,с,74,56.8888888888889,108.171111111111,98
Иркутская область,Киренский район,Красноярово,с,38,57.3375,107.458055555556,60
Иркутская область,Киренский район,Улькан,с,2,57.2425,107.321666666667,73
Иркутская область,Киренский район,Змеиново,с,94,57.7769444444444,108.306111111111,14
Иркутская область,Киренский район,Кривая Лука,с,313,57.5986111111111,107.825277777778,23
Иркутская область,Киренский район,Петропавловское,с,319,58.2075,108.969166666667,72
Иркутская область,Казачинско-Ленский район,Кутима,с,13,57.1625,108.231388888889,68
Иркутская область,Киренский район,Пашня,п,12,57.5583333333333,107.893611111111,25
Иркутская область,Киренский район,Киренск,г,11046,57.7758333333333,108.110833333333,3
Иркутская область,Киренский район,Бубновка,п,214,57.7541666666667,108.2375,10
Иркутская область,Киренский район,Чечуйск,с,103,58.0716666666667,108.704722222222,50
Иркутская область,Киренский район,Старая Деревня,д,12,57.7294444444444,108.037777777778,4
Иркутская область,Катангский район,Подволошино,с,356,58.2483333333333,108.429166666667,57
Иркутская область,Киренский район,Балашова,д,5,57.4830555555556,107.7975,35
Иркутская область,Киренский район,Верхолугск,д,0,57.4613888888889,107.731111111111,39
Иркутская область,Киренский район,Никольск,д,105,57.7655555555556,108.190833333333,7
Иркутская область,Казачинско-Ленский район,Нижнемартыново,д,33,56.9205555555556,108.176111111111,95
Иркутская область,Киренский район,Бор,д,5,57.7358333333333,108.022777777778,4
