регион,район,город,тип,население,широта,долгота,расстояние
Иркутская область,Усть-Кутский район,Таюра,с,29,57.0002777777778,106.5475,52
Иркутская область,Усть-Кутский район,Казарки,п,656,56.995,106.192777777778,32
Иркутская область,Усть-Кутский район,Тарасово,с,2,56.1480555555556,105.688055555556,79
Иркутская область,Усть-Кутский район,Орлинга,с,20,56.0488888888889,105.851388888889,90
Иркутская область,Усть-Кутский район,Звездный,рп,801,56.7480555555556,106.503333333333,48
Иркутская область,Усть-Кутский район,Турука,с,55,56.6777777777778,105.763611111111,20
Иркутская область,Усть-Кутский район,Омолой,с,51,56.4616666666667,106.269444444444,55
Иркутская область,Усть-Кутский район,Максимово,д,11,57.1247222222222,105.008055555556,53
Иркутская область,Усть-Кутский район,Бобровка,п,25,57.1966666666667,105.050555555556,55
Иркутская область,Усть-Кутский район,Жемчугова,д,3,56.0644444444444,105.856666666667,88
Иркутская область,Усть-Кутский район,Каймоново,с,86,56.8369444444444,104.894444444444,51
Иркутская область,Усть-Кутский район,Усть-Кут,г,41149,56.7927777777778,105.775555555556,7
Иркутская область,Усть-Кутский район,Новоселова,д,2,57.0077777777778,106.629166666667,57
Иркутская область,Усть-Кутский район,Подымахино,с,58,56.9763888888889,106.179166666667,30
Иркутская область,Усть-Кутский район,Янталь,рп,1471,56.8469444444444,105.251388888889,29
Иркутская область,Усть-Кутский район,Боярск,с,76,56.3383333333333,106.019444444444,60
Иркутская область,Усть-Кутский район,Ручей,п,1111,56.8538888888889,105.0575,41
