регион,район,город,тип,население,широта,долгота,расстояние
Республика Бурятия,Тарбагатайский район,ДНТ Урожай,тер,195,51.725,107.518333333333,10
Республика Бурятия,Кабанский район,Шигаево,с,430,52.1827777777778,106.470555555556,78
Республика Бурятия,Иволгинский район,Нур-Селение,у,2575,51.7733333333333,107.4575,4
Республика Бурятия,Заиграевский район,Первомаевка,с,794,52.0322222222222,108.400277777778,70
Республика Бурятия,Прибайкальский район,Югово,с,431,52.1222222222222,107.113611111111,41
Республика Бурятия,Прибайкальский район,Нестерово,с,696,52.3661111111111,107.881666666667,68
Республика Бурятия,Прибайкальский район,Халзаново,с,122,52.2238888888889,107.675,48
Республика Бурятия,Тарбагатайский район,Кардон,с,131,51.6008333333333,107.368055555556,23
Республика Бурятия,Селенгинский район,Солнечный,п,155,51.2819444444444,106.544444444444,85
Республика Бурятия,Прибайкальский район,Иркилик,с,535,52.1891666666667,107.669166666667,45
Республика Бурятия,Кабанский район,Каменск,пгт,6656,51.9908333333333,106.59,61
Республика Бурятия,Иволгинский район,Гурульба,с,4269,51.8247222222222,107.410555555556,2
Республика Бурятия,Кабанский район,Быково,с,208,52.165,106.711944444444,63
Республика Бурятия,Селенгинский район,Средний Убукун,с,250,51.4588888888889,106.721388888889,63
Республика Бурятия,Заиграевский район,Старая Брянь,с,653,51.5844444444444,108.133888888889,54
Республика Бурятия,Кабанский район,Корсаково,с,558,52.2533333333333,106.619444444444,74
Республика Бурятия,Мухоршибирский район,Балта,у,294,51.075,107.152777777778,84
Республика Бурятия,Заиграевский район,Блок-Пост им Серова,п,32,51.9244444444444,108.117777777778,48
Республика Бурятия,Селенгинский район,Зурган-Дэбэ,у,932,51.0727777777778,107.019166666667,87
Республика Бурятия,Мухоршибирский район,Хошун-Узур,у,517,51.2455555555556,107.586388888889,63
Республика Бурятия,Заиграевский район,Онохой-3,пгт,288,51.8863888888889,108.011388888889,40
Республика Бурятия,Мухоршибирский район,Бар,с,389,51.2972222222222,107.559444444444,57
Республика Бурятия,Мухоршибирский район,Харашибирь,с,825,51.0986111111111,107.989166666667,87
Республика Бурятия,Мухоршибирский район,Галтай,у,405,51.2327777777778,107.790277777778,68
Республика Бурятия,Кабанский район,Новый Энхэлук,п,142,52.4841666666667,106.9675,81
Республика Бурятия,Кабанский район,Фофоново,с,271,52.0538888888889,106.754166666667,54
Республика Бурятия,Иволгинский район,Каленово,с,1001,51.7586111111111,107.104166666667,23
Республика Бурятия,Прибайкальский район,Турунтаево,с,6090,52.2008333333333,107.638333333333,45
Республика Бурятия,Мухоршибирский район,Шаралдай,с,1281,51.0252777777778,107.638888888889,88
Республика Бурятия,Иволгинский район,Зун-Оронгой,у,81,51.5108333333333,107.111111111111,40
Республика Бурятия,Прибайкальский район,Лесовозный,рзд,117,52.1144444444444,107.244166666667,36
Республика Бурятия,Прибайкальский район,Кика,п,397,52.4963888888889,108.024722222222,86
Республика Бурятия,Селенгинский район,Энергетиков,п,6580,51.2886111111111,106.538611111111,85
Республика Бурятия,Кабанский район,Хандала,у,257,52.1147222222222,106.712777777778,60
Республика Бурятия,Заиграевский район,Нарын-Ацагат,с,642,52.0033333333333,108.292222222222,62
Республика Бурятия,Прибайкальский район,Таловка,п/ст,2174,52.1166666666667,107.137777777778,39
Республика Бурятия,Тарбагатайский район,Нижний Жирим,с,310,51.4236111111111,107.198611111111,46
Республика Бурятия,Селенгинский район,Загустай,п/ст,148,51.3241666666667,106.488333333333,85
Республика Бурятия,Кабанский район,Оймур,с,1457,52.3275,106.838055555556,70
Республика Бурятия,Иволгинский район,Оронгой,п,1239,51.5316666666667,107.0525,40
