регион,район,город,тип,население,широта,долгота,расстояние
Ростовская область,Матвеево-Курганский,Деркачева,х,98,47.4408333333333,38.375,85
Ростовская область,Матвеево-Курганский,Новопавловский,х,112,47.4905555555556,38.3844444444444,81
Ростовская область,Матвеево-Курганский,Кислицкий,х,23,47.5233333333333,38.6727777777778,93
Ростовская область,Матвеево-Курганский,Новоспасовский,х,37,47.5186111111111,38.3858333333333,79
Ростовская область,Неклиновский,Новофедоровский,х,55,47.3680555555556,38.3488888888889,91
Ростовская область,Матвеево-Курганский,Ленинский,п,538,47.5680555555556,38.6469444444444,89
Ростовская область,Матвеево-Курганский,Передовой,х,103,47.4436111111111,38.5225,92
Ростовская область,Неклиновский,Деркачев,х,0,47.3994444444444,38.3730555555556,89
Ростовская область,Матвеево-Курганский,Авило-Успенка,с,719,47.6938888888889,38.6752777777778,82
Ростовская область,Матвеево-Курганский,Выселки,х,29,47.4588888888889,38.3786111111111,84
Ростовская область,Неклиновский,Новохрещатик,х,2,47.3763888888889,38.5261111111111,98
Ростовская область,Матвеево-Курганский,Духов,х,2,47.4030555555556,38.6308333333333,100
Ростовская область,Матвеево-Курганский,Верхнеширокинский,х,42,47.5788888888889,38.7022222222222,91
Ростовская область,Неклиновский,Офенталь,х,10,47.3138888888889,38.3611111111111,97
Ростовская область,Матвеево-Курганский,Малоекатериновка,х,362,47.5011111111111,38.3455555555556,78
Ростовская область,Матвеево-Курганский,Ефремовский,х,6,47.4127777777778,38.5044444444444,93
Ростовская область,Матвеево-Курганский,Греково-Тимофеевка,с,785,47.4269444444444,38.5094444444444,92
Ростовская область,Неклиновский,Сельхозтехника,с,13,47.3058333333333,38.4147222222222,99
Ростовская область,Неклиновский,Сотников,х,4,47.4041666666667,38.3797222222222,89
Ростовская область,Матвеево-Курганский,Харьковский,х,21,47.41,38.3791666666667,88
Ростовская область,Неклиновский,Атамановка,х,66,47.3408333333333,38.4825,99
Ростовская область,Неклиновский,Малофедоровка,с,39,47.3819444444444,38.385,91
Ростовская область,Матвеево-Курганский,Ковыльный,х,34,47.4686111111111,38.3897222222222,83
Ростовская область,Матвеево-Курганский,Латоново,с,1148,47.4769444444444,38.6319444444444,95
Ростовская область,Матвеево-Курганский,Новомарьевка,х,164,47.4655555555556,38.6277777777778,95
Ростовская область,Матвеево-Курганский,Селезнев,х,180,47.6261111111111,38.5041666666667,76
Ростовская область,Матвеево-Курганский,Шрамко,х,28,47.6144444444444,38.4027777777778,72
Ростовская область,Матвеево-Курганский,Анастасиевка,с,1333,47.5625,38.5219444444444,82
Ростовская область,Матвеево-Курганский,Малокирсановка,с,1115,47.4711111111111,38.5230555555556,89
Ростовская область,Матвеево-Курганский,Палий,х,3,47.5072222222222,38.7113888888889,97
Ростовская область,Неклиновский,Петровский,х,54,47.3322222222222,38.3152777777778,93
Ростовская область,Неклиновский,Федоровка,с,2210,47.3358333333333,38.3827777777778,95
Ростовская область,Матвеево-Курганский,Левченко,х,8,47.5663888888889,38.6988888888889,92
Ростовская область,Матвеево-Курганский,Балка,х,125,47.5886111111111,38.6497222222222,87
Ростовская область,Неклиновский,Ефремовка,с,987,47.3219444444444,38.4758333333333,100
Ростовская область,Матвеево-Курганский,Новоселовка,х,56,47.5602777777778,38.3861111111111,75
Ростовская область,Матвеево-Курганский,Новоалександровский,х,26,47.5997222222222,38.6711111111111,88
Ростовская область,Матвеево-Курганский,Марфинка,с,1040,47.5933333333333,38.5291666666667,80
Ростовская область,Матвеево-Курганский,Екатериновка,с,774,47.5372222222222,38.3827777777778,77
Ростовская область,Матвеево-Курганский,Сарматский,п,4,47.5266666666667,38.6080555555556,89
Ростовская область,Матвеево-Курганский,Скороход,х,15,47.5211111111111,38.7072222222222,95
Ростовская область,Матвеево-Курганский,Трудо-Пономаревка,х,39,47.4536111111111,38.6480555555556,97
Ростовская область,Неклиновский,Малокомаровский,х,3,47.3619444444444,38.2813888888889,89
Ростовская область,Матвеево-Курганский,Вишнянский,х,13,47.6369444444444,38.6816666666667,86
Ростовская область,Неклиновский,Ульяновский,х,24,47.3838888888889,38.3536111111111,90
Ростовская область,Матвеево-Курганский,Рождественский,х,33,47.5586111111111,38.4625,79
Ростовская область,Матвеево-Курганский,Новониколаевка,с,639,47.6166666666667,38.6791666666667,87
Ростовская область,Матвеево-Курганский,Самойлово,х,10,47.5438888888889,38.6677777777778,92
Ростовская область,Неклиновский,Оболонский,х,39,47.3147222222222,38.2730555555556,93
Ростовская область,Матвеево-Курганский,Колесников,х,9,47.4119444444444,38.3730555555556,88
Ростовская область,Матвеево-Курганский,Григорьевка,с,647,47.4463888888889,38.3858333333333,85
Ростовская область,Неклиновский,Дейнекин,х,17,47.3563888888889,38.3855555555556,94
Ростовская область,Матвеево-Курганский,Краснодаровский,х,145,47.5886111111111,38.3983333333333,73
Ростовская область,Матвеево-Курганский,Вареник,х,78,47.5702777777778,38.3933333333333,75
Ростовская область,Матвеево-Курганский,Терновый,х,15,47.5841666666667,38.6361111111111,87
Ростовская область,Неклиновский,Чекилев,х,129,47.36,38.3983333333333,94
Ростовская область,Неклиновский,Михайловка,х,103,47.3719444444444,38.4788888888889,96
Ростовская область,Матвеево-Курганский,Лесной,х,114,47.4286111111111,38.6536111111111,100
Ростовская область,Матвеево-Курганский,Первомайский,х,26,47.6619444444444,38.6980555555556,86
Ростовская область,Матвеево-Курганский,Самарский,х,22,47.6597222222222,38.685,85
