регион,район,город,тип,население,широта,долгота,расстояние
Ростовская область,Матвеево-Курганский,Деркачева,х,98,47.4408333333333,38.375,80
Краснодарский край,Ейский район,Симоновка,п,241,46.5888888888889,38.3016666666667,84
Ростовская область,Матвеево-Курганский,Новопавловский,х,112,47.4905555555556,38.3844444444444,84
Ростовская область,Неклиновский,Николаево-Иловайский,х,154,47.2436111111111,38.4069444444444,74
Ростовская область,Неклиновский,Весело-Вознесенка,с,2036,47.1461111111111,38.3422222222222,68
Краснодарский край,Ейский район,Советский,п,1874,46.5163888888889,38.1391666666667,81
Ростовская область,Матвеево-Курганский,Новоспасовский,х,37,47.5186111111111,38.3858333333333,86
Ростовская область,Неклиновский,Новофедоровский,х,55,47.3680555555556,38.3488888888889,75
Ростовская область,Неклиновский,Рожок,х,837,47.1436111111111,38.4141666666667,73
Ростовская область,Неклиновский,Васильево-Ханжоновка,с,494,47.2283333333333,38.3763888888889,72
Ростовская область,Неклиновский,Николаево-Козловский,х,454,47.2197222222222,38.3605555555556,70
Краснодарский край,Ейский район,Новатор,х,104,46.5694444444444,38.1916666666667,79
Краснодарский край,Щербиновский район,Глафировка,с,1543,46.7625,38.4097222222222,81
Краснодарский край,Ейский район,Красноармейское,с,273,46.6480555555556,38.2047222222222,74
Ростовская область,Неклиновский,Деркачев,х,0,47.3994444444444,38.3730555555556,78
Ростовская область,Неклиновский,Пудовой,х,185,47.2008333333333,38.3633333333333,70
Ростовская область,Матвеево-Курганский,Выселки,х,29,47.4588888888889,38.3786111111111,82
Краснодарский край,Ейский район,Воронцовка,с,2094,46.6541666666667,38.0830555555556,67
Ростовская область,Неклиновский,Талалаевский,х,220,47.2341666666667,38.3791666666667,72
Краснодарский край,Ейский район,Александровка,с,2010,46.6441666666667,38.3986111111111,86
Краснодарский край,Ейский район,Ближнеейский,п,311,46.6672222222222,38.2530555555556,76
Ростовская область,Неклиновский,Офенталь,х,10,47.3138888888889,38.3611111111111,73
Краснодарский край,Ейский район,Мирный,п,507,46.5597222222222,38.0119444444444,71
Ростовская область,Матвеево-Курганский,Малоекатериновка,х,362,47.5011111111111,38.3455555555556,82
Краснодарский край,Ейский район,Садовый,п,1252,46.6488888888889,38.4341666666667,88
Ростовская область,Неклиновский,Сельхозтехника,с,13,47.3058333333333,38.4147222222222,77
Краснодарский край,Ейский район,Краснофлотский,п,2186,46.6486111111111,38.2636111111111,78
Ростовская область,Неклиновский,Сотников,х,4,47.4041666666667,38.3797222222222,79
Ростовская область,Матвеево-Курганский,Харьковский,х,21,47.41,38.3791666666667,79
Ростовская область,Неклиновский,Щербаково,с,126,47.2741666666667,38.4088888888889,75
Ростовская область,Неклиновский,Малофедоровка,с,39,47.3819444444444,38.385,78
Ростовская область,Матвеево-Курганский,Ковыльный,х,34,47.4686111111111,38.3897222222222,83
Краснодарский край,Ейский район,Должанская,ст-ца,6624,46.6316666666667,37.8036111111111,56
Краснодарский край,Ейский район,Рассвет,х,47,46.5927777777778,38.3883333333333,89
Краснодарский край,Ейский район,Ейск,г,83053,46.7105555555556,38.2777777777778,75
Ростовская область,Матвеево-Курганский,Шрамко,х,28,47.6144444444444,38.4027777777778,93
Ростовская область,Неклиновский,Петровский,х,54,47.3322222222222,38.3152777777778,71
Ростовская область,Неклиновский,Федоровка,с,2210,47.3358333333333,38.3827777777778,76
Краснодарский край,Ейский район,Яснопольский,п,242,46.5686111111111,38.4116666666667,92
Ростовская область,Неклиновский,Максимов,х,333,47.1677777777778,38.2544444444444,61
Краснодарский край,Ейский район,Широчанка,п,5781,46.6588888888889,38.3319444444444,81
Ростовская область,Матвеево-Курганский,Новоселовка,х,56,47.5602777777778,38.3861111111111,88
Краснодарский край,Ейский район,Первомайский,п,332,46.4527777777778,38.2511111111111,92
Ростовская область,Неклиновский,Благодатно-Егоровский,х,12,47.2447222222222,38.3977777777778,74
Ростовская область,Матвеево-Курганский,Екатериновка,с,774,47.5372222222222,38.3827777777778,87
Краснодарский край,Ейский район,Октябрьский,п,2654,46.4911111111111,38.2811111111111,90
Ростовская область,Неклиновский,Петропавловский,х,184,47.2169444444444,38.3688888888889,71
Краснодарский край,Ейский район,Пролетарский,п,190,46.4747222222222,38.4297222222222,100
Краснодарский край,Ейский район,Моревка,п,1523,46.5458333333333,38.0586111111111,75
Ростовская область,Неклиновский,Малокомаровский,х,3,47.3619444444444,38.2813888888889,70
Краснодарский край,Ейский район,Заря,п,170,46.5025,38.1733333333333,84
Ростовская область,Неклиновский,Ульяновский,х,24,47.3838888888889,38.3536111111111,76
Краснодарский край,Ейский район,Комсомолец,п,2087,46.5791666666667,38.2613888888889,82
Краснодарский край,Ейский район,Степной,п,1658,46.5911111111111,38.4175,91
Ростовская область,Неклиновский,Оболонский,х,39,47.3147222222222,38.2730555555556,67
Краснодарский край,Ейский район,Братский,п,632,46.5122222222222,38.3136111111111,91
Краснодарский край,Ейский район,Подбельский,п,73,46.6416666666667,38.2891666666667,80
Ростовская область,Матвеево-Курганский,Колесников,х,9,47.4119444444444,38.3730555555556,79
Краснодарский край,Ейский район,Кухаривка,с,2012,46.6263888888889,38.1497222222222,73
Ростовская область,Матвеево-Курганский,Григорьевка,с,647,47.4463888888889,38.3858333333333,81
Ростовская область,Неклиновский,Дейнекин,х,17,47.3563888888889,38.3855555555556,77
Краснодарский край,Ейский район,Береговой,п,67,46.6627777777778,38.1138888888889,68
Ростовская область,Матвеево-Курганский,Краснодаровский,х,145,47.5886111111111,38.3983333333333,91
Краснодарский край,Ейский район,Большелугский,п,270,46.6169444444444,38.2461111111111,79
Краснодарский край,Ейский район,Приазовка,х,276,46.6508333333333,38.1605555555556,71
Ростовская область,Неклиновский,Приазовский,п,721,47.1422222222222,38.3747222222222,70
Краснодарский край,Ейский район,Н.Островского,п,503,46.4369444444444,38.315,97
Ростовская область,Матвеево-Курганский,Вареник,х,78,47.5702777777778,38.3933333333333,90
Краснодарский край,Ейский район,Морской,п,436,46.6908333333333,38.2036111111111,71
Краснодарский край,Ейский район,Дальний,п,104,46.4488888888889,38.1422222222222,87
Ростовская область,Неклиновский,Чекилев,х,129,47.36,38.3983333333333,78
Краснодарский край,Ейский район,Большевик,п,282,46.5127777777778,38.235,86
Краснодарский край,Ейский район,Камышеватская,ст-ца,4574,46.4122222222222,37.9516666666667,83
