регион,район,город,тип,население,широта,долгота,расстояние
Ростовская область,Матвеево-Курганский,Новоандриановка,с,653,47.5736111111111,39.0358333333333,97
Ростовская область,Красносулинский,Владимировская,ст-ца,1041,47.9338888888889,40.2933333333333,86
Ростовская область,Красносулинский,Первомайский,х,52,47.8572222222222,39.8211111111111,70
Ростовская область,Родионово-Несветайский,Курлаки,х,139,47.5380555555556,39.6091666666667,99
Ростовская область,Каменский,Нижнеговейный,х,516,48.2858333333333,40.3444444444444,73
Ростовская область,Красносулинский,Комиссаровка,х,611,48.1161111111111,40.1458333333333,66
Ростовская область,Родионово-Несветайский,Персиановка,х,29,47.5266666666667,39.4172222222222,99
Ростовская область,Тарасовский,Беляевка,х,22,48.6677777777778,40.3361111111111,76
Ростовская область,Родионово-Несветайский,Атамано-Власовка,х,274,47.7744444444444,39.5891666666667,73
Ростовская область,Матвеево-Курганский,Петрополье,х,186,47.7033333333333,38.9147222222222,86
Ростовская область,Куйбышевский,Новобахмутский,х,267,47.7772222222222,38.8761111111111,80
Ростовская область,Тарасовский,Нижняя Тарасовка,х,390,48.7286111111111,40.3247222222222,78
Ростовская область,Миллеровский,Титовка,сл,752,48.9825,39.7280555555556,67
Ростовская область,Каменский,Верхнекрасный,х,323,48.3611111111111,40.1386111111111,56
Ростовская область,Родионово-Несветайский,Нагорно-Тузловка,х,98,47.8316666666667,39.4036111111111,65
Ростовская область,Родионово-Несветайский,Папчино,х,215,47.6325,39.5002777777778,87
Ростовская область,Красносулинский,Калиновка,х,82,48.1411111111111,40.2686111111111,73
Ростовская область,Миллеровский,Нижнекамышинка,сл,363,49.0008333333333,39.8475,73
Ростовская область,Красносулинский,Украинский,х,247,47.9713888888889,39.8605555555556,61
Ростовская область,Миллеровский,Калмыковка,х,3,49.0477777777778,39.8266666666667,77
Ростовская область,Тарасовский,Деркул,п,256,48.8233333333333,39.8069444444444,55
Ростовская область,Каменский,Масаловка,х,1403,48.4122222222222,40.2686111111111,66
Ростовская область,Красносулинский,Донлесхоз,п,201,47.8622222222222,40.2375,89
Ростовская область,Матвеево-Курганский,Кучеровка,х,2,47.6766666666667,38.8863888888889,90
Ростовская область,Куйбышевский,Ольховский,х,216,47.8072222222222,38.8580555555556,78
Ростовская область,Красносулинский,Новоровенецкий,х,403,48.0091666666667,39.8086111111111,55
