регион,район,город,тип,население,широта,долгота,расстояние
Архангельская область,Холмогорский муниципальный район,Среднее,д,3,64.1736111111111,41.6438888888889,65
Архангельская область,Холмогорский муниципальный район,Пустошка,д,8,64.3055555555556,41.2233333333333,40
Архангельская область,Холмогорский муниципальный район,Ходчино,д,31,64.1994444444444,41.5955555555556,61
Архангельская область,Приморский муниципальный район,Нестерово,д,9,64.4597222222222,40.6280555555556,16
Архангельская область,Приморский муниципальный район,Ширша,д,9,64.4452777777778,40.7416666666667,17
Архангельская область,Приморский муниципальный район,Вагинский Наволок,д,2,64.5797222222222,40.27,21
Архангельская область,Приморский муниципальный район,Чужгоры,д,10,64.4927777777778,40.2369444444444,25
Архангельская область,Холмогорский муниципальный район,Кричевское,д,1,63.9325,41.6755555555556,87
Архангельская область,Холмогорский муниципальный район,Красная Горка,д,2,64.31,41.0841666666667,36
Архангельская область,Холмогорский муниципальный район,Часовенская,д,38,63.8144444444444,41.5219444444444,95
Архангельская область,Приморский муниципальный район,Бакарица,д,0,64.4147222222222,40.8808333333333,22
Архангельская область,Приморский муниципальный район,Погорелка,д,1,64.3783333333333,40.9327777777778,26
Архангельская область,Приморский муниципальный район,Чубола,д,0,64.6341666666667,40.1927777777778,25
Архангельская область,Приморский муниципальный район,Ижма,д,35,64.7227777777778,40.7822222222222,14
Архангельская область,Приморский муниципальный район,Кавкола,д,47,64.5902777777778,40.435,13
Архангельская область,Новодвинск,Павлово,д,0,64.3888888888889,40.8597222222222,24
Архангельская область,Приморский муниципальный район,Прилук,д,5,64.5783333333333,40.2411111111111,22
Архангельская область,Приморский муниципальный район,Чекоминка,д,0,64.6258333333333,40.3952777777778,15
Архангельская область,Холмогорский муниципальный район,Заозерье,д,10,64.1786111111111,41.6466666666667,64
Архангельская область,Приморский муниципальный район,Залахотье,д,8,64.6105555555555,40.4358333333333,13
Архангельская область,Приморский муниципальный район,Степановская,д,12,64.3508333333333,41.3255555555556,40
Архангельская область,Приморский муниципальный район,Заручей,д,10,64.5597222222222,40.3830555555556,16
Архангельская область,Приморский муниципальный район,Куя,д,0,65.0830555555556,40.0980555555556,61
Архангельская область,Приморский муниципальный район,Волочек,д,0,64.5841666666667,40.3825,16
Архангельская область,Северодвинск,Палозеро,п,7,64.1425,39.7191666666667,70
Архангельская область,Холмогорский муниципальный район,Гольцово,д,0,64.2766666666667,41.6988888888889,59
Архангельская область,Приморский муниципальный район,Лодемский,ж/д_рзд,0,64.4094444444444,41.2994444444444,35
Архангельская область,Приморский муниципальный район,Кукушка,д,10,64.4508333333333,40.5969444444444,17
Архангельская область,Приморский муниципальный район,Захарово,д,19,64.5441666666667,40.4008333333333,16
Архангельская область,Холмогорский муниципальный район,Бурмачевская,д,49,64.3086111111111,41.1919444444444,39
Архангельская область,Приморский муниципальный район,Голова,д,27,64.7358333333333,40.03,36
Архангельская область,Холмогорский муниципальный район,Александровская 3-я,д,13,64.2766666666667,41.6736111111111,58
Архангельская область,Холмогорский муниципальный район,Александровская,д,12,64.2980555555555,41.2311111111111,41
Архангельская область,Архангельск,Архангельск,г,348343,64.5430555555556,40.5372222222222,10
Архангельская область,Приморский муниципальный район,Заручевская,д,25,64.3316666666667,41.4777777777778,47
Архангельская область,Холмогорский муниципальный район,Бор,д,6,64.2844444444444,41.6961111111111,58
Архангельская область,Приморский муниципальный район,Новое Лукино,д,8,64.4547222222222,40.5991666666667,17
Архангельская область,Приморский муниципальный район,Хвосты,д,7,64.6075,40.4280555555556,13
Архангельская область,Приморский муниципальный район,Верхнее Рыболово,д,2,64.5858333333333,40.3663888888889,16
Архангельская область,Холмогорский муниципальный район,Великий Двор,д,11,63.8372222222222,41.5772222222222,94
Архангельская область,Приморский муниципальный район,Подборка,д,0,64.7566666666667,40.5302777777778,19
Архангельская область,Приморский муниципальный район,Чубола-Наволок,д,5,64.6322222222222,40.2547222222222,22
Архангельская область,Холмогорский муниципальный район,Кобылинская,д,0,64.2816666666667,41.6491666666667,57
