регион,район,город,тип,население,широта,долгота,расстояние
Ненецкий автономный округ,Заполярный район,Андег,д,121,67.8902777777778,53.2155555555556,28
Ненецкий автономный округ,Заполярный район,Оксино,с,374,67.5833333333333,52.1808333333333,40
Ненецкий автономный округ,Заполярный район,Осколково,д,2,67.9555555555555,53.74,43
Ненецкий автономный округ,Заполярный район,Нельмин Нос,п,698,67.9813888888889,52.9566666666667,38
Республика Коми,МР Усть-Цилемский,Ёрмица,с,131,66.9188888888889,52.3375,87
Ненецкий автономный округ,Заполярный район,Красное,п,1306,67.8352777777778,53.6013888888889,29
Ненецкий автономный округ,Заполярный район,Макарово,д,99,67.6844444444444,52.875,11
Ненецкий автономный округ,Заполярный район,Тошвиска,д,71,67.1208333333333,52.3013888888889,67
Республика Коми,МР Усть-Цилемский,Харъяга,п,137,66.925,52.1669444444444,89
Ненецкий автономный округ,Заполярный район,Устье,д,11,67.5675,52.5913888888889,23
Республика Коми,МР Усть-Цилемский,Лёждуг,д,18,66.9972222222222,52.3488888888889,79
Ненецкий автономный округ,Заполярный район,Куя,д,57,67.7702777777778,53.2672222222222,15
Ненецкий автономный округ,Заполярный район,Тельвиска,с,504,67.6336111111111,52.8866666666667,9
Ненецкий автономный округ,Заполярный район,Пылемец,д,53,67.4105555555556,52.2566666666667,44
Ненецкий автономный округ,Город Нарьян-Мар,Нарьян-Мар,г,24921,67.6380555555556,53.0069444444444,4
Ненецкий автономный округ,Заполярный район,Искателей,рп,7128,67.6758333333333,53.1166666666667,3
