регион,район,город,тип,население,широта,долгота,расстояние
Республика Карелия,Кемский,Рабочеостровск,п,1770,64.9833333333333,34.7477777777778,46
Республика Карелия,Беломорский,Сальнаволок,д,16,64.51,34.8197222222222,72
Архангельская область,Приморский муниципальный район,Реболда,п,0,65.1444444444444,35.8286111111111,13
Архангельская область,Приморский муниципальный район,Орловский Маяк,нп,0,64.9213888888889,36.4377777777778,35
Республика Карелия,Беломорский,Юково,д,1,64.36,35.6722222222222,74
Архангельская область,Приморский муниципальный район,Чесменский Маяк,нп,0,64.7180555555556,36.5466666666667,52
Республика Карелия,Беломорский,Шижня,д,89,64.4911111111111,34.7677777777778,75
Республика Карелия,Беломорский,Беломорск,г,10052,64.5230555555556,34.7666666666667,72
Республика Карелия,Беломорский,Чёрная Ламбина,м,0,64.2213888888889,35.4691666666667,91
Республика Карелия,Беломорский,Сумпосад,ст,205,64.2466666666667,35.3966666666667,88
Республика Карелия,Беломорский,Тегозеро,ст,1,64.1897222222222,35.5594444444444,94
Архангельская область,Приморский муниципальный район,Савватьево,п,0,65.1172222222222,35.6038888888889,11
Республика Карелия,Беломорский,Вирма,с,23,64.3338888888889,35.1880555555556,81
Архангельская область,Приморский муниципальный район,Пушлахта,д,31,64.8105555555556,36.5755555555556,46
Республика Карелия,Беломорский,Пертозеро,д,0,64.1761111111111,35.6186111111111,95
Архангельская область,Приморский муниципальный район,Соловецкий,п,934,65.0216666666667,35.71,1
Республика Карелия,Беломорский,Сумский Посад,с,754,64.2547222222222,35.4208333333333,87
Республика Карелия,Беломорский,При 18 шлюзе ББК,п,39,64.4791666666667,34.7469444444444,77
Республика Карелия,Беломорский,При 19 Шлюзе ББК,п,2,64.4808333333333,34.7991666666667,75
Республика Карелия,Беломорский,Остров Большой Жужмуй,д,0,64.6791666666667,35.5611111111111,39
Архангельская область,Приморский муниципальный район,Малая Муксалма,п,4,65.0125,35.9997222222222,12
