регион,район,город,тип,население,широта,долгота,расстояние
Ленинградская область,Приозерский муниципальный район,Луговое,п,119,60.5513888888889,30.4533333333333,84
Ленинградская область,Всеволожский муниципальный район,Агалатово,д,6113,60.2188888888889,30.2838888888889,46
Ленинградская область,Волосовский муниципальный район,Сосницы,д,99,59.2841666666667,29.5394444444444,70
Ленинградская область,Ломоносовский муниципальный район,Оржицы,д,2696,59.7525,29.7119444444444,31
Ленинградская область,Гатчинский муниципальный район,Пижма,массив,124,59.5013888888889,30.1677777777778,33
Ленинградская область,Ломоносовский муниципальный район,Нижняя Кипень,с,60,59.6911111111111,29.8544444444444,25
Ленинградская область,Тосненский муниципальный район,Машино,д,0,59.4080555555556,30.7486111111111,51
Ленинградская область,Лужский муниципальный район,Песочный Мох,д,17,58.9011111111111,30.4341666666667,100
Ленинградская область,Выборгский муниципальный район,Каннельярви,п/ст,87,60.3552777777778,29.3947222222222,78
Ленинградская область,Тосненский муниципальный район,Рябово,пгт,3251,59.4202777777778,31.1291666666667,64
Ленинградская область,Гатчинский муниципальный район,Слудицы,п/ст,95,59.3016666666667,30.3830555555556,55
Ленинградская область,Гатчинский муниципальный район,Хаймино,д,15,59.2369444444444,30.5172222222222,64
Ленинградская область,Гатчинский муниципальный район,Вырица,пгт,12187,59.4155555555556,30.3330555555556,43
Ленинградская область,Выборгский муниципальный район,Правдино,п,128,60.5544444444444,29.565,92
Ленинградская область,Гатчинский муниципальный район,Межно,д,179,59.345,30.0130555555556,52
Ленинградская область,Волосовский муниципальный район,Сорок шестой километр,п,2,59.2630555555556,29.5255555555556,72
Ленинградская область,Всеволожский муниципальный район,Энколово,д,426,60.1094444444444,30.4302777777778,35
Ленинградская область,Гатчинский муниципальный район,Пеньково,д,12,59.5561111111111,29.955,32
Ленинградская область,Волосовский муниципальный район,Большое Тешково,д,90,59.5883333333333,29.4022222222222,53
Ленинградская область,Всеволожский муниципальный район,Мистолово,д,366,60.1183333333333,30.4055555555556,36
Ленинградская область,Тосненский муниципальный район,Любань,п,0,59.3669444444444,31.2597222222222,74
Ленинградская область,Гатчинский муниципальный район,Савкино,д,9,59.2177777777778,30.5411111111111,66
Ленинградская область,Всеволожский муниципальный район,Старая Пустошь,д,17,59.9761111111111,30.6877777777778,30
Ленинградская область,Выборгский муниципальный район,Пески,п,165,60.1658333333333,29.2672222222222,68
Ленинградская область,Лужский муниципальный район,Жерядки,д,4,58.925,30.64,99
Ленинградская область,Тосненский муниципальный район,Лисино-Корпус,п,2001,59.4294444444444,30.6683333333333,47
Ленинградская область,Гатчинский муниципальный район,Педлино,массив,15,59.5780555555556,29.9630555555556,29
Ленинградская область,Гатчинский муниципальный район,Яскелево,д,10,59.5197222222222,29.7625,42
Ленинградская область,Волосовский муниципальный район,Лагоново,д,76,59.4594444444444,29.4913888888889,57
Ленинградская область,Всеволожский муниципальный район,Красная Заря,п,108,59.8388888888889,30.5713888888889,17
Ленинградская область,Гатчинский муниципальный район,Мыза,д,304,59.4913888888889,30.2402777777778,34
Ленинградская область,Всеволожский муниципальный район,Аньялово,д,0,60.2994444444444,30.4947222222222,57
Ленинградская область,Приозерский муниципальный район,Снегиревка,д,1892,60.555,30.2969444444444,84
Ленинградская область,Всеволожский муниципальный район,Кузьмоловский,гп,11546,60.1086111111111,30.4908333333333,36
