регион,район,город,тип,население,широта,долгота,расстояние
Новгородская область,Новгородский муниципальный район,Хотяж,д,55,58.3758333333333,31.1366666666667,31
Новгородская область,Старорусский муниципальный район,Виленка,д,41,58.0411111111111,31.0144444444444,68
Новгородская область,Старорусский муниципальный район,Харушино,д,0,57.9302777777778,31.0875,79
Новгородская область,Шимский муниципальный район,Бор,д,308,58.2011111111111,30.6644444444444,63
Новгородская область,Шимский муниципальный район,Бараново,д,0,58.1566666666667,30.7841666666667,63
Новгородская область,Батецкий муниципальный район,Нива,д,0,58.5747222222222,30.5175,50
Новгородская область,Новгородский муниципальный район,Курицко,д,46,58.3458333333333,31.1513888888889,34
Новгородская область,Парфинский муниципальный район,Медведково,д,8,58.0194444444444,31.69,70
Ленинградская область,Тосненский муниципальный район,Машино,д,0,59.4080555555556,30.7486111111111,94
Ленинградская область,Лужский муниципальный район,Песочный Мох,д,17,58.9011111111111,30.4341666666667,62
Ленинградская область,Тосненский муниципальный район,Рябово,пгт,3251,59.4202777777778,31.1291666666667,89
Новгородская область,Старорусский муниципальный район,Дретено,д,7,57.8338888888889,31.1594444444444,89
Ленинградская область,Гатчинский муниципальный район,Хаймино,д,15,59.2369444444444,30.5172222222222,84
Новгородская область,Новгородский муниципальный район,Верховье,д,10,58.3688888888889,31.1494444444444,31
Новгородская область,Новгородский муниципальный район,Желкун,д,32,58.4355555555556,31.1780555555556,24
Новгородская область,Старорусский муниципальный район,Волышово,д,33,57.8813888888889,31.2711111111111,83
Новгородская область,Батецкий муниципальный район,Голешино,д,3,58.5530555555556,30.5975,46
Новгородская область,Парфинский муниципальный район,Юрьево,д,171,58.0430555555556,31.5872222222222,66
Новгородская область,Старорусский муниципальный район,Гостеж,д,37,57.9986111111111,30.9722222222222,74
Новгородская область,Чудовский муниципальный район,Гладь,д,5,59.1141666666667,32.1002777777778,68
Новгородская область,Новгородский муниципальный район,Панковка,рп,9934,58.4936111111111,31.2027777777778,18
Новгородская область,Старорусский муниципальный район,Санаковщина,д,17,57.7569444444444,31.3083333333333,97
Новгородская область,Новгородский муниципальный район,Пахотная Горка,д,9,58.6502777777778,31.4705555555556,5
Новгородская область,Волотовский муниципальный район,Гумнище,д,0,57.9375,30.6394444444444,88
Новгородская область,Новгородский муниципальный район,Долгово,д,51,58.7302777777778,31.2177777777778,14
Новгородская область,Парфинский муниципальный район,Сучки,д,3,58.1127777777778,31.8430555555556,63
Новгородская область,Чудовский муниципальный район,Березеево,д,10,59.0961111111111,31.9486111111111,61
Новгородская область,Шимский муниципальный район,Старый Медведь,д,215,58.2955555555556,30.4938888888889,63
Новгородская область,Батецкий муниципальный район,Погост-Саблё,д,6,58.5680555555556,30.6055555555556,45
Новгородская область,Старорусский муниципальный район,Бракловицы,д,1,57.8380555555556,31.235,88
Новгородская область,Старорусский муниципальный район,Турово,д,9,57.7836111111111,31.03,96
Новгородская область,Крестецкий муниципальный район,Холова,д,0,58.4519444444444,32.2852777777778,56
Новгородская область,Чудовский муниципальный район,Облучье,д,7,59.3030555555556,32.1808333333333,88
Новгородская область,Старорусский муниципальный район,Борисово,д,301,58.1352777777778,31.1497222222222,56
Новгородская область,Новгородский муниципальный район,Три Отрока,д,55,58.4527777777778,31.2047222222222,22
Ленинградская область,Тосненский муниципальный район,Любань,п,0,59.3669444444444,31.2597222222222,82
Новгородская область,Новгородский муниципальный район,Вейско,д,5,58.2663888888889,31.6866666666667,43
Ленинградская область,Гатчинский муниципальный район,Савкино,д,9,59.2177777777778,30.5411111111111,81
Новгородская область,Новгородский муниципальный район,Белая Гора,д,377,58.4977777777778,31.7094444444444,23
Новгородская область,Новгородский муниципальный район,Кожевница,х,0,58.5361111111111,31.1283333333333,18
Новгородская область,Маловишерский муниципальный район,Красный Бережок,д,5,58.5563888888889,32.2352777777778,50
Новгородская область,Маловишерский муниципальный район,Русская Ольховка,д,2,58.6355555555556,32.1930555555556,47
Новгородская область,Старорусский муниципальный район,Трухново,д,0,58.0386111111111,31.0877777777778,67
Ленинградская область,Лужский муниципальный район,Жерядки,д,4,58.925,30.64,54
Новгородская область,Чудовский муниципальный район,Оскуй,с,452,59.2763888888889,32.0886111111111,82
