регион,район,город,тип,население,широта,долгота,расстояние
Мурманская область,Городской округ город Кировск с подведомственной территорией,Кировск,г,28832,67.615,33.6636111111111,17
Мурманская область,Городской округ город Апатиты с подведомственной территорией,Хибины,ж/д_ст,0,67.6616666666667,33.2272222222222,26
Мурманская область,Кандалакшский муниципальный район,Лувеньга,с,470,67.1033333333333,32.7152777777778,54
Мурманская область,Кандалакшский муниципальный район,Лесозаводский,нп,444,66.7297222222222,32.8455555555556,87
Мурманская область,Городской округ город Кировск с подведомственной территорией,Коашва,нп,1008,67.6086111111111,34.1788888888889,30
Мурманская область,Городской округ город Мончегорск с подведомственной территорией,Мончегорск,г,42581,67.9383333333333,32.9358333333333,59
Мурманская область,Кандалакшский муниципальный район,Колвица,с,3,67.0866666666667,32.9794444444444,49
Мурманская область,Терский муниципальный район,Умба,пгт,4552,66.6847222222222,34.3441666666667,92
Мурманская область,Кандалакшский муниципальный район,Ковда,с,32,66.6927777777778,32.87,91
Мурманская область,Кандалакшский муниципальный район,Ковда,ж/д_ст,9,66.7097222222222,32.6413888888889,93
Мурманская область,Ловозерский муниципальный район,Ревда,пгт,7873,67.9419444444444,34.5527777777778,67
Мурманская область,Городской округ город Кировск с подведомственной территорией,Титан,нп,1606,67.5602777777778,33.6363888888889,11
Мурманская область,Городской округ город Мончегорск с подведомственной территорией,27 км железной дороги Мончегорск-Оленья,нп,2238,67.9727777777778,32.9413888888889,63
Мурманская область,Городской округ город Полярные Зори с подведомственной территорией,Африканда,нп,1527,67.4427777777778,32.7675,35
Мурманская область,Городской округ город Мончегорск с подведомственной территорией,Лапландский Заповедник,нп,0,67.6508333333333,32.6483333333333,45
Мурманская область,Городской округ город Апатиты с подведомственной территорией,Тик-Губа,нп,2,67.5555555555556,33.3241666666667,15
Мурманская область,Городской округ город Оленегорск с подведомственной территорией,Оленегорск,г,21039,68.1419444444444,33.2669444444444,76
Мурманская область,Городской округ город Оленегорск с подведомственной территорией,Имандра,с,8,67.8497222222222,33.2597222222222,45
Мурманская область,Городской округ город Оленегорск с подведомственной территорией,Ягельный Бор,ж/д_ст,0,68.0544444444444,33.3605555555556,66
Мурманская область,Городской округ город Апатиты с подведомственной территорией,Апатиты,г,56730,67.5677777777778,33.4066666666667,13
Мурманская область,Городской округ город Мончегорск с подведомственной территорией,25 км железной дороги Мончегорск-Оленья,нп,1136,67.9875,32.9786111111111,63
Мурманская область,Городской округ город Оленегорск с подведомственной территорией,Лапландия,ж/д_ст,98,68.2725,33.325,90
Мурманская область,Городской округ город Оленегорск с подведомственной территорией,Высокий,нп,8704,68.135,33.4119444444444,75
