регион,район,город,тип,население,широта,долгота,расстояние
Мурманская область,Городской округ ЗАТО Александровск,Оленья Губа,нп,1150,69.2127777777778,33.3711111111111,54
Мурманская область,Кольский муниципальный район,Молочный,пгт,6080,68.855,33.0188888888889,13
Мурманская область,Кольский муниципальный район,Тулома,с,2352,68.8180555555556,32.6922222222222,4
Мурманская область,Кольский муниципальный район,Килпъявр,нп,254,69.0875,32.4238888888889,36
Мурманская область,Кольский муниципальный район,Песчаный,нп,107,68.4969444444444,33.1994444444444,36
Мурманская область,Городской округ ЗАТО посёлок Видяево,Видяево,рп,4632,69.3183333333333,32.7925,59
Мурманская область,Городской округ ЗАТО город Североморск,Сафоново,пгт,5350,69.0561111111111,33.2919444444444,37
Мурманская область,Кольский муниципальный район,Зверосовхоз,нп,1462,68.8427777777778,33.0905555555556,15
Мурманская область,Городской округ ЗАТО Александровск,Полярный,г,15663,69.1988888888889,33.4508333333333,54
Мурманская область,Городской округ город Мурманск,Мурманск,г,298096,68.9694444444444,33.0744444444444,24
Мурманская область,Кольский муниципальный район,Мурмаши,пгт,11184,68.815,32.8122222222222,4
Мурманская область,Городской округ город Мончегорск с подведомственной территорией,Мончегорск,г,42581,67.9383333333333,32.9358333333333,94
Мурманская область,Кольский муниципальный район,Кола,г,13706,68.8786111111111,33.0261111111111,15
Мурманская область,Городской округ ЗАТО город Североморск,Щукозеро,нп,320,69.0261111111111,33.6391666666667,44
Мурманская область,Городской округ ЗАТО Александровск,Гаджиево,г,9694,69.2488888888889,33.315,56
Мурманская область,Кольский муниципальный район,Верхнетуломский,пгт,1516,68.6072222222222,31.7994444444444,43
Мурманская область,Городской округ ЗАТО посёлок Видяево,Чан-Ручей,нп,0,69.2752777777778,32.8875,55
Мурманская область,Кольский муниципальный район,Лопарская,ж/д_ст,229,68.6327777777778,33.2302777777778,25
Мурманская область,Кольский муниципальный район,Нял,ж/д_ст,0,69.0777777777778,32.1216666666667,41
Мурманская область,Кольский муниципальный район,Выходной,ж/д_ст,21,68.8369444444444,33.0794444444444,14
Мурманская область,Городской округ ЗАТО город Североморск,Североморск,г,35875,69.0763888888889,33.4177777777778,42
Мурманская область,Кольский муниципальный район,Тайбола,ж/д_ст,14,68.4344444444444,33.3502777777778,45
Мурманская область,Кольский муниципальный район,Междуречье,нп,1054,69.0325,32.9405555555556,28
Мурманская область,Кольский муниципальный район,Шонгуй,нп,1126,68.7430555555556,33.155,16
Мурманская область,Городской округ город Мончегорск с подведомственной территорией,27 км железной дороги Мончегорск-Оленья,нп,2238,67.9727777777778,32.9413888888889,90
Мурманская область,Кольский муниципальный район,Мокрая Кица,нп,40,68.6355555555556,33.2977777777778,27
Мурманская область,Кольский муниципальный район,Голубые Ручьи,нп,309,68.7580555555556,33.0211111111111,11
Мурманская область,Кольский муниципальный район,Кица,ж/д_ст,39,68.5130555555556,33.1886111111111,34
Мурманская область,Городской округ ЗАТО Александровск,Снежногорск,г,14688,69.1919444444444,33.2380555555556,49
Мурманская область,Городской округ ЗАТО Александровск,Сайда-Губа,нп,0,69.2413888888889,33.225,54
Мурманская область,Городской округ ЗАТО город Североморск,Североморск-3,нп,1502,68.885,33.7341666666667,41
Мурманская область,Городской округ город Оленегорск с подведомственной территорией,Оленегорск,г,21039,68.1419444444444,33.2669444444444,74
Мурманская область,Кольский муниципальный район,Пулозеро,с,7,68.4083333333333,33.3202777777778,47
Мурманская область,Кольский муниципальный район,Пяйве,ж/д_ст,54,68.9694444444444,32.4611111111111,23
Мурманская область,Городской округ ЗАТО город Заозёрск,Заозерск,г,10019,69.4002777777778,32.45,70
Мурманская область,Городской округ город Оленегорск с подведомственной территорией,Ягельный Бор,ж/д_ст,0,68.0544444444444,33.3605555555556,84
Мурманская область,Кольский муниципальный район,Минькино,с,566,68.99,33.0191666666667,25
Мурманская область,Городской округ город Мончегорск с подведомственной территорией,25 км железной дороги Мончегорск-Оленья,нп,1136,67.9875,32.9786111111111,89
Мурманская область,Городской округ ЗАТО Александровск,Кувшинская Салма,нп,0,69.305,33.4222222222222,64
Мурманская область,Кольский муниципальный район,Пушной,нп,997,68.4772222222222,33.3188888888889,41
Мурманская область,Городской округ город Оленегорск с подведомственной территорией,Лапландия,ж/д_ст,98,68.2725,33.325,61
Мурманская область,Кольский муниципальный район,Мишуково,нп,210,69.045,33.0377777777778,31
Мурманская область,Кольский муниципальный район,Кильдинстрой,пгт,2382,68.8041666666667,33.0955555555556,14
Мурманская область,Кольский муниципальный район,Ура-Губа,с,478,69.2908333333333,32.8047222222222,56
Мурманская область,Городской округ город Оленегорск с подведомственной территорией,Высокий,нп,8704,68.135,33.4119444444444,77
