регион,район,город,тип,население,широта,долгота,расстояние
Псковская область,Плюсский район,Заруденье,д,134,58.6036111111111,28.8341666666667,94
Псковская область,Псковский район,Моглино,д,81,57.7825,28.1675,13
Псковская область,Струго-Красненский район,Тужерино,д,1,58.2155555555556,28.9811111111111,59
Псковская область,Островский район,Рудаки,д,0,57.3083333333333,28.6386111111111,54
Псковская область,Порховский район,Подвишенье,д,0,57.565,28.8547222222222,36
Псковская область,Гдовский район,Новые Дубяги,д,7,58.5341666666667,28.3744444444444,83
Псковская область,Псковский район,Купровщина,д,142,57.8977777777778,28.3147222222222,13
Псковская область,Печорский район,Анохово,д,5,57.8541666666667,27.9502777777778,27
Псковская область,Палкинский район,Малое Ермаково,д,0,57.5094444444444,27.9894444444444,39
Псковская область,Гдовский район,Луневщина,д,13,58.5977777777778,27.8819444444444,95
Псковская область,Печорский район,Воронкино,д,9,57.7083333333333,27.4555555555556,56
Псковская область,Печорский район,Павлово,д,2,57.7861111111111,27.5397222222222,50
Псковская область,Печорский район,Заболотье,д,65,58.0269444444444,27.7013888888889,49
Псковская область,Порховский район,Индеево,д,4,57.5475,28.7986111111111,35
Псковская область,Красногородский район,Артамоны,д,2,56.8830555555556,28.2516666666667,100
Псковская область,Плюсский район,Волково,д,1,58.4833333333333,28.9913888888889,85
Псковская область,Печорский район,Загривье,д,0,57.7136111111111,27.9597222222222,27
Псковская область,Порховский район,Муксино,д,3,57.4727777777778,28.9791666666667,49
Псковская область,Печорский район,Пашково,д,3,57.4755555555556,27.61,58
Псковская область,Палкинский район,Троицкие,д,0,57.3855555555556,27.98,50
Псковская область,Островский район,Протасьево,д,7,57.3588888888889,28.5938888888889,48
Псковская область,Печорский район,Кирово,д,12,57.7063888888889,27.4761111111111,55
Псковская область,Псковский район,Трубниково,д,36,57.7447222222222,28.7891666666667,23
Псковская область,Палкинский район,Марково,д,0,57.4844444444444,27.8938888888889,44
Псковская область,Псковский район,Филатова Гора,д,16,57.6766666666667,28.1672222222222,18
Псковская область,Печорский район,Юшково,д,30,57.5044444444444,27.6305555555556,55
Псковская область,Псковский район,Подгарье,д,15,58.1772222222222,28.2244444444444,44
Псковская область,Струго-Красненский район,Березица,д,3,58.3572222222222,29.1725,78
Псковская область,Плюсский район,Котоши,д,8,58.5580555555556,28.5533333333333,86
Псковская область,Псковский район,Красная Репка,д,11,57.7575,28.0625,20
Псковская область,Гдовский район,Заклинье,д,13,58.6036111111111,28.3716666666667,91
Псковская область,Пыталовский район,Волочно,д,0,57.3508333333333,28.0441666666667,52
Псковская область,Островский район,Скуратово,д,2,57.3538888888889,29.0397222222222,61
Псковская область,Псковский район,Панево,д,1,57.5480555555556,28.3983333333333,26
Псковская область,Новоржевский район,Сторожня,д,10,57.105,29.36,95
Псковская область,Пыталовский район,Веприково,д,0,56.9783333333333,27.9655555555556,93
Псковская область,Гдовский район,Затобинье,д,0,58.3727777777778,28.4283333333333,65
Псковская область,Островский район,Лаврово,д,0,57.3380555555556,29.0477777777778,63
Псковская область,Печорский район,Новый Изборск,д,1385,57.7722222222222,27.9719444444444,25
Псковская область,Струго-Красненский район,Струги Красные,рп,6909,58.27,29.1116666666667,68
Псковская область,Плюсский район,Пелеши,д,4,58.5691666666667,28.6177777777778,88
Псковская область,Пыталовский район,Лотоши,д,2,56.9880555555556,28.0025,91
Псковская область,Печорский район,Михеенки,д,12,57.575,27.5366666666667,56
Псковская область,Новоржевский район,Губкино,д,18,57.1236111111111,29.2269444444444,88
Псковская область,Гдовский район,Самолва,д,199,58.2908333333333,27.6219444444444,72
Псковская область,Островский район,Толстиково,д,0,57.3008333333333,28.6644444444444,56
Псковская область,Порховский район,Ямкино,д,6,57.9047222222222,29.3083333333333,55
Псковская область,Псковский район,Комарово,д,15,57.7269444444444,28.1861111111111,13
Псковская область,Псковский район,Погорелка,д,17,57.8433333333333,28.6080555555556,14
Псковская область,Струго-Красненский район,Собино,д,3,58.1736111111111,28.6544444444444,46
Псковская область,Островский район,Устье,д,1,57.2127777777778,28.1369444444444,65
Псковская область,Струго-Красненский район,Игаево,д,0,58.3769444444444,28.7925,70
Псковская область,Порховский район,Красное Сосонье,д,1,57.4127777777778,29.1019444444444,59
Псковская область,Островский район,Поляки,д,3,57.2805555555556,28.5094444444444,56
Псковская область,Струго-Красненский район,Сверетово,д,15,58.0313888888889,28.9066666666667,40
Псковская область,Палкинский район,Юматово,д,0,57.6088888888889,27.9547222222222,32
Псковская область,Печорский район,Решетово,д,5,57.675,27.6919444444444,43
Псковская область,Пушкиногорский район,Устье,д,5,56.9655555555556,28.7816666666667,94
Псковская область,Псковский район,Гришино,д,6,57.5711111111111,28.5905555555556,26
Псковская область,Печорский район,Гора,д,8,57.8375,27.9258333333333,28
Псковская область,Порховский район,Межник,д,2,57.5466666666667,29.2233333333333,56
Псковская область,Новоржевский район,Пришвино,д,21,56.9861111111111,29.1694444444444,100
Псковская область,Пыталовский район,Белкино,д,5,57.0216666666667,27.8047222222222,92
Псковская область,Псковский район,Подклинье,д,40,58.0472222222222,28.4138888888889,29
Псковская область,Плюсский район,Радовье,д,0,58.435,29.2086111111111,86
Псковская область,Струго-Красненский район,Кириково,д,20,58.3288888888889,28.9288888888889,68
Псковская область,Псковский район,Остров им Белова,д,16,58.0005555555556,28.0233333333333,32
Псковская область,Палкинский район,Сухлово,д,7,57.5822222222222,28.0530555555556,30
Псковская область,Порховский район,Гречушанка,д,0,57.595,29.3811111111111,62
Псковская область,Псковский район,Дуброво,д,578,57.8052777777778,28.1413888888889,15
Псковская область,Порховский район,Рожницкое Заречье,д,4,57.4972222222222,29.2127777777778,58
Псковская область,Островский район,Гришманы,д,2,57.1758333333333,28.5152777777778,68
Псковская область,Новоржевский район,Дупли,д,4,57.2411111111111,29.2925,80
Псковская область,Пыталовский район,Товарово,д,0,56.9888888888889,27.8294444444444,94
Псковская область,Палкинский район,Рупосово,д,0,57.5188888888889,27.7630555555556,47
Псковская область,Струго-Красненский район,Ивановщина,д,1,58.1433333333333,28.6222222222222,42
Псковская область,Псковский район,Царевщина,д,0,58.1730555555556,28.3836111111111,43
Псковская область,Гдовский район,Мерзляково,д,1,58.6186111111111,27.8277777777778,98
Псковская область,Пыталовский район,Жавры,д,0,56.9602777777778,27.9936111111111,94
Псковская область,Пыталовский район,Бесенята,д,0,56.9638888888889,28.0883333333333,93
Псковская область,Красногородский район,Кривошляпы,д,2,56.945,28.485,93
Псковская область,Псковский район,Печихино,д,3,57.6391666666667,28.5602777777778,18
Псковская область,Пушкиногорский район,Шмаки,д,1,56.8980555555556,28.6061111111111,99
Псковская область,Островский район,Конево,д,2,57.2544444444444,28.8447222222222,64
Псковская область,Псковский район,Барбаши,д,90,57.7294444444444,28.3955555555556,6
Псковская область,Пушкиногорский район,Туравцево,д,17,57.0558333333333,28.7058333333333,83
Псковская область,Струго-Красненский район,Захолустье,д,0,57.9938888888889,28.6263888888889,27
Псковская область,Островский район,Жеребьи,д,0,57.115,28.4572222222222,74
Псковская область,Печорский район,Печорское-Олохово,д,4,57.6988888888889,27.6688888888889,44
Псковская область,Островский район,Астратово,д,19,57.4641666666667,28.3572222222222,35
Псковская область,Островский район,Волково,д,0,57.3719444444444,28.3858333333333,45
Псковская область,Островский район,Паршино,д,1,57.2588888888889,28.1905555555556,59
Псковская область,Островский район,Дубки,д,130,57.1841666666667,28.1380555555556,68
Псковская область,Псковский район,Твердуново,д,1,57.7202777777778,28.6605555555556,17
Псковская область,Новоржевский район,Фатьяново,д,6,57.2116666666667,29.1311111111111,77
Псковская область,Гдовский район,Каменная Стража,д,1,58.3583333333333,27.7172222222222,75
Псковская область,Новоржевский район,Каруза,д,1,57.1130555555556,29.0755555555556,85
