регион,район,город,тип,население,широта,долгота,расстояние
Республика Карелия,Пряжинский национальный,Падозеро,ст,124,61.865,33.9166666666667,12
Республика Карелия,Кондопожский,Галлезеро,д,0,62.125,33.8583333333333,30
Республика Карелия,Кондопожский,Кяппесельга,д,18,62.6541666666667,34.2566666666667,85
Республика Карелия,Кондопожский,Янишполе,с,931,62.115,34.2711111111111,26
Республика Карелия,Прионежский,Машезеро,д,18,61.6213888888889,34.2933333333333,30
Республика Карелия,Пряжинский национальный,Маньга,п,17,61.6344444444444,33.4444444444444,46
Республика Карелия,Кондопожский,Верхняя Ламба,д,3,62.1516666666667,33.8502777777778,33
Республика Карелия,Медвежьегорский,Тимохово,д,1,62.6002777777778,34.8922222222222,88
Республика Карелия,Пряжинский национальный,Рубчойла,д,14,61.8011111111111,33.1561111111111,53
Ленинградская область,Подпорожский муниципальный район,Токари,п,67,61.0958333333333,34.3902777777778,88
Республика Карелия,Кондопожский,Райгуба,п,1,62.3708333333333,33.7694444444444,57
Республика Карелия,Пряжинский национальный,Важинская Пристань,д,14,61.5077777777778,33.5572222222222,52
Республика Карелия,Прионежский,Ладва,п,2022,61.3561111111111,34.6291666666667,64
Республика Карелия,Медвежьегорский,Онтова,д,4,62.5452777777778,35.0455555555556,86
Республика Карелия,Пряжинский национальный,Пряжа,пгт,3476,61.6927777777778,33.6219444444444,35
Республика Карелия,Кондопожский,Святнаволок,д,26,62.6069444444444,33.7063888888889,83
Республика Карелия,Кондопожский,Белая Гора,д,26,62.58,33.9575,78
Республика Карелия,Пряжинский национальный,Виллагора,п,67,61.8913888888889,33.6888888888889,24
Республика Карелия,Кондопожский,Западное Кончезеро,д,9,62.1058333333333,34.0136111111111,25
Ленинградская область,Подпорожский муниципальный район,Заозерье,д,1,61.0777777777778,34.2411111111111,90
Республика Карелия,Медвежьегорский,Великая Губа,с,897,62.2483333333333,35.0747222222222,62
Республика Карелия,Кондопожский,Койкары,д,1,62.4586111111111,33.6225,69
Республика Карелия,Прионежский,Карельская Деревня,п,17,62.0116666666667,34.1947222222222,14
Республика Карелия,Кондопожский,Викшица,д,1,62.2397222222222,33.9263888888889,41
Республика Карелия,Пряжинский национальный,Коккойла,д,2,61.6005555555556,33.3552777777778,52
Республика Карелия,Прионежский,Пай,п,368,61.2091666666667,34.4377777777778,76
Республика Карелия,Пряжинский национальный,Виданы,д,298,61.8702777777778,34.0013888888889,8
Республика Карелия,Кондопожский,Кончезеро,с,1316,62.1277777777778,34.0077777777778,28
Республика Карелия,Кондопожский,Тулгуба,д,24,62.0686111111111,34.3538888888889,22
Республика Карелия,Кондопожский,Кулмукса,д,19,62.0625,34.6338888888889,31
Республика Карелия,Олонецкий национальный,Верхнеолонецкий,п,263,61.4580555555556,33.2538888888889,67
Республика Карелия,Кондопожский,Шайдома,д,17,62.7055555555556,34.2030555555556,91
Республика Карелия,Кондопожский,Илемсельга,д,23,62.3033333333333,34.5180555555556,50
Республика Карелия,Медвежьегорский,Никонова Губа,д,2,62.5733333333333,34.8258333333333,84
Республика Карелия,Кондопожский,Нелгомозеро,п,119,62.1947222222222,33.4455555555556,50
Республика Карелия,Олонецкий национальный,Интерпоселок,п,73,61.3330555555556,33.4330555555556,72
Республика Карелия,Прионежский,Шуйская Чупа,д,4,61.9708333333333,34.2013888888889,9
Республика Карелия,Медвежьегорский,Фоминская,д,14,62.5322222222222,35.0538888888889,85
Республика Карелия,Пряжинский национальный,Лижма,д,4,61.55,33.5202777777778,50
Республика Карелия,Медвежьегорский,Подгорская,д,14,62.5336111111111,35.0572222222222,86
Республика Карелия,Медвежьегорский,Горская,д,0,62.5244444444444,34.8613888888889,80
Республика Карелия,Кондопожский,Мянсельга,ст,1,62.2636111111111,34.445,44
Республика Карелия,Пряжинский национальный,Сямозеро,д,80,61.8930555555556,33.2969444444444,45
Республика Карелия,Прионежский,Вилга,д,991,61.8183333333333,34.0875,8
Республика Карелия,Медвежьегорский,Терехово,д,0,62.3172222222222,35.0669444444444,67
Республика Карелия,Кондопожский,Антипинская,д,1,62.5211111111111,34.0077777777778,71
Республика Карелия,Пряжинский национальный,Лахта,д,31,61.9872222222222,33.1980555555556,51
Республика Карелия,Пряжинский национальный,Чална,п,2608,61.8875,34.0669444444444,4
Республика Карелия,Медвежьегорский,Хашезеро,д,0,62.6013888888889,35.0083333333333,91
Республика Карелия,Кондопожский,Новый Поселок,п,21,62.4941666666667,34.3513888888889,68
Республика Карелия,Прионежский,Чална-1,п,1822,61.91,34.1630555555556,2
Республика Карелия,Прионежский,Яшезеро,д,0,61.3252777777778,34.9519444444444,75
Республика Карелия,Прионежский,Таржеполь,с,33,61.3097222222222,34.3888888888889,65
Республика Карелия,Кондопожский,Чупа,д,8,62.1411111111111,34.0177777777778,29
Республика Карелия,Прионежский,Верховье,д,0,61.9263888888889,34.2041666666667,5
Республика Карелия,Петрозаводский,Петрозаводск,г,277111,61.7891666666667,34.3597222222222,15
Республика Карелия,Кондопожский,Пялозеро,д,5,62.3322222222222,33.7547222222222,54
Республика Карелия,Олонецкий национальный,Черная Речка,п,40,61.4330555555556,33.2661111111111,68
Республика Карелия,Прионежский,Устье,п,0,61.4833333333333,35.0394444444444,64
Республика Карелия,Кондопожский,Сюрьга,д,0,62.2333333333333,34.2633333333333,39
Республика Карелия,Кондопожский,Ватчела,д,0,62.2763888888889,33.4633333333333,56
Республика Карелия,Кондопожский,Станция-Мянсельга,п,1,62.2636111111111,34.445,44
Республика Карелия,Прионежский,Косалма,д,52,62.0208333333333,34.1236111111111,15
Республика Карелия,Прионежский,Мелиоративный,п,2264,61.8655555555556,34.2411111111111,5
Республика Карелия,Кондопожский,Лучевой,ст,1,62.0388888888889,34.2147222222222,17
Республика Карелия,Прионежский,Шокша,с,140,61.4580555555556,35.0433333333333,66
Республика Карелия,Прионежский,Половина,д,67,61.8091666666667,33.9405555555556,14
Республика Карелия,Олонецкий национальный,Коткозеро,д,650,61.2694444444444,33.2083333333333,85
Республика Карелия,Кондопожский,Часовенская,д,7,62.1011111111111,34.2558333333333,24
Ленинградская область,Подпорожский муниципальный район,Сидозеро,снт,0,61.0052777777778,34.4016666666667,98
Республика Карелия,Пряжинский национальный,Кутижма,п,55,61.8744444444444,33.5752777777778,30
Республика Карелия,Пряжинский национальный,Киндасово,д,12,61.7213888888889,33.4597222222222,40
Республика Карелия,Кондопожский,Голышева Новинка,д,5,62.1427777777778,34.4752777777778,33
Республика Карелия,Пряжинский национальный,Крошнозеро,с,279,61.6311111111111,33.1808333333333,58
Ленинградская область,Подпорожский муниципальный район,Согиницы,д,7,61.0738888888889,34.0847222222222,90
Республика Карелия,Прионежский,Порожек,м,1,61.9466666666667,34.0272222222222,9
Республика Карелия,Медвежьегорский,Пургино,д,1,62.3238888888889,35.1405555555556,70
Республика Карелия,Пряжинский национальный,Нижние Виданы,д,38,61.8688888888889,34.0447222222222,6
Республика Карелия,Пряжинский национальный,Маясельга,д,0,61.5666666666667,33.3686111111111,54
Республика Карелия,Прионежский,Бесовец,д,0,61.8647222222222,34.1566666666667,2
Республика Карелия,Медвежьегорский,Медведева,д,1,62.5322222222222,34.8525,80
