регион,район,город,тип,население,широта,долгота,расстояние
Вологодская область,Шекснинский район,Шайма,д,0,59.1580555555556,38.7077777777778,41
Тверская область,Весьегонский район,Федово,д,12,58.4588888888889,37.34,99
Вологодская область,Шекснинский район,Максимовское,д,8,59.1297222222222,38.6627777777778,40
Вологодская область,Кадуйский район,Никольское,с,352,59.3544444444444,37.175,48
Вологодская область,Шекснинский район,Павшино,д,0,59.2222222222222,38.7433333333333,41
Вологодская область,Шекснинский район,Никольское,д,3,59.14,38.6405555555556,38
Вологодская область,Кирилловский район,Кирсново,д,0,59.8002777777778,38.2533333333333,59
Вологодская область,Кадуйский район,Комариха,ж/д_ст,2,59.1688888888889,37.3680555555556,39
Ярославская область,Брейтовский район,Сарабуха,д,6,58.4094444444444,37.5780555555556,99
Вологодская область,Череповецкий район,Сурково,д,213,58.9955555555556,38.3341666666667,36
Вологодская область,Кирилловский район,Кукманино,д,1,59.7202777777778,38.8955555555556,70
Вологодская область,Кадуйский район,Спиренская,д,2,59.4094444444444,37.1766666666667,50
Вологодская область,Шекснинский район,Самсоница,д,5,59.3030555555556,38.6547222222222,36
Вологодская область,Кирилловский район,Васильево,д,4,59.8794444444444,38.0916666666667,67
Вологодская область,Белозерский район,Еремеево,д,1,59.8433333333333,37.5991666666667,67
Вологодская область,Кадуйский район,Великое,с,59,59.52,37.0188888888889,62
Вологодская область,Череповецкий район,Сычево,д,12,58.905,38.5325,50
Вологодская область,Шекснинский район,Поповское,д,20,59.0605555555556,38.8958333333333,55
Вологодская область,Череповецкий район,Горка,д,5,59.4636111111111,37.8577777777778,22
Вологодская область,Шекснинский район,Зверинец,д,2,59.4194444444444,38.6869444444444,41
Вологодская область,Череповецкий район,Пленишник,д,47,58.7183333333333,37.3972222222222,71
Тверская область,Весьегонский район,Малышево,д,8,58.5469444444444,37.0308333333333,99
Вологодская область,Кирилловский район,Сазоново,д,0,59.9230555555556,38.8672222222222,86
Вологодская область,Кадуйский район,Новое,д,42,59.3588888888889,37.1625,49
Вологодская область,Кирилловский район,Захарьино,д,3,59.97,38.4616666666667,81
Вологодская область,Череповецкий район,Леонтьево,д,12,59.2522222222222,37.845,10
Вологодская область,Шекснинский район,Жайно,д,0,59.1961111111111,38.6858333333333,39
Вологодская область,Белозерский район,Верещагино,д,4,59.7305555555556,37.7030555555556,53
Вологодская область,Шекснинский район,Чуровское,с,535,59.2597222222222,38.6019444444444,33
Вологодская область,Шекснинский район,Фомушино,д,0,59.3113888888889,38.7763888888889,43
Вологодская область,Белозерский район,Карл Либкнехт,д,72,59.9547222222222,37.2019444444444,88
Вологодская область,Шекснинский район,Мальгино,д,0,59.1794444444444,38.5633333333333,32
Вологодская область,Белозерский район,Белозерск,г,8786,60.0308333333333,37.7888888888889,85
Вологодская область,Кирилловский район,Сопигино,д,36,59.9305555555556,38.7830555555556,84
Вологодская область,Вологодский район,Кудрявцево,д,41,59.8236111111111,38.9822222222222,81
Вологодская область,Шекснинский район,Устьяново,д,0,59.5127777777778,38.2780555555556,30
Вологодская область,Череповецкий район,Покровское,д,20,58.9783333333333,38.3969444444444,39
Вологодская область,Шекснинский район,Пронино,д,0,59.1680555555556,38.9336111111111,53
Вологодская область,Шекснинский район,Великое,д,4,59.0686111111111,38.9402777777778,57
Вологодская область,Белозерский район,Софиевка,д,0,59.6933333333333,37.7538888888889,48
Вологодская область,Шекснинский район,Кичино,д,23,59.1922222222222,38.3638888888889,21
Вологодская область,Череповецкий район,Витержево,д,16,59.0022222222222,38.2908333333333,34
Вологодская область,Шекснинский район,Высоково,д,2,59.3427777777778,38.5675,32
Вологодская область,Шекснинский район,Малая Кислиха,д,0,59.305,38.7122222222222,39
