регион,район,город,тип,население,широта,долгота,расстояние
Вологодская область,Междуреченский район,Подлесное,д,0,59.2922222222222,40.7922222222222,48
Вологодская область,Вологодский район,Олешково,д,0,59.6619444444444,39.2716666666667,57
Вологодская область,Вологодский район,Панькино,д,0,59.2686111111111,39.7711111111111,10
Вологодская область,Сокольский район,Веретье,д,19,59.4208333333333,40.2341666666667,22
Вологодская область,Вологодский район,Нестеровское,д,9,59.6372222222222,39.2941666666667,54
Ярославская область,Первомайский район,Нофринское,д,7,58.5952777777778,39.5158333333333,80
Вологодская область,Вологодский район,Сазоново,д,3,59.6877777777778,39.2394444444444,60
Вологодская область,Усть-Кубинский район,Ушаково,д,2,59.9080555555556,39.4455555555556,75
Ярославская область,Пошехонский район,Медведка,д,6,58.8183333333333,39.4247222222222,59
Вологодская область,Усть-Кубинский район,Шилово,д,1,59.6688888888889,39.6752777777778,45
Вологодская область,Харовский район,Зимница,д,3,59.9419444444444,39.8813888888889,73
Вологодская область,Вологодский район,Брагино,д,30,59.1730555555556,39.3163888888889,37
Вологодская область,Харовский район,Малая Середняя,д,0,60.0836111111111,39.8352777777778,89
Ярославская область,Первомайский район,Исаково,д,0,58.775,39.78,57
Вологодская область,Вологодский район,Виселкино,д,0,59.5530555555556,39.4694444444444,40
Вологодская область,Сокольский район,Преображенское,д,15,59.6480555555556,40.9088888888889,68
Вологодская область,Вологодский район,Фомкино,д,3,59.4927777777778,39.5752777777778,31
Ярославская область,Пошехонский район,Воскресенское,с,9,58.8527777777778,39.3488888888889,58
Вологодская область,Вологодский район,Келебардово,д,11,59.6666666666667,39.2552777777778,58
Вологодская область,Вологодский район,Лызлово,д,0,59.3686111111111,39.385,33
Вологодская область,Харовский район,Тихонино,д,3,60.0333333333333,40.0330555555556,83
Ярославская область,Пошехонский район,Михеево,д,21,58.73,39.1933333333333,75
Вологодская область,Грязовецкий район,Скалино,д,13,58.5772222222222,40.24,80
Ярославская область,Пошехонский район,Зубариха,д,12,58.7463888888889,39.1913888888889,73
Вологодская область,Грязовецкий район,Девять Изб,д,2,58.9391666666667,40.2108333333333,41
Вологодская область,Вологодский район,Кринки,д,1,59.4555555555556,39.1902777777778,47
Вологодская область,Вологодский район,Блиново,д,0,59.3361111111111,39.4405555555556,29
Вологодская область,Грязовецкий район,Никульцево,д,0,59.0280555555556,40.1263888888889,30
Вологодская область,Вологодский район,Семрюхово,д,3,59.58,39.3972222222222,45
Вологодская область,Харовский район,Хомок,д,0,59.9947222222222,40.1447222222222,80
Ярославская область,Пошехонский район,Ерилово,д,52,58.4897222222222,39.1344444444444,99
Вологодская область,Сокольский район,Морткино,д,3,59.41,40.4905555555556,34
Вологодская область,Грязовецкий район,Брагино,д,1,58.8102777777778,39.9697222222222,52
Вологодская область,Усть-Кубинский район,Ивановское,д,3,59.9002777777778,39.7033333333333,70
Ярославская область,Пошехонский район,Горка,д,6,58.5169444444444,39.2691666666667,93
Вологодская область,Харовский район,Гридкино,д,0,59.8319444444444,39.9877777777778,61
Ярославская область,Первомайский район,Горилец,д,32,58.5752777777778,39.5288888888889,82
Вологодская область,Вологодский район,Зуево,д,15,59.2033333333333,39.3025,37
Ярославская область,Пошехонский район,Новоселка,д,6,58.6338888888889,39.3202777777778,80
Вологодская область,Вологодский район,Федурино,д,0,59.4772222222222,39.5833333333333,29
Вологодская область,Сокольский район,Титовское,д,8,59.5986111111111,40.85,62
Вологодская область,Междуреченский район,Быльник,д,0,59.0,40.0,31
Вологодская область,Сокольский район,Пирогово,д,32,59.6336111111111,40.8119444444444,62
Вологодская область,Харовский район,Глазиха,д,1,60.1691666666667,39.5883333333333,100
Вологодская область,Вологодский район,Сумароково,д,0,59.4208333333333,39.7088888888889,20
Вологодская область,Сямженский район,Мокрово,д,0,60.0747222222222,40.7536111111111,99
Вологодская область,Междуреченский район,Акуловское,д,1,59.2597222222222,40.8652777777778,52
Вологодская область,Вологодский район,Кипелово,д,1,59.2233333333333,39.2408333333333,40
Ярославская область,Пошехонский район,Рюмки,д,0,58.6863888888889,39.2347222222222,77
