регион,район,город,тип,население,широта,долгота,расстояние
Калининградская область,Полесский район,Липовка,п,20,54.8086111111111,20.9391666666667,23
Калининградская область,Город Гурьевский,Цветково,п,137,54.6227777777778,20.4263888888889,31
Калининградская область,Город Гвардейский,Ливны,п,51,54.6380555555556,21.3225,54
Калининградская область,Город Светловский,Боброво,п,20,54.7333333333333,20.1333333333333,34
Калининградская область,Зеленоградский район,Васильково,п,159,54.8913888888889,20.3927777777778,13
Калининградская область,Зеленоградский район,Филино,п,34,54.9447222222222,20.0116666666667,38
Калининградская область,Правдинский район,Липняки,п,309,54.4030555555556,21.2844444444444,70
Калининградская область,Багратионовский район,Красноармейское,п,122,54.4869444444444,20.505,45
Калининградская область,Зеленоградский район,Кострово,п,723,54.7347222222222,20.0997222222222,36
Калининградская область,Полесский район,Ломоносовка,п,3,54.8525,21.2525,42
Калининградская область,Балтийский район,Прозорово,п,50,54.7569444444444,20.0505555555556,38
Калининградская область,Правдинский район,Желудево,п,58,54.4119444444444,21.4663888888889,77
Калининградская область,Черняховский район,Ростовское,п,7,54.6736111111111,21.4797222222222,61
Калининградская область,Славский район,Дюнное,п,1,55.2166666666667,21.3588888888889,60
Калининградская область,Город Гурьевский,Невское,п,925,54.7411111111111,20.5666666666667,16
Калининградская область,Балтийский район,Парусное,п,23,54.7730555555556,20.0225,39
Калининградская область,Город Гурьевский,Алтайское,п,3,54.8588888888889,20.8755555555556,18
Калининградская область,Правдинский район,Чайковское,п,197,54.4663888888889,21.5802777777778,79
Калининградская область,Славский район,Сосняки,п,15,55.0061111111111,21.5266666666667,60
Калининградская область,Город Гурьевский,Придорожное,п,66,54.8713888888889,20.6658333333333,4
Калининградская область,Город Гурьевский,Свободное,п,80,54.8169444444444,20.4188888888889,14
Калининградская область,Багратионовский район,Ново-Московское,п,640,54.5730555555556,20.2355555555556,42
Калининградская область,Черняховский район,Ельники,п,55,54.7338888888889,21.5022222222222,60
Калининградская область,Город Гурьевский,Горловка,п,39,54.8527777777778,20.5622222222222,4
Калининградская область,Славский район,Ясное,п,1897,55.1747222222222,21.5438888888889,68
Калининградская область,Город Калининградский,Калининград,г,467289,54.7,20.45,23
Калининградская область,Город Гурьевский,Малое Луговое,п,938,54.6594444444444,20.6436111111111,26
Калининградская область,Полесский район,Александровка,п,23,54.8347222222222,21.4897222222222,57
Калининградская область,Город Гурьевский,Гаево,п,60,54.8541666666667,20.8005555555556,13
Калининградская область,Полесский район,Майское,п,213,54.8225,20.9708333333333,25
Калининградская область,Багратионовский район,Партизанское,п,1214,54.5922222222222,20.6233333333333,33
Калининградская область,Правдинский район,Родники,п,57,54.5302777777778,21.2044444444444,56
Калининградская область,Правдинский район,Дальнее,п,149,54.4916666666667,21.0547222222222,53
Калининградская область,Черняховский район,Сиреневка,п,33,54.6352777777778,21.5244444444444,66
Калининградская область,Город Гурьевский,Петрово,п,1138,54.805,20.4169444444444,15
Калининградская область,Черняховский район,Междуречье,п,731,54.6244444444444,21.5194444444444,66
Калининградская область,Зеленоградский район,Рогачево,п,5,54.8783333333333,20.18,27
Калининградская область,Славский район,Плодовое,п,2,55.0625,21.3211111111111,49
Калининградская область,Правдинский район,Лукино,п,7,54.4597222222222,21.0241666666667,55
Калининградская область,Город Гурьевский,Каменка,п,31,54.6466666666667,20.7311111111111,28
Калининградская область,Полесский район,Ближнее,п,23,54.8469444444444,21.4925,57
Калининградская область,Зеленоградский район,Павлинино,с,332,54.7930555555556,20.3297222222222,20
Калининградская область,Город Гурьевский,Малое Исаково,п,2934,54.7338888888889,20.5838888888889,17
Калининградская область,Город Светловский,Песчаное,п,29,54.7333333333333,20.25,28
Калининградская область,Багратионовский район,Чапаево,п,44,54.4194444444444,20.5016666666667,52
Калининградская область,Город Гвардейский,Поддубное,п,69,54.7297222222222,21.0833333333333,35
Калининградская область,Правдинский район,Луговое,п,73,54.4636111111111,21.0933333333333,57
Калининградская область,Зеленоградский район,Корчагино,п,4,54.8663888888889,20.4483333333333,10
Калининградская область,Зеленоградский район,Холмы,п,350,54.9144444444444,20.4708333333333,8
Калининградская область,Город Гурьевский,Лужки,п,12,54.6436111111111,20.5313888888889,28
Калининградская область,Зеленоградский район,Шатрово,п,34,54.8722222222222,20.0975,32
Калининградская область,Город Гурьевский,Зеленополье,п,295,54.6161111111111,20.6697222222222,31
Калининградская область,Багратионовский район,Малое Озерное,п,55,54.4,20.6666666666667,54
Калининградская область,Город Гвардейский,Знаменск,п,3054,54.6130555555556,21.2255555555556,50
Калининградская область,Багратионовский район,Нагорное,п,92,54.4011111111111,20.5661111111111,54
Калининградская область,Зеленоградский район,Зеленоградск,г,15493,54.96,20.4752777777778,11
Калининградская область,Город Гурьевский,Осокино,п,86,54.7872222222222,20.8094444444444,17
Калининградская область,Правдинский район,Щербинино,п,5,54.5122222222222,21.31,62
Калининградская область,Город Гвардейский,Детское,п,51,54.6408333333333,21.2322222222222,49
Калининградская область,Город Гвардейский,Ярки,п,100,54.7652777777778,21.0855555555556,34
Калининградская область,Город Светловский,Веселовка,п,125,54.7333333333333,20.3166666666667,25
Калининградская область,Город Гурьевский,Поддубное,п,166,54.6169444444444,20.4869444444444,31
Калининградская область,Багратионовский район,Березовка,п,532,54.4333333333333,20.7,51
Калининградская область,Город Светловский,Ижевское,п,301,54.7166666666667,20.2166666666667,31
Калининградская область,Правдинский район,Крымское,п,86,54.3452777777778,21.3741666666667,78
Калининградская область,Город Гвардейский,Ольховка,п,306,54.7133333333333,21.3347222222222,51
Калининградская область,Полесский район,Красное,п,3,54.9075,21.2172222222222,39
Калининградская область,Город Гурьевский,Менделеево,п,89,54.79,20.7475,14
Калининградская область,Город Гурьевский,Дружный,п,456,54.6516666666667,20.5511111111111,26
Калининградская область,Полесский район,Залесье,п,2141,54.8438888888889,21.5177777777778,59
Калининградская область,Зеленоградский район,Грачевка,п,611,54.9005555555556,20.1252777777778,30
Калининградская область,Зеленоградский район,Алексино,п,16,54.8502777777778,20.0108333333333,38
Калининградская область,Правдинский район,Дружба,п,371,54.4902777777778,21.1986111111111,59
Калининградская область,Багратионовский район,Новоселки,п,45,54.4666666666667,20.75,48
Калининградская область,Правдинский район,Некрасовка,п,54,54.3544444444444,21.5536111111111,85
Калининградская область,Правдинский район,Филипповка,п,164,54.4769444444444,20.8419444444444,48
Калининградская область,Правдинский район,Рощино,п,171,54.4347222222222,20.9152777777778,54
Калининградская область,Город Гвардейский,Рощино,п,90,54.7138888888889,20.8658333333333,26
Калининградская область,Зеленоградский район,Моховое,п,505,54.9277777777778,20.4766666666667,8
Калининградская область,Правдинский район,Извилино,п,75,54.5052777777778,21.2030555555556,58
Калининградская область,Город Гурьевский,Малинники,п,410,54.7205555555556,20.7461111111111,21
Калининградская область,Багратионовский район,Южный,п,2365,54.5502777777778,20.5966666666667,38
Калининградская область,Правдинский район,Каменка,п,1,54.3697222222222,21.5772222222222,85
