регион,район,город,тип,население,широта,долгота,расстояние
Республика Хакасия,Усть-Абаканский район,Баинов,аал,91,53.5516666666667,91.2044444444444,24
Республика Хакасия,Алтайский район,Белый Яр,с,10311,53.5969444444444,91.3830555555556,15
Республика Хакасия,Аскизский район,Аскиз,с,8159,53.1319444444444,90.5336111111111,88
Красноярский край,Шушенский район,Нижняя Коя,д,303,53.4566666666667,91.9211111111111,47
Красноярский край,Минусинский район,Малая Ничка,с,450,53.6297222222222,92.0341666666667,44
Республика Хакасия,Алтайский район,Березовка,д,238,53.4083333333333,91.655,41
Красноярский край,Шушенский район,Синеборск,п,1191,53.4841666666667,92.0972222222222,55
Республика Хакасия,Аскизский район,Катанов,аал,521,53.2386111111111,90.7138888888889,71
Республика Хакасия,Усть-Абаканский район,Кирба,п,7,53.4608333333333,91.005,39
Республика Хакасия,Усть-Абаканский район,Солнечное,с,927,53.6891666666667,91.1816666666667,14
Республика Хакасия,Усть-Абаканский район,Капчалы,д,101,53.6302777777778,90.7266666666667,45
Республика Хакасия,Усть-Абаканский район,Доможаков,аал,836,53.4438888888889,91.0313888888889,40
Республика Хакасия,Алтайский район,Алтай,с,259,53.4436111111111,91.8072222222222,43
Республика Хакасия,Бейский район,Буденовка,д,426,52.9955555555556,90.8272222222222,90
Красноярский край,Краснотуранский район,Диссос,д,205,54.0733333333333,91.8516666666667,48
Красноярский край,Идринский район,Куреж,с,333,54.2111111111111,92.1033333333333,70
Республика Хакасия,Боградский район,Троицкое,с,709,54.2802777777778,91.0886111111111,63
Республика Хакасия,Алтайский район,Новороссийское,с,995,53.3788888888889,91.5991666666667,42
Республика Хакасия,Боградский район,Усть-Ерба,с,183,54.4458333333333,91.1630555555556,79
Красноярский край,Минусинский район,им Крупской,п,144,53.6927777777778,91.9594444444444,38
Республика Хакасия,Боградский район,Советская Хакасия,с,847,54.1127777777778,91.4347222222222,41
Красноярский край,Краснотуранский район,Джирим,п,253,54.02,92.1288888888889,57
Республика Хакасия,Боградский район,Климаниховский,п,41,54.5061111111111,91.1972222222222,86
Республика Хакасия,Аскизский район,Пуланколь,с,603,53.3869444444444,90.605,64
Красноярский край,Минусинский район,Озеро Тагарское,п,357,53.5988888888889,91.7969444444444,31
Республика Хакасия,Бейский район,Бея,с,4920,53.0455555555556,90.9205555555556,83
Республика Хакасия,Боградский район,Большая Ерба,с,712,54.2508333333333,90.6219444444444,75
Красноярский край,Минусинский район,Паромная Переправа,д,0,53.7422222222222,91.615,15
Республика Хакасия,Усть-Абаканский район,Сапогов,аал,1154,53.6186111111111,91.2872222222222,14
Красноярский край,Минусинский район,Прихолмье,п,1072,53.7961111111111,92.0797222222222,46
Красноярский край,Минусинский район,Колмаково,с,347,53.7141666666667,92.3063888888889,60
Красноярский край,Краснотуранский район,Курск,д,0,54.5811111111111,91.5025,93
Красноярский край,Идринский район,Большая Идра,д,48,54.3558333333333,92.3661111111111,93
Республика Хакасия,Аскизский район,Сафьянов,аал,24,53.3594444444444,90.8933333333333,53
Республика Хакасия,Боградский район,Карасук,д,81,54.3080555555556,90.6077777777778,81
Красноярский край,Идринский район,Майское Утро,с,345,54.3888888888889,91.9938888888889,82
Красноярский край,Шушенский район,Зарничный,п,365,53.2447222222222,91.9761111111111,67
Республика Хакасия,Алтайский район,Сартыков,аал,230,53.4702777777778,91.1811111111111,32
Красноярский край,Шушенский район,Белозеровка,д,123,53.0994444444444,91.7419444444444,75
Республика Хакасия,Ширинский район,Гальджа,д,121,54.3880555555556,90.5097222222222,92
Красноярский край,Минусинский район,Селиваниха,с,2014,53.6922222222222,91.6116666666667,15
Республика Хакасия,Аскизский район,Уйтак,п/ст,23,53.3561111111111,90.7922222222222,58
Республика Хакасия,Аскизский район,Сыры,аал,53,53.3466666666667,90.5275,71
Красноярский край,Минусинский район,Малая Иня,д,316,53.8052777777778,92.2152777777778,55
Красноярский край,Краснотуранский район,Листвягово,д,41,53.9797222222222,91.6475,31
Республика Хакасия,Усть-Абаканский район,Чапаево,д,2259,53.6544444444444,91.3444444444444,9
Республика Хакасия,Аскизский район,Камышта,ст,52,53.2641666666667,91.6961111111111,56
Республика Хакасия,Усть-Абаканский район,Тепличный,п,1849,53.7894444444444,91.3330555555556,6
Красноярский край,Минусинский район,Суходол,п,388,53.7847222222222,91.7763888888889,26
Красноярский край,Идринский район,Никольское,с,513,54.4863888888889,92.2408333333333,100
Красноярский край,Идринский район,Идринское,с,5135,54.37,92.1291666666667,85
Красноярский край,Шушенский район,Ильичево,п,2151,53.2755555555556,91.8483333333333,60
Республика Хакасия,Усть-Абаканский район,Тутатчиков,аал,98,53.5052777777778,91.0755555555556,33
Республика Хакасия,Аскизский район,Усть-Камышта,с,1130,53.3516666666667,90.7072222222222,62
Республика Хакасия,Бейский район,Койбалы,аал,287,53.1625,90.6530555555556,80
Республика Хакасия,Саяногорск,Майна,рп,4974,53.0002777777778,91.4808333333333,82
Республика Хакасия,Бейский район,Уты,д,191,53.0722222222222,90.7925,84
Красноярский край,Ермаковский район,Жеблахты,с,627,53.3197222222222,92.1869444444444,70
Республика Хакасия,Бейский район,Усть-Киндирла,д,261,53.0347222222222,90.6361111111111,92
Республика Хакасия,Бейский район,Новоенисейка,с,716,53.1636111111111,91.5161111111111,64
Красноярский край,Шушенский район,Козлово,д,72,53.3961111111111,92.0541666666667,58
Красноярский край,Ермаковский район,Семенниково,с,764,53.1997222222222,92.2372222222222,82
Республика Хакасия,Усть-Абаканский район,Московское,с,1675,53.9286111111111,91.1061111111111,27
Республика Хакасия,Аскизский район,Луговая,д,439,53.1563888888889,90.5713888888889,84
Красноярский край,Идринский район,Большой Хабык,с,501,54.4247222222222,91.9425,84
