регион,район,город,тип,население,широта,долгота,расстояние
Алтайский край,Залесовский,Думчево,с,522,53.9544444444444,84.2883333333333,82
Алтайский край,Павловский,Урожайный,п,415,53.2766666666667,83.1630555555556,27
Алтайский край,Тальменский,Курочкино,с,727,53.8733333333333,83.3272222222222,58
Новосибирская область,Черепановский район,Сушзавод,п,17,54.1738888888889,83.4472222222222,90
Алтайский край,Ребрихинский,Орел,п,95,53.1158333333333,82.6191666666667,67
Алтайский край,Павловский,Ракиты,рзд,0,53.0613888888889,82.6816666666667,66
Алтайский край,Барнаул,Конюхи,п,33,53.1686111111111,83.7063888888889,24
Алтайский край,Первомайский,Новый Мир,п,8,53.4755555555556,84.1830555555556,44
Алтайский край,Тальменский,Загайново,с,222,54.0622222222222,83.8102777777778,79
Алтайский край,Топчихинский,Чаузово,с,180,52.7433333333333,83.7733333333333,70
Алтайский край,Топчихинский,Крутиха,п,42,52.7097222222222,82.9697222222222,82
Алтайский край,Первомайский,Боровиха,с,7384,53.5063888888889,83.8413888888889,25
Алтайский край,Калманский,Калистратиха,с,610,52.9861111111111,83.5897222222222,42
Алтайский край,Топчихинский,Парфёново,с,1293,52.8094444444444,82.7288888888889,82
Новосибирская область,Черепановский район,Искра,п,858,54.1861111111111,83.4088888888889,91
Алтайский край,Павловский,Шахи,с,1417,53.3363888888889,83.3636111111111,12
Алтайский край,Павловский,Арбузовка,ст,748,53.0902777777778,82.9158333333333,51
Алтайский край,Первомайский,Северный,п,1286,53.8294444444444,83.9936111111111,59
Алтайский край,Барнаул,Казенная Заимка,п,2704,53.3997222222222,83.6066666666667,5
Алтайский край,Первомайский,Нижняя Петровка,п,173,52.915,83.8511111111111,54
Алтайский край,Первомайский,Новый,п,859,53.3822222222222,84.0038888888889,30
Алтайский край,Барнаул,Мохнатушка,п,267,53.2294444444444,83.5791666666667,15
Алтайский край,Тальменский,Среднесибирский,п,2006,53.7425,83.645,42
Алтайский край,Тальменский,Восточный,п,626,53.7313888888889,83.8230555555556,44
Алтайский край,Павловский,им Мамонтова,п,94,53.0952777777778,82.805,57
Алтайский край,Топчихинский,Лаврентьевка,с,32,52.8588888888889,82.9211111111111,69
Алтайский край,Первомайский,Сибирский,п,1467,53.5788888888889,83.7669444444444,28
Новосибирская область,Черепановский район,Спутник,п,111,54.2052777777778,83.4119444444444,94
Алтайский край,Троицкий,Заводское,с,1152,53.0694444444444,84.4241666666667,67
Алтайский край,Первомайский,Журавлиха,с,911,53.7816666666667,84.2344444444444,65
Алтайский край,Залесовский,Черемушкино,с,979,54.0094444444444,84.2952777777778,87
Алтайский край,Первомайский,Ильича,п,508,53.5508333333333,84.0155555555556,37
Алтайский край,Тальменский,Шипицино,с,180,53.6047222222222,83.1241666666667,38
Алтайский край,Заринский,Шпагино,ст,534,53.5463888888889,84.5166666666667,67
Алтайский край,Залесовский,Камышенка,с,4,53.9772222222222,84.1552777777778,79
Алтайский край,Ребрихинский,Зимино,с,918,52.9555555555556,82.705,72
Алтайский край,Первомайский,Логовское,с,1402,53.4983333333333,84.1983333333333,46
Алтайский край,Шелаболихинский,Новообинцево,с,818,53.4102777777778,82.7013888888889,56
Алтайский край,Барнаул,Гоньба,с,2174,53.4147222222222,83.5830555555556,6
Алтайский край,Топчихинский,Карасево,п,0,52.79,83.4888888888889,63
Алтайский край,Залесовский,Восход,п,14,53.9894444444444,84.2733333333333,84
Алтайский край,Первомайский,Лесной,п,14,53.5311111111111,83.8141666666667,25
Новосибирская область,Черепановский район,Бураново,с,253,54.205,83.895,96
Алтайский край,Залесовский,Видоново,с,127,53.9813888888889,84.0575,76
Алтайский край,Первомайский,Сорочий Лог,с,1223,53.5769444444444,84.1436111111111,46
Алтайский край,Алейский,Кондратьевский,п,29,52.7116666666667,82.8622222222222,85
Алтайский край,Троицкий,Озеро-Петровское,с,313,52.9527777777778,84.3069444444444,68
Алтайский край,Косихинский,Пустынь,с,239,53.3538888888889,84.4880555555556,62
Алтайский край,Первомайский,Сосновка,с,602,53.1216666666667,84.0308333333333,42
Алтайский край,Топчихинский,Сидоровка,с,376,52.9972222222222,82.9908333333333,54
Алтайский край,Первомайский,Новокраюшкино,с,287,53.7719444444444,83.9380555555556,52
Алтайский край,Новоалтайск,Новоалтайск,г,73769,53.4119444444444,83.9311111111111,26
Алтайский край,Первомайский,Малая Повалиха,с,69,53.7491666666667,84.3927777777778,70
Алтайский край,Барнаул,Ползуново,ст,343,53.2983333333333,83.6908333333333,12
