регион,район,город,тип,население,широта,долгота,расстояние
Республика Алтай,Шебалинский район,Каспа,с,375,51.1158333333333,86.0127777777778,95
Алтайский край,Смоленский,Молочный,п,122,52.4116666666667,84.9736111111111,76
Алтайский край,Смоленский,Первомайское,с,352,52.285,85.2138888888889,55
Республика Алтай,Чойский район,Ынырга,с,487,51.825,86.7897222222222,67
Алтайский край,Красногорский,Горный,п,108,52.1605555555556,86.0669444444444,26
Алтайский край,Целинный,Сверчково,с,196,52.7769444444444,85.3652777777778,95
Республика Алтай,Чемальский район,Чепош,с,744,51.5891666666667,85.8305555555555,42
Алтайский край,Красногорский,Курлек,п,19,52.2163888888889,86.2522222222222,39
Республика Алтай,Майминский район,Рыбалка,п,69,51.9180555555556,85.8611111111111,5
Республика Алтай,Чойский район,Красносельск,с,229,51.8111111111111,86.7969444444444,68
Алтайский край,Смоленский,Верх-Обский,п,1168,52.4186111111111,85.0161111111111,75
Республика Алтай,Шебалинский район,Дъектиек,с,578,51.2708333333333,85.6077777777778,79
Республика Алтай,Майминский район,Средний Сайдыс,с,197,51.7633333333333,86.1533333333333,31
Алтайский край,Бийский,Семеновод,п,417,52.5477777777778,85.4186111111111,70
Республика Алтай,Чемальский район,Турбаза Катунь,с,129,51.5455555555556,85.9091666666667,47
Республика Алтай,Шебалинский район,Малая Черга,с,210,51.3430555555556,85.5530555555556,72
Республика Алтай,Чойский район,Сухой-Карасук,с,3,51.9016666666667,86.2008333333333,26
Алтайский край,Смоленский,Заречный,п,121,52.3552777777778,84.9008333333333,77
Алтайский край,Бийский,Ясная Поляна,п,341,52.68,85.4316666666667,83
Алтайский край,Бийский,Полеводка,п,205,52.4258333333333,85.57,53
Алтайский край,Алтайский,Нижнекаянча,с,380,51.8666666666667,85.7113888888889,14
Алтайский край,Смоленский,Михайловка,с,4,52.2825,85.0463888888889,64
Алтайский край,Бийский,Промышленный,п,169,52.6130555555556,86.0055555555556,72
Алтайский край,Красногорский,Березовка,с,1202,52.3536111111111,85.8252777777778,42
Республика Алтай,Шебалинский район,Камай,с,83,51.5077777777778,85.7530555555556,51
Алтайский край,Красногорский,Ужлеп,п,114,52.2502777777778,86.1977777777778,39
