регион,район,город,тип,население,широта,долгота,расстояние
Кемеровская область,Яйский район,Судженка,п/ст,663,56.1116666666667,86.1658333333333,93
Кемеровская область,Кемеровский,Смолино,д,377,55.1772222222222,86.3425,18
Кемеровская область,Яшкинский район,Колмогорово,с,1570,55.6388888888889,85.6622222222222,49
Кемеровская область,Ленинск-Кузнецкий,Устюжанино,с,10,54.505,86.0352777777778,85
Кемеровская область,Яшкинский район,Низовка,д,0,55.9575,85.8725,77
Кемеровская область,Яшкинский район,Крутовка,д,2,55.9805555555556,85.8227777777778,81
Кемеровская область,Промышленновский район,Ваганово,с,1335,54.7002777777778,85.1588888888889,87
Кемеровская область,Промышленновский район,Колычево,д,814,55.0141666666667,86.0988888888889,28
Кемеровская область,Кемеровский,Сосновка,п,34,55.7458333333333,86.1025,52
Кемеровская область,Беловский,Конево,с,319,54.5291666666667,86.2494444444444,82
Кемеровская область,Кемеровский,Денисово,д,41,55.4716666666667,85.9294444444444,25
Кемеровская область,Гурьевский район,Подкопенная,д,106,54.46,85.45,99
Кемеровская область,Ленинск-Кузнецкий,Новогеоргиевка,д,664,54.6966666666667,86.3233333333333,65
Кемеровская область,Ленинск-Кузнецкий,Березовка,п,0,54.8288888888889,86.2036111111111,49
Кемеровская область,Крапивинский район,Плотниковский,п,399,55.0138888888889,86.4836111111111,37
Кемеровская область,Ленинск-Кузнецкий,Восходящий,п,1154,54.6841666666667,86.075,65
Кемеровская область,Кемеровский,Черемушки,п,304,55.6108333333333,85.9180555555556,39
Кемеровская область,Ленинск-Кузнецкий,Новогородец,п,527,54.6058333333333,86.0416666666667,74
Кемеровская область,Ленинск-Кузнецкий,Кокуй,п,311,54.5780555555556,85.4022222222222,89
Кемеровская область,Анжеро-Судженский,326 Квартала,п,132,56.0194444444444,86.0925,83
Кемеровская область,Промышленновский район,Протопопово,д,440,54.8736111111111,86.0125,44
Кемеровская область,Крапивинский район,Бердюгино,д,195,54.8675,86.4752777777778,50
Кемеровская область,Беловский,Грамотеино,д,950,54.5255555555556,86.3586111111111,84
Кемеровская область,Ленинск-Кузнецкий,Карьер,п,26,54.7152777777778,85.8086111111111,64
Кемеровская область,Яшкинский район,Власково,д,178,55.7536111111111,85.4197222222222,69
Кемеровская область,Ленинск-Кузнецкий,Литвиновский,п,42,54.7052777777778,86.4719444444444,67
Кемеровская область,Кемеровский,Силино,с,865,55.2688888888889,86.2977777777778,12
Кемеровская область,Яшкинский район,Таловка,с,484,55.9630555555556,85.8352777777778,79
Кемеровская область,Топкинский район,Хорошеборка,с,98,55.5161111111111,85.4311111111111,50
Кемеровская область,Беловский,Убинский,п,597,54.4788888888889,86.3083333333333,89
Кемеровская область,Кемеровский,Ясногорский,п,2936,55.3441666666667,85.8916666666667,16
Кемеровская область,Промышленновский район,251 км,п,0,54.9108333333333,85.6430555555555,49
Кемеровская область,Кемеровский,Бердовка,д,20,55.5552777777778,86.4433333333333,38
Кемеровская область,Крапивинский район,Поперечное,с,148,54.8716666666667,86.7897222222222,62
Кемеровская область,Юргинский,Кирово,д,16,55.6975,85.4097222222222,64
Кемеровская область,Ижморский район,Азаново,д,51,56.1138888888889,86.5677777777778,98
Кемеровская область,Топкинский район,13 км,п,0,55.3372222222222,85.7527777777778,23
Кемеровская область,Беловский,Белово,г,61012,54.4222222222222,86.3036111111111,95
Кемеровская область,Промышленновский район,Усть-Тарсьма,д,526,55.0036111111111,85.4355555555556,52
Кемеровская область,Яшкинский район,Яшкино,пгт,13489,55.8738888888889,85.4347222222222,79
Кемеровская область,Топкинский район,Симаново,д,142,55.3866666666667,85.3344444444444,50
Кемеровская область,Полысаевский,Полысаево,г,26012,54.6055555555556,86.2808333333333,74
Кемеровская область,Кемеровский,Старочервово,д,605,55.1652777777778,86.3727777777778,20
Кемеровская область,Яшкинский район,Красноселка,с,778,55.8658333333333,85.2194444444444,86
Кемеровская область,Кемеровский,Дмитриевка,д,35,55.6183333333333,86.3927777777778,42
Кемеровская область,Кемеровский,Ляпки,д,149,55.1777777777778,86.3775,20
Кемеровская область,Крапивинский район,Салтымаково,с,50,54.8238888888889,87.0691666666667,79
Кемеровская область,Ижморский район,Красная Тайга,д,103,55.9008333333333,86.8888888888889,85
Кемеровская область,Яшкинский район,Нижняя Тайменка,д,89,55.6669444444444,85.2138888888889,71
Кемеровская область,Топкинский район,Верх-Мостовинский,п,30,55.4469444444444,85.3286111111111,53
Кемеровская область,Ленинск-Кузнецкий,189 км,рзд,32,54.7475,86.1852777777778,58
Кемеровская область,Берёзовский,Станционный,п,98,55.7069444444444,86.2711111111111,49
Кемеровская область,Промышленновский район,Соревнование,п,356,55.0555555555556,85.8988888888889,27
Кемеровская область,Ленинск-Кузнецкий,Харьков Лог,п,49,54.5480555555556,85.3566666666667,93
Кемеровская область,Беловский,Новохудяково,с,121,54.5086111111111,86.8336111111111,96
Кемеровская область,Промышленновский район,Титово,с,1039,55.0172222222222,85.2497222222222,61
Кемеровская область,Крапивинский район,Борисово,с,1463,54.8094444444444,86.5652777777778,59
Кемеровская область,Кемеровский,Камышная,д,434,55.3361111111111,85.8594444444444,17
Кемеровская область,Кемеровский,Буреничево,рзд,206,55.3588888888889,85.8683333333333,18
Кемеровская область,Промышленновский район,Тарасово,с,1168,54.8888888888889,85.1472222222222,74
Кемеровская область,Гурьевский район,Печеркино,с,123,54.4197222222222,85.6911111111111,98
Кемеровская область,Яшкинский район,Зырянка,д,350,55.7155555555556,85.2330555555556,74
Кемеровская область,Ленинск-Кузнецкий,Покровка,д,205,54.5522222222222,85.6713888888889,84
Кемеровская область,Кемеровский,Панинск,п,23,55.3233333333333,86.4097222222222,20
Кемеровская область,Промышленновский район,Тарсьма,п,80,54.9880555555556,85.3047222222222,60
Кемеровская область,Ленинск-Кузнецкий,Хрестиновский,п,179,54.5722222222222,85.3266666666667,92
Кемеровская область,Ленинск-Кузнецкий,Русско-Урский,п,168,54.5111111111111,86.1030555555556,84
Кемеровская область,Юргинский,Верх-Тайменка,с,546,55.6591666666667,85.2025,71
Кемеровская область,Топкинский район,123 км,рзд,29,55.1877777777778,85.7438888888889,24
Кемеровская область,Топкинский район,Терехино,д,1172,55.3469444444444,85.4983333333333,39
Кемеровская область,Тайгинский,Таежный,п,322,56.1027777777778,85.5016666666667,100
Кемеровская область,Ленинск-Кузнецкий,Чкаловский,п,608,54.6880555555556,85.9552777777778,65
Кемеровская область,Кемеровский,Новоискитимск,п,1118,55.3030555555556,86.0563888888889,4
Кемеровская область,Промышленновский район,Иван-Брод,д,0,54.6075,85.1355555555556,96
Кемеровская область,Кемеровский,Пригородный,п,2693,55.3494444444444,85.9502777777778,13
Кемеровская область,Яйский район,Чиндатский,п,43,56.13,86.1816666666667,95
Кемеровская область,Кемеровский,Привольный,п,160,55.4969444444444,86.07,25
Кемеровская область,Крапивинский район,Банново,с,792,55.0852777777778,86.7066666666667,43
Кемеровская область,Кемеровский,Сутункин Брод,д,19,55.5825,85.9755555555556,35
Кемеровская область,Кемеровский,Новая Балахонка,д,24,55.6030555555556,86.0313888888889,37
Кемеровская область,Яйский район,Мальцево,п/ст,21,56.1713888888889,86.2722222222222,100
Кемеровская область,Тайгинский,Кедровый,п,33,56.1141666666667,85.6744444444444,97
Кемеровская область,Топкинский район,Черемичкино,с,675,55.155,85.8525,20
Кемеровская область,Крапивинский район,Фомиха,д,3,55.0333333333333,86.8769444444444,55
Кемеровская область,Ленинск-Кузнецкий,Мусохраново,п,547,54.7083333333333,85.7747222222222,66
Кемеровская область,Яшкинский район,Морковкино,д,173,55.7077777777778,85.6169444444444,57
Кемеровская область,Крапивинский район,Скарюпино,д,282,54.9613888888889,86.2402777777778,35
Кемеровская область,Промышленновский район,Краснинское,с,1395,54.7938888888889,85.4541666666667,67
Кемеровская область,Яйский район,Антоновка,п,0,56.1091666666667,86.2602777777778,93
Кемеровская область,Беловский,Вишневка,с,955,54.4088888888889,86.3986111111111,97
Кемеровская область,Ленинск-Кузнецкий,Горняк,п,102,54.6613888888889,86.0811111111111,67
Кемеровская область,Кемеровский,Вознесенка,д,2,55.4025,86.3141666666667,19
Кемеровская область,Тайгинский,Пихтач,рзд,6,56.0494444444444,85.8416666666667,88
Кемеровская область,Беловский,Беково,с,801,54.3666666666667,86.1919444444444,100
Кемеровская область,Кемеровский,Сухая Речка,д,827,55.2386111111111,86.1197222222222,3
Кемеровская область,Ленинск-Кузнецкий,Панфилово,с,1541,54.9477777777778,86.3794444444444,39
Кемеровская область,Яшкинский район,Акация,п,863,55.7352777777778,85.3633333333333,69
Кемеровская область,Кемеровский,Барановка,с,1067,55.6380555555556,85.9519444444445,42
Кемеровская область,Кемеровский,Усть-Хмелевка,д,332,55.6219444444444,85.8072222222222,43
Кемеровская область,Ижморский район,Малая Златогорка,п,4,55.8172222222222,86.7922222222222,74
Кемеровская область,Промышленновский район,Восход,п,263,55.0494444444444,85.9133333333333,27
Кемеровская область,Кемеровский,Вотиновка,п,70,55.8516666666667,85.965,65
Кемеровская область,Яйский район,Безлесный,п,353,56.1433333333333,86.1075,97
Кемеровская область,Кемеровский,Береговая,д,1992,55.1413888888889,86.3097222222222,19
Кемеровская область,Беловский,Осиновка,д,259,54.4536111111111,86.3625,92
Кемеровская область,Крапивинский район,Новобарачаты,д,120,55.0438888888889,86.1722222222222,25
Кемеровская область,Топкинский район,Козлово,д,121,55.2369444444444,85.2558333333333,54
Кемеровская область,Беловский,Хахалино,д,207,54.4755555555556,86.5230555555556,92
Кемеровская область,Яшкинский район,Нижнешубино,д,0,56.0013888888889,85.2538888888889,97
Кемеровская область,Беловский,Поморцево,с,500,54.3961111111111,86.5219444444444,100
Кемеровская область,Ижморский район,Вяземка,д,21,55.8594444444444,87.0111111111111,86
Кемеровская область,Ленинск-Кузнецкий,Мирный,п,876,54.6125,85.9227777777778,74
Кемеровская область,Ленинск-Кузнецкий,Красная Поляна,п,299,54.7325,86.1952777777778,60
Кемеровская область,Кемеровский,Щегловский,п,1140,55.5638888888889,85.9233333333333,34
Кемеровская область,Крапивинский район,Комаровка,д,4,55.1583333333333,86.7488888888889,42
Кемеровская область,Гурьевский район,Мостовая,д,134,54.4622222222222,85.8469444444444,91
Кемеровская область,Топкинский район,130 км,рзд,47,55.1377777777778,85.7972222222222,24
Кемеровская область,Промышленновский район,Иваново-Родионовский,п,243,54.8919444444444,85.5352777777778,55
Кемеровская область,Топкинский район,Опарино,д,696,55.4305555555556,85.2322222222222,58
Кемеровская область,Яшкинский район,Нижнеяшкино,с,255,55.8263888888889,85.4833333333333,73
Кемеровская область,Ленинск-Кузнецкий,Возвышенка,д,358,54.5694444444444,85.8588888888889,79
Кемеровская область,Кемеровский,Михайловский,п,0,55.2772222222222,86.3661111111111,16
Кемеровская область,Юргинский,Юрманово,д,4,55.55,85.3538888888889,57
Кемеровская область,Кемеровский,Креково,д,31,55.5233333333333,85.8680555555556,32
Кемеровская область,Ленинск-Кузнецкий,Золотаревский,п,62,54.7155555555556,86.3988888888889,64
Кемеровская область,Ленинск-Кузнецкий,Раскатиха,п/ст,46,54.7944444444444,86.1233333333333,52
Кемеровская область,Яшкинский район,Трактовый,п,0,56.0447222222222,85.5294444444445,93
Кемеровская область,Крапивинский район,Ленинка,п,16,54.9141666666667,86.4733333333333,45
Кемеровская область,Ленинск-Кузнецкий,Ивановка,п,300,54.5513888888889,85.9525,80
Кемеровская область,Беловский,Челухоево,с,706,54.3697222222222,86.2094444444444,100
Кемеровская область,Крапивинский район,Шевели,д,1136,55.0741666666667,86.3486111111111,26
Кемеровская область,Промышленновский район,Сыромолотная,д,4,55.0705555555556,86.1269444444444,22
Кемеровская область,Яшкинский район,Октябрьский,п,76,55.7783333333333,85.1111111111111,84
Кемеровская область,Беловский,Инюшка,д,397,54.6033333333333,86.8008333333333,86
