регион,район,город,тип,население,широта,долгота,расстояние
Красноярский край,Пировский район,Куренная Ошма,д,79,57.8236111111111,92.24,72
Красноярский край,Пировский район,Пировское,с,3007,57.6161111111111,92.2847222222222,96
Красноярский край,Лесосибирск,Усть-Ангарск,п,61,58.1030555555556,93.0447222222222,68
Красноярский край,Енисейский район,Плотбище,с,346,58.44,91.9494444444444,10
Красноярский край,Енисейский район,Малобелая,д,174,58.2311111111111,91.9619444444444,28
Красноярский край,Енисейский район,Анциферово,д,208,58.8733333333333,91.8594444444444,46
Красноярский край,Енисейский район,Верхнекемское,д,0,58.0202777777778,92.0227777777778,50
Красноярский край,Пировский район,Бельское,с,128,57.8202777777778,92.1663888888889,72
Красноярский край,Енисейский район,Епишино,с,920,58.4861111111111,92.2497222222222,8
Красноярский край,Енисейский район,Масленниково,д,1,58.1869444444444,91.8927777777778,34
Красноярский край,Енисейский район,Усть-Кемь,п,1160,58.5413888888889,92.0527777777778,8
Красноярский край,Пировский район,Новониколаевское,д,55,57.8711111111111,92.4386111111111,69
Красноярский край,Енисейский район,Паршино,д,117,58.6822222222222,92.0694444444444,23
Красноярский край,Енисейский район,Тархово,д,0,57.8266666666667,91.4569444444444,81
Красноярский край,Пировский район,Троица,с,520,57.7727777777778,92.1766666666667,78
Красноярский край,Енисейский район,Абалаково,с,1451,58.1113888888889,92.7166666666667,53
Красноярский край,Енисейский район,Усть-Тунгуска,д,267,58.1161111111111,92.9219444444444,62
Красноярский край,Енисейский район,Савино,д,25,58.0141666666667,93.0027777777778,73
Красноярский край,Пировский район,Филипповка,д,14,57.9394444444444,92.3991666666667,61
Красноярский край,Енисейский район,Симоновка,д,0,58.3944444444444,92.2586111111111,12
Красноярский край,Енисейский район,Горская,д,117,58.4130555555556,92.1477777777778,7
Красноярский край,Пировский район,Кемский,п,0,57.9433333333333,92.3813888888889,61
Красноярский край,Пировский район,Игнатово,д,70,57.6166666666667,92.47,97
Красноярский край,Енисейский район,Новокаргино,п,963,58.0194444444444,92.95,70
Красноярский край,Таймырский Долгано-Ненецкий район,Потапово,п,305,58.4330555555556,92.3125,12
Красноярский край,Енисейский район,Шадрино,д,36,58.5608333333333,92.0463888888889,10
Красноярский край,Енисейский район,Широкий Лог,п,37,58.0738888888889,92.9613888888889,66
Красноярский край,Енисейский район,Верхнебельск,п,0,58.1008333333333,92.3530555555556,43
Красноярский край,Пировский район,Новотроицкая,д,56,57.6286111111111,92.0522222222222,94
Красноярский край,Енисейский район,Южаково,д,31,58.3641666666667,92.4213888888889,21
Красноярский край,Лесосибирск,Лесосибирск,г,61139,58.2216666666667,92.5036111111111,36
Красноярский край,Енисейский район,Городище,с,263,58.2908333333333,92.4369444444444,27
Красноярский край,Енисейский район,Жарково,с,0,58.4533333333333,91.9672222222222,8
Красноярский край,Пировский район,Икшурма,с,253,57.6391666666667,92.0022222222222,93
Красноярский край,Пировский район,Новый Тимершик,д,122,57.5958333333333,92.0775,97
Красноярский край,Енисейский район,Борки,д,7,58.3919444444444,91.9594444444444,12
Красноярский край,Пировский район,Новый Сатыш,д,0,57.8666666666667,92.2327777777778,68
Красноярский край,Пировский район,Волоковое,д,91,57.6583333333333,92.4466666666667,93
Красноярский край,Енисейский район,Еркалово,д,53,58.5097222222222,92.1277777777778,4
Красноярский край,Енисейский район,Прутовая,д,99,58.3897222222222,92.2763888888889,13
Красноярский край,Лесосибирск,Стрелка,гп,5040,58.0783333333333,93.0244444444444,69
Красноярский край,Пировский район,Большая Кеть,п,40,57.6513888888889,91.7483333333333,94
Красноярский край,Енисейский район,Подтесово,пгт,4718,58.6036111111111,92.0908333333333,14
Красноярский край,Енисейский район,Абалаково,п,773,58.0813888888889,92.6363888888889,53
Красноярский край,Пировский район,Кетский,п,942,57.5819444444444,91.8777777777778,100
Красноярский край,Енисейский район,Сотниково,д,0,58.0694444444444,92.7605555555556,59
Красноярский край,Пировский район,Пировский,п,66,57.7808333333333,92.1588888888889,77
Красноярский край,Пировский район,Коврига,д,146,57.6152777777778,91.9722222222222,96
Красноярский край,Енисейский район,Потапово,с,702,58.4336111111111,92.3141666666667,12
Красноярский край,Енисейский район,Шапкино,п,840,57.8752777777778,93.0652777777778,87
Красноярский край,Енисейский район,Каргино,с,155,58.0041666666667,92.9752777777778,72
Красноярский край,Енисейский район,Крутой Лог,п,20,58.04,92.94,68
Красноярский край,Енисейский район,Байкал,п,175,58.3366666666667,92.4369444444444,24
Красноярский край,Енисейский район,Смородинка,д,10,58.1355555555556,92.8286111111111,56
Красноярский край,Енисейский район,Усть-Пит,с,330,58.9805555555556,91.7616666666667,59
Красноярский край,Енисейский район,Колмогорово,д,86,59.26,91.3161111111111,98
Красноярский край,Енисейский район,Рудиковка,д,49,58.1977777777778,92.5591666666667,40
Красноярский край,Енисейский район,Высокогорский,п,1086,58.1688888888889,92.6119444444444,44
Красноярский край,Енисейский район,Каменск,д,39,58.3430555555556,92.4655555555556,25
Красноярский край,Пировский район,Солоуха,с,203,57.755,92.3033333333333,80
Красноярский край,Енисейский район,Мариловцева,д,4,58.2672222222222,91.9533333333333,24
Красноярский край,Енисейский район,Погодаево,с,284,58.6980555555556,92.0536111111111,25
Красноярский край,Енисейский район,Чалбышево,с,348,58.0530555555556,91.8913888888889,48
Красноярский край,Енисейский район,Подгорное,с,252,58.1161111111111,91.8872222222222,42
Красноярский край,Пировский район,Долгово,д,124,57.7327777777778,92.3133333333333,83
Красноярский край,Енисейский район,Шишмарево,п,98,59.0788888888889,91.6911111111111,71
Красноярский край,Енисейск,Енисейск,г,18666,58.4486111111111,92.1652777777778,4
Красноярский край,Пировский район,Михайловка,д,12,57.9536111111111,92.3872222222222,60
Красноярский край,Пировский район,Омский,п,254,57.5936111111111,91.8938888888889,98
Красноярский край,Енисейский район,Енисейск-15,п,0,57.8733333333333,93.0572222222222,87
Красноярский край,Енисейский район,Ялань,д,40,58.3533333333333,91.8430555555556,20
Красноярский край,Пировский район,Холмовая,д,1,57.6494444444444,92.4686111111111,94
Красноярский край,Енисейский район,Озерное,с,1746,58.465,92.0830555555556,2
Красноярский край,Енисейский район,Верхнепашино,с,2870,58.4225,92.2680555555555,10
Красноярский край,Пировский район,Туруханка,д,4,57.5908333333333,91.8358333333333,99
