регион,район,город,тип,население,широта,долгота,расстояние
Красноярский край,Мотыгинский район,Бурный,д,0,57.7338888888889,95.2227777777778,57
Красноярский край,Мотыгинский район,Кирсантьево,п,370,57.7419444444444,94.8847222222222,49
Красноярский край,Мотыгинский район,Чистяки,п,31,57.9133333333333,94.2088888888889,43
Красноярский край,Мотыгинский район,Машуковка,п,631,57.795,94.3886111111111,47
Красноярский край,Мотыгинский район,Кандаки,д,0,58.0058333333333,94.0819444444444,43
Красноярский край,Мотыгинский район,Решающий,п,79,58.1980555555556,94.7719444444444,2
Красноярский край,Мотыгинский район,Орджоникидзе,п,1526,58.4552777777778,95.4533333333333,51
Красноярский край,Тасеевский район,Мурма,д,98,57.285,94.7980555555555,99
Красноярский край,Мотыгинский район,Слюдрудник,п,150,57.9861111111111,94.1916666666667,39
Красноярский край,Тасеевский район,Данилки,д,39,57.3002777777778,94.5316666666667,98
Красноярский край,Мотыгинский район,Никольск,п,9,57.8819444444444,94.2525,44
Красноярский край,Тасеевский район,Усть-Кайтым,п,45,57.3963888888889,95.505,98
Красноярский край,Мотыгинский район,Бельск,п,283,58.1688888888889,94.5238888888889,13
Красноярский край,Тасеевский район,Лужки,п,195,57.3075,94.7727777777778,97
Красноярский край,Мотыгинский район,Устье,п,16,57.7752777777778,94.6186111111111,45
Красноярский край,Мотыгинский район,Партизанск,п,0,58.6852777777778,94.2375,63
Красноярский край,Мотыгинский район,Южно-Енисейск,п,650,58.7888888888889,94.6469444444444,67
Красноярский край,Богучанский район,Прилуки,д,51,57.7497222222222,95.7341666666667,75
Красноярский край,Мотыгинский район,Пашино,п,40,58.1352777777778,94.6213888888889,8
Красноярский край,Мотыгинский район,Мотыгино,пгт,5902,58.1822222222222,94.6980555555556,2
Красноярский край,Мотыгинский район,Кулаково,п,838,58.0941666666667,93.7533333333333,59
Красноярский край,Тасеевский район,Буровой,п,62,57.2786111111111,94.8127777777778,100
Красноярский край,Мотыгинский район,Первомайск,п,936,58.0161111111111,94.0947222222222,42
Красноярский край,Мотыгинский район,Раздолинск,пгт,2502,58.4175,94.6205555555556,27
Красноярский край,Мотыгинский район,Рыбное,с,344,58.13,94.5119444444444,14
Красноярский край,Мотыгинский район,Кировский,п,14,58.91,94.7725,81
Красноярский край,Тасеевский район,Троицк,с,582,57.4158333333333,94.8408333333333,85
