регион,район,город,тип,население,широта,долгота,расстояние
Иркутская область,Чунский район,Червянка,с,239,57.6572222222222,99.5452777777778,95
Красноярский край,Кежемский район,Сыромолотово,д,177,58.6702777777778,98.9372222222222,23
Красноярский край,Кежемский район,Заледеево,с,1167,58.6711111111111,98.8144444444444,26
Красноярский край,Кежемский район,Яркино,с,167,59.1294444444444,99.3972222222222,74
Красноярский край,Богучанский район,Гольтявино,п,47,58.4333333333333,98.4369444444444,38
Красноярский край,Кежемский район,Климино,д,192,58.6397222222222,98.745,27
Красноярский край,Кежемский район,Чадобец,д,63,58.6597222222222,98.8605555555555,24
Красноярский край,Кежемский район,Кодинск,г,16348,58.6033333333333,99.1797222222222,14
Красноярский край,Кежемский район,Имбинский,п,727,58.1036111111111,99.6102777777778,51
Красноярский край,Кежемский район,Ирба,с,280,58.0980555555556,98.9886111111111,43
Красноярский край,Кежемский район,Тагара,д,1873,58.7266666666667,99.0147222222222,27
Красноярский край,Кежемский район,Болтурино,п,452,58.3066666666667,100.076111111111,60
Красноярский край,Кежемский район,Бидея,д,14,57.9152777777778,99.2005555555556,63
Красноярский край,Богучанский район,Невонка,п,1736,58.4236111111111,98.3219444444444,45
Красноярский край,Богучанский район,Говорково,п,769,58.6008333333333,98.7244444444444,25
Красноярский край,Богучанский район,Хребтовый,п,1599,58.5830555555556,98.6175,30
