регион,район,город,тип,население,широта,долгота,расстояние
Красноярский край,Большемуртинский район,Красные Ключи,п,393,56.9263888888889,92.7861111111111,85
Красноярский край,Берёзовский район,Зыково,с,5924,55.9597222222222,93.1641666666667,48
Красноярский край,Емельяновский район,Первомайский,п,299,56.5675,92.5805555555555,44
Красноярский край,Сухобузимский район,Большие Пруды,п,401,56.3925,93.4502777777778,64
Красноярский край,посёлок Кедровый,Кедровый,пгт,4692,56.2352777777778,92.3275,12
Красноярский край,Емельяновский район,Малая Еловая,д,5,56.1252777777778,92.3816666666667,8
Красноярский край,Козульский район,Кедровый,п,303,56.2825,91.5405555555556,60
Красноярский край,Дивногорск,Хмельники,п,18,55.9163888888889,92.2575,32
Красноярский край,Большемуртинский район,Пакуль,д,283,56.8469444444444,93.3277777777778,90
Красноярский край,Емельяновский район,Бугачево,д,455,56.0447222222222,92.6602777777778,17
Красноярский край,Большемуртинский район,Бартат,с,728,56.7236111111111,93.1380555555556,73
Красноярский край,Емельяновский район,Водораздел,п,0,56.1122222222222,92.0777777777778,26
Красноярский край,Емельяновский район,Шуваево,с,1101,56.1844444444444,92.8947222222222,24
Красноярский край,Емельяновский район,Тыжновка,д,10,56.4325,92.5413888888889,29
Красноярский край,Емельяновский район,Частоостровское,с,1283,56.1975,93.3405555555556,52
Красноярский край,Емельяновский район,Красный Пахарь,п,293,56.2841666666667,93.0655555555556,37
Красноярский край,Берёзовский район,Маганский,п,63,55.8730555555556,93.2344444444444,57
Красноярский край,Козульский район,Новосибирский,п,100,56.0725,91.6955555555556,50
Красноярский край,Емельяновский район,Погорелка,д,183,56.3380555555556,92.9811111111111,35
Красноярский край,Дивногорск,Усть-Мана,п,874,55.9425,92.4783333333333,25
Красноярский край,Емельяновский район,Красное Знамя,д,10,56.4458333333333,92.6636111111111,32
Красноярский край,Емельяновский район,Веселая Гора,п,0,56.1916666666667,92.6811111111111,11
Красноярский край,Емельяновский район,Раскаты,д,111,56.3013888888889,92.6027777777778,15
Красноярский край,Манский район,Сорокино,п,167,55.8816666666667,93.3905555555556,64
Красноярский край,Берёзовский район,Кулаково,д,0,55.9408333333333,93.1641666666667,49
Красноярский край,Берёзовский район,Есауловка,п,170,56.1030555555556,93.2816666666667,49
Красноярский край,Емельяновский район,Алексеевка,д,0,56.6261111111111,91.9816666666667,59
Красноярский край,Козульский район,Косачи,п,442,56.1341666666667,91.6288888888889,53
Красноярский край,Большемуртинский район,Верх-Казанка,с,609,57.0480555555556,92.7866666666667,99
Красноярский край,Берёзовский район,Челноково,д,412,56.0427777777778,93.3291666666667,53
Красноярский край,Большемуртинский район,Еловка,с,344,56.7530555555556,93.2661111111111,80
Красноярский край,Сухобузимский район,Князевка,д,0,56.6363888888889,92.9772222222222,59
Красноярский край,Сухобузимский район,Родниковый,п,62,56.4125,92.9880555555556,40
Красноярский край,Емельяновский район,Покровка,д,8,56.4888888888889,92.5586111111111,35
Красноярский край,Берёзовский район,Верхняя Базаиха,п,209,55.6891666666667,93.3861111111111,77
Красноярский край,Козульский район,Большой Кемчуг,д,138,56.1869444444444,91.585,56
Красноярский край,Берёзовский район,Брод,п,47,55.6627777777778,93.0716666666667,67
Красноярский край,Емельяновский район,Плоское,д,151,56.3069444444444,92.7622222222222,22
Красноярский край,Берёзовский район,Есаулово,с,1769,56.1425,93.2716666666667,48
Красноярский край,Емельяновский район,Серебряково,д,176,56.2144444444444,93.2533333333333,47
Красноярский край,Емельяновский район,Устюг 1-й,с,0,56.355,92.8580555555556,30
Красноярский край,Емельяновский район,Борлок,д,4,56.3463888888889,92.6158333333333,20
Красноярский край,Емельяновский район,Минино,д,1067,56.0763888888889,92.6972222222222,16
Красноярский край,Емельяновский район,Михайловка,с,17,56.5466666666667,91.9436111111111,53
Красноярский край,Емельяновский район,Мужичкино,д,214,56.2594444444444,92.6111111111111,12
Красноярский край,Емельяновский район,Придорожный,п,148,56.2280555555556,92.9797222222222,30
Красноярский край,Большемуртинский район,Ентауль,с,75,56.9055555555556,92.7930555555556,83
Красноярский край,Сухобузимский район,Высотино,с,986,56.5497222222222,93.4058333333333,70
Красноярский край,Сухобузимский район,Шилинка,п,822,56.5380555555556,92.9194444444445,48
Красноярский край,Емельяновский район,Сухая,д,104,56.2158333333333,92.4402777777778,5
Красноярский край,Большемуртинский район,Айтат,с,232,57.01,92.9866666666667,98
Красноярский край,Емельяновский район,Известковый,п,24,56.0963888888889,92.1947222222222,20
Красноярский край,Манский район,Правый,д,17,55.8572222222222,93.4813888888889,70
Красноярский край,Емельяновский район,Гладкое,д,17,56.3597222222222,92.4383333333333,21
Красноярский край,Большемуртинский район,Хмелево,д,86,56.8161111111111,92.895,75
Красноярский край,Сухобузимский район,Седельниково,д,334,56.5238888888889,93.3980555555556,68
Красноярский край,Емельяновский район,Кубеково,д,303,56.1463888888889,93.1122222222222,38
Красноярский край,Большемуртинский район,Лакино,д,502,56.7977777777778,93.0097222222222,76
Красноярский край,Емельяновский район,Малый Кемчуг,д,96,56.2308333333333,92.1502777777778,22
Красноярский край,Берёзовский район,Малая Кускунка,д,30,55.9655555555556,93.49,66
Красноярский край,Емельяновский район,Медведа,д,57,56.5055555555556,92.4086111111111,37
Красноярский край,Емельяновский район,Элита,п,1746,56.0852777777778,92.5730555555556,10
Красноярский край,Емельяновский район,Суханово,д,11,56.3458333333333,93.0336111111111,38
Красноярский край,Емельяновский район,Логовой,п,523,56.1255555555556,92.7580555555556,17
Красноярский край,Сухобузимский район,Мингуль,п,481,56.4569444444444,93.4833333333333,68
Красноярский край,Емельяновский район,Вечерницы,д,53,56.3266666666667,92.5283333333333,17
Красноярский край,Большемуртинский район,Мостовское,д,375,56.7602777777778,92.7508333333333,67
Красноярский край,Емельяновский район,Подолка,д,78,56.3366666666667,92.4866666666667,18
Красноярский край,Сухобузимский район,Малиновка,д,309,56.5913888888889,93.4786111111111,76
Красноярский край,Берёзовский район,Лукино,д,210,55.9458333333333,93.1086111111111,45
Красноярский край,Дивногорск,Верхняя Бирюса,п,92,55.9236111111111,91.9747222222222,42
Красноярский край,Емельяновский район,Старцево,д,3424,56.1647222222222,92.9841666666667,30
Красноярский край,Емельяновский район,Куваршино,д,207,56.2447222222222,93.3763888888889,55
Красноярский край,Берёзовский район,Лопатино,д,221,55.9561111111111,93.2544444444444,53
Красноярский край,Балахтинский район,Щетинкина,п,228,55.3552777777778,92.0891666666667,94
Красноярский край,Емельяновский район,Солонцы,п,3786,56.0688888888889,92.8483333333333,24
Красноярский край,Берёзовский район,Терентьево,д,346,56.0866666666667,93.2483333333333,47
Красноярский край,Сухобузимский район,Миндерла,с,2313,56.4375,92.9888888888889,42
Красноярский край,Сухобузимский район,Сухобузимское,с,4293,56.4972222222222,93.2733333333333,60
Красноярский край,Берёзовский район,Березовский,п,1339,55.8066666666667,93.2822222222222,63
Красноярский край,Сухобузимский район,Борск,п,817,56.4413888888889,92.9075,39
Красноярский край,Емельяновский район,Каменный Яр,п,405,56.1161111111111,92.3008333333333,13
Красноярский край,Сухобузимский район,СОБ Бузим,п,0,56.4891666666667,93.3397222222222,63
Красноярский край,Козульский район,Жуковка,с,675,56.0952777777778,91.7116666666667,49
Красноярский край,Берёзовский район,Ермолаево,д,439,56.1313888888889,93.1502777777778,41
Красноярский край,Берёзовский район,Вознесенка,с,1236,56.0044444444444,93.2669444444444,51
Красноярский край,Берёзовский район,Красная Сибирь,д,23,55.9316666666667,93.2705555555556,55
Красноярский край,Сухобузимский район,Толстомысово,д,190,56.4202777777778,93.3744444444444,61
Красноярский край,Емельяновский район,Памяти 13 Борцов,п,2968,56.2141666666667,92.3161111111111,11
Красноярский край,Емельяновский район,Худоногово,д,13,56.1669444444444,93.2358333333333,46
Красноярский край,Емельяновский район,Минино,п,1975,56.0477777777778,92.5444444444445,14
Красноярский край,Сухобузимский район,Шошкино,д,178,56.5852777777778,92.8141666666667,50
Красноярский край,Большемуртинский район,Тигино,д,323,56.81,93.1533333333333,81
Красноярский край,Сухобузимский район,Ковригино,д,161,56.6238888888889,93.2119444444444,67
Красноярский край,Сухобузимский район,Ленинка,д,8,56.5983333333333,92.7083333333333,49
Красноярский край,Емельяновский район,Арейское,с,2117,56.1030555555556,92.4544444444444,8
Красноярский край,Сухобузимский район,Иркутское,с,136,56.3788888888889,93.1258333333333,45
Красноярский край,Сухобузимский район,Подсопки,с,432,56.4241666666667,93.2072222222222,52
Красноярский край,Емельяновский район,Таскино,д,908,56.3152777777778,92.9625,33
Красноярский край,Емельяновский район,Сухая Балка,п,287,56.1397222222222,92.9063888888889,25
Красноярский край,Емельяновский район,Гаревое,п,488,56.645,92.6475,53
Красноярский край,Емельяновский район,Зеледеево,п,452,56.0741666666667,91.9777777777778,33
Красноярский край,Сухобузимский район,Карымская,д,160,56.3358333333333,93.2869444444444,52
Красноярский край,Дивногорск,Дивногорск,г,28272,55.9577777777778,92.38,24
Красноярский край,Козульский район,Можарский,п,149,56.1913888888889,91.6583333333333,51
Красноярский край,Красноярск,Красноярск,г,1066934,56.0105555555556,92.8525,28
Красноярский край,Емельяновский район,Арей,п,312,56.2336111111111,92.8427777777778,22
Красноярский край,Козульский район,Бадаложная,п,31,56.0786111111111,91.8744444444444,39
Красноярский край,Балахтинский район,Огоньки,д,9,55.4661111111111,91.85,88
Красноярский край,Сосновоборск,Сосновоборск,г,33091,56.1202777777778,93.3355555555556,52
Красноярский край,Берёзовский район,Березовка,пгт,20887,56.0355555555556,93.1205555555556,41
Красноярский край,Емельяновский район,Крутая,д,387,56.2388888888889,92.4616666666667,7
Красноярский край,Емельяновский район,Творогово,д,542,56.1372222222222,92.7636111111111,17
Красноярский край,Большемуртинский район,Малый Кантат,д,293,56.9522222222222,93.1188888888889,94
Красноярский край,Большемуртинский район,Верх-Подъемная,д,84,56.7802777777778,93.1080555555556,77
Красноярский край,Берёзовский район,Жистык,п,7,55.7122222222222,93.2888888888889,71
Красноярский край,Емельяновский район,Объединение,д,11,56.3066666666667,92.7933333333333,23
Красноярский край,Емельяновский район,Ясная Поляна,д,10,56.3111111111111,92.6602777777778,18
Красноярский край,Манский район,Самарка,д,7,55.8841666666667,93.43,66
Красноярский край,Емельяновский район,Петропавловка,д,2,56.5713888888889,91.9722222222222,54
Красноярский край,Емельяновский район,Талое,с,772,56.4863888888889,92.7522222222222,38
Красноярский край,Дивногорск,Бахта,п,6,55.7383333333333,92.4216666666667,48
Красноярский край,Емельяновский район,Таскино-2,п,0,56.3330555555556,92.9461111111111,33
Красноярский край,Берёзовский район,Бархатово,с,1513,56.0441666666667,93.3594444444444,55
