регион,район,город,тип,население,широта,долгота,расстояние
Республика Тыва,Каа-Хемский кожуун,Кундустуг,с,629,51.5741666666667,95.18,55
Республика Тыва,Кызылский кожуун,Черби,с,1148,51.8894444444444,94.5891666666667,27
Республика Тыва,Кызылский кожуун,Ээрбек,с,1265,51.6491666666667,94.2077777777778,13
Республика Тыва,Кызылский кожуун,Каа-Хем,пгт,18762,51.6972222222222,94.5594444444444,11
Республика Тыва,Кызыл,Кызыл,г,116983,51.7191666666667,94.4377777777778,6
Республика Тыва,Пий-Хемский кожуун,Туран,г,5309,52.145,93.9172222222222,62
Республика Тыва,Чеди-Хольский кожуун,Сайлыг,с,1239,51.2883333333333,94.5672222222222,43
Республика Тыва,Чеди-Хольский кожуун,Чал-Кежиг,с,303,51.2983333333333,93.9322222222222,52
Республика Тыва,Чеди-Хольский кожуун,Элегест,с,1436,51.3627777777778,93.9608333333333,45
Республика Тыва,Кызылский кожуун,Баян-Кол,с,1283,51.5802777777778,93.5533333333333,59
Республика Тыва,Кызылский кожуун,Шамбалыг,с,418,51.2394444444444,95.0877777777778,67
Республика Тыва,Кызылский кожуун,Усть-Элегест,с,1535,51.5641666666667,94.0997222222222,23
Республика Тыва,Кызылский кожуун,ДНТ Серебрянка,тер,0,51.7008333333333,94.5847222222222,13
Республика Тыва,Тандинский кожуун,Марачевка,арбан,24,50.9366666666667,95.0,91
Республика Тыва,Пий-Хемский кожуун,Сесерлиг,с,769,51.8747222222222,94.2625,24
Республика Тыва,Кызылский кожуун,Кара-Хаак,с,1429,51.8872222222222,94.4580555555556,24
Республика Тыва,Каа-Хемский кожуун,Суг-Бажы,с,741,51.6555555555556,94.8558333333333,31
Республика Тыва,Пий-Хемский кожуун,Хадын,с,668,51.9580555555556,93.6280555555556,62
Республика Тыва,Пий-Хемский кожуун,Чкаловка,арбан,51,52.0261111111111,93.5063888888889,73
Республика Тыва,Тандинский кожуун,Кочетово,с,917,51.58,94.1077777777778,22
Республика Тыва,Пий-Хемский кожуун,Суш,с,530,52.0625,94.1638888888889,46
Республика Тыва,Тандинский кожуун,Владимировка,с,959,50.9983333333333,95.3075,97
Республика Тыва,Тандинский кожуун,Межегей,с,1380,51.4316666666667,94.5408333333333,28
Республика Тыва,Тандинский кожуун,Кызыл-Арыг,с,784,50.9294444444444,95.1986111111111,99
Республика Тыва,Кызылский кожуун,Сукпак,с,5056,51.6452777777778,94.2644444444445,9
Республика Тыва,Тандинский кожуун,Сосновка,с,929,51.1397222222222,94.5208333333333,59
Республика Тыва,Пий-Хемский кожуун,Билелиг,арбан,106,52.2733333333333,93.8797222222222,76
Республика Тыва,Тандинский кожуун,Успенка,с,536,51.2347222222222,94.2472222222222,49
Республика Тыва,Пий-Хемский кожуун,Уюк,с,686,52.0772222222222,94.0311111111111,52
Республика Тыва,Пий-Хемский кожуун,Севи,арбан,39,52.4877777777778,94.9186111111111,97
Республика Тыва,Пий-Хемский кожуун,Тарлаг,с,504,52.0672222222222,93.4094444444444,81
Республика Тыва,Кызылский кожуун,Терлиг-Хая,с,496,51.7077777777778,93.5225,60
Республика Тыва,Тандинский кожуун,Бай-Хаак,с,3279,51.2669444444444,94.7766666666667,51
Красноярский край,Ермаковский район,Маральский,п,7,52.2563888888889,93.455,92
Республика Тыва,Тандинский кожуун,Балгазын,с,3889,50.9947222222222,95.1652777777778,92
Республика Тыва,Чеди-Хольский кожуун,Ак-Тал,с,997,51.1736111111111,93.4075,88
Республика Тыва,Каа-Хемский кожуун,Бурен-Хем,с,1028,51.6508333333333,95.0083333333333,42
Республика Тыва,Чеди-Хольский кожуун,Хову-Аксы,с,3731,51.1322222222222,93.7147222222222,76
Республика Тыва,Пий-Хемский кожуун,Аржаан,с,736,52.0602777777778,93.605,69
Республика Тыва,Кызылский кожуун,Целинное,с,1251,51.3294444444444,94.8044444444444,47
Республика Тыва,Пий-Хемский кожуун,Ленинка,арбан,63,51.9855555555556,93.8797222222222,50
Республика Тыва,Тандинский кожуун,Дурген,с,2065,51.1466666666667,94.5022222222222,58
Республика Тыва,Тандинский кожуун,Усть-Хадын,арбан,240,51.2877777777778,94.5661111111111,43
Республика Тыва,Пий-Хемский кожуун,Шивилиг,арбан,246,52.2402777777778,93.7102777777778,79
Республика Тыва,Каа-Хемский кожуун,Бояровка,с,629,51.5372222222222,95.3525,67
