регион,район,город,тип,население,широта,долгота,расстояние
Новосибирская область,Коченёвский район,платф Шагаловский,нп,0,55.0011111111111,82.3877777777778,13
Новосибирская область,Новосибирский район,Ключи,п,23,54.8472222222222,83.2688888888889,47
Новосибирская область,Мошковский район,Барлак,с,487,55.2094444444444,83.2213888888889,44
Новосибирская область,Искитимский район,Быстровка,с,1013,54.5358333333333,82.5841666666667,55
Новосибирская область,Мошковский район,Смоленский,п,831,55.1983333333333,83.3638888888889,52
Новосибирская область,Мошковский район,Старый Порос,с,114,55.4225,83.4838888888889,71
Новосибирская область,Коченёвский район,Приозерная,д,71,54.8991666666667,82.2986111111111,24
Новосибирская область,Новосибирский район,Раздольное,с,4935,55.0575,83.1291666666667,33
Новосибирская область,Новосибирский район,Краснообск,рп,26241,54.92,82.9911111111111,28
Новосибирская область,Новосибирский район,Каинская Заимка,п,887,54.8722222222222,83.145,39
Новосибирская область,Мошковский район,Барлакский,п,585,55.1697222222222,83.2402777777778,43
Новосибирская область,Мошковский район,Сарачевка,д,173,55.4980555555556,83.5883333333333,81
Новосибирская область,Искитимский район,Старый Искитим,с,747,54.6116666666667,83.3913888888889,69
Новосибирская область,Сузунский район,Татчиха,д,39,54.3733333333333,82.4736111111111,73
Новосибирская область,Коченёвский район,Буньково,д,384,55.0630555555556,82.4844444444444,8
Томская область,Кожевниковский район,Базой,с,577,55.7455555555556,83.3644444444444,92
Новосибирская область,Колыванский район,Южино,д,235,55.4908333333333,82.5183333333333,51
Новосибирская область,Черепановский район,Дорогина Заимка,с,389,54.3408333333333,83.1844444444444,85
Новосибирская область,Колыванский район,Скала,с,1876,55.3794444444444,82.7741666666667,40
Новосибирская область,Колыванский район,Вьюны,с,1004,55.5219444444444,82.9236111111111,58
Новосибирская область,Новосибирский район,Прогресс,п,169,54.7033333333333,82.5494444444444,36
Новосибирская область,Искитимский район,Озерки,п,83,54.5088888888889,82.6338888888889,58
Новосибирская область,Коченёвский район,Коченево,рп,17180,55.0188888888889,82.2061111111111,25
Новосибирская область,Тогучинский район,Шмаково,д,233,55.0305555555556,83.4105555555556,51
Новосибирская область,Ордынский район,Плотниково,д,422,54.5955555555556,82.2183333333333,54
Новосибирская область,Искитимский район,Горевка,д,278,54.4261111111111,82.8180555555556,69
Новосибирская область,Коченёвский район,Ермиловка,д,68,55.3077777777778,81.9375,52
Новосибирская область,Ордынский район,Степной,п,52,54.6922222222222,82.1088888888889,49
Новосибирская область,Мошковский район,Кузнецовка,д,203,55.4436111111111,83.5866666666667,77
Новосибирская область,Новосибирский район,Кольцово,рп,17450,54.9294444444444,83.1677777777778,38
Новосибирская область,Новосибирский район,Березовка,с,1532,54.9941666666667,83.3358333333333,47
Новосибирская область,Новосибирский район,Междуречье,п,8,54.9658333333333,83.2530555555556,42
Новосибирская область,Искитимский район,Логовой,п,6,54.6716666666667,83.3525,62
Новосибирская область,Искитимский район,Новолокти,с,538,54.3936111111111,82.9080555555555,73
Новосибирская область,Коченёвский район,Федосово,д,170,54.8727777777778,82.1575,33
Новосибирская область,Ордынский район,Березовка,д,647,54.6091666666667,82.0569444444444,58
Новосибирская область,Черепановский район,Украинка,с,162,54.2694444444444,83.07,90
Новосибирская область,Обь,3307 км,нп,62,54.9988888888889,82.5402777777778,5
Новосибирская область,Колыванский район,Колывань,рп,12285,55.3088888888889,82.7386111111111,31
Новосибирская область,Сузунский район,Шарчино,с,665,54.2688888888889,82.5405555555556,85
Новосибирская область,Коченёвский район,Семеновский,п,95,55.1575,82.0547222222222,37
Новосибирская область,Искитимский район,Сельская,ст,224,54.7166666666667,83.2022222222222,52
Новосибирская область,Искитимский район,Тальменка,с,1798,54.7094444444444,83.2788888888889,56
Новосибирская область,Искитимский район,Ургун,д,898,54.5063888888889,83.4266666666667,79
Новосибирская область,Новосибирский район,Восход,п,2142,55.0838888888889,83.0538888888889,29
Новосибирская область,Ордынский район,Усть-Хмелевка,с,225,54.27,81.7716666666667,100
Новосибирская область,Новосибирский район,Двуречье,п,3300,54.9591666666667,83.2141666666667,40
Новосибирская область,Новосибирский район,Павино,п,0,55.0152777777778,82.6188888888889,2
Новосибирская область,Ордынский район,Вагайцево,с,2391,54.3666666666667,81.86,88
Новосибирская область,Коченёвский район,платф 3293 км,нп,22,55.0033333333333,82.3158333333333,18
Новосибирская область,Колыванский район,Таловка,д,108,55.5816666666667,82.9433333333333,64
Новосибирская область,Искитимский район,Шадрино,д,470,54.4591666666667,83.4116666666667,82
Новосибирская область,Колыванский район,Охотхозяйство Кашламский Бор,п,3,55.4058333333333,82.8255555555556,43
Новосибирская область,Сузунский район,Битки,с,1125,54.2022222222222,82.2694444444444,94
Новосибирская область,Колыванский район,Юрт-Ора,д,58,55.4466666666667,82.9138888888889,50
Новосибирская область,Новосибирский район,Ленинский,п,708,55.1411111111111,83.1488888888889,37
Новосибирская область,Ордынский район,Ордынское,рп,9874,54.3672222222222,81.8994444444444,86
Новосибирская область,Бердск,Бердск,г,104237,54.7583333333333,83.1072222222222,44
Новосибирская область,Новосибирский район,Новокаменка,с,131,55.1672222222222,83.2030555555556,41
Новосибирская область,Ордынский район,Борисовский,п,38,54.5327777777778,81.6138888888889,84
Новосибирская область,Колыванский район,Сидоровка,с,430,55.4422222222222,82.4077777777778,47
Новосибирская область,Новосибирский район,платф 39 км,нп,79,54.9788888888889,83.2716666666667,43
Новосибирская область,Искитимский район,Евсино,ст,5076,54.5125,83.3480555555556,75
Новосибирская область,Коченёвский район,Студенкино,д,44,55.1691666666667,81.8433333333333,50
Новосибирская область,Коченёвский район,Дупленская,ст,1012,55.0902777777778,81.6238888888889,62
Новосибирская область,Колыванский район,Изовка,д,14,55.7819444444444,83.2441666666667,92
Новосибирская область,Искитимский район,Советский,п,343,54.4491666666667,82.6777777777778,65
Новосибирская область,Искитимский район,Целинный,п,124,54.3697222222222,82.8558333333333,75
Новосибирская область,Коченёвский район,Катково,с,541,55.125,82.5394444444444,10
Новосибирская область,Колыванский район,Орловка,д,0,55.8172222222222,82.4172222222222,88
Новосибирская область,Черепановский район,Пятилетка,п,654,54.2411111111111,83.3302777777778,100
Новосибирская область,Сузунский район,Рождественка,с,26,54.3766666666667,82.4466666666667,73
Новосибирская область,Искитимский район,Сосновка,с,616,54.6813888888889,82.9569444444444,45
Новосибирская область,Коченёвский район,Чик,д,239,54.9947222222222,82.4388888888889,11
Новосибирская область,Новосибирский район,Плотниково,с,1360,55.0369444444444,83.3977777777778,51
Новосибирская область,Мошковский район,Остановочная Платформа Ферма,нп,21,55.1686111111111,83.2583333333333,44
Новосибирская область,Коченёвский район,Чистополье,с,734,54.9655555555556,82.4972222222222,9
Новосибирская область,Коченёвский район,Шагалово,с,751,54.9125,82.2188888888889,27
Новосибирская область,Коченёвский район,Крохалевка,д,275,55.1455555555556,82.5411111111111,13
Новосибирская область,Искитимский район,Зональный,п,43,54.7680555555556,83.1119444444444,44
Новосибирская область,Коченёвский район,Ольшанский,п,55,55.0136111111111,81.7958333333333,51
Новосибирская область,Новосибирский район,Садовый,п,2755,55.1436111111111,82.9541666666667,25
Новосибирская область,Новосибирский район,Витаминка,п,404,55.135,83.1063888888889,34
Новосибирская область,Сузунский район,Федоровский,п,32,54.1558333333333,82.5466666666667,97
Новосибирская область,Новосибирский район,Боровое,с,1510,54.6941666666667,82.6355555555556,37
Новосибирская область,Коченёвский район,Александровский,п,5,55.1222222222222,81.7716666666667,53
Новосибирская область,Новосибирский район,Ярково,с,5258,54.8069444444444,82.6022222222222,25
