регион,район,город,тип,население,широта,долгота,расстояние
Омская область,Омский район,Смирновка,д,57,54.7780555555556,73.9472222222222,45
Омская область,Любинский район,Казанка,с,818,55.2680555555556,72.7513888888889,48
Омская область,Омский район,Половинка,д,9,55.0391666666667,73.7402777777778,28
Омская область,Таврический район,Черноглазовка,д,262,54.3452777777778,74.0391666666667,83
Омская область,Таврический район,Луговое,с,1268,54.6211111111111,73.9016666666667,54
Омская область,Омский район,Алексеевка,д,21,55.3219444444444,73.3727777777778,39
Омская область,Павлоградский район,Кирибай,аул,189,54.2841666666667,73.9444444444444,86
Омская область,Омский район,Ульяновка,с,1131,54.97,73.665,22
Омская область,Саргатский район,Аксеново,д,115,55.5688888888889,73.2833333333333,67
Омская область,Любинский район,Боголюбовка,с,581,55.3038888888889,72.6577777777778,56
Омская область,Любинский район,Авлы,д,299,55.3172222222222,72.9936111111111,43
Омская область,Любинский район,Восточный,п,30,55.1422222222222,72.7297222222222,41
Омская область,Таврический район,Таврическое,рп,12669,54.5844444444444,73.6380555555556,47
Омская область,Тюкалинский район,Ильинка,д,99,55.64,72.4,94
Омская область,Павлоградский район,Хорошки,с,1092,54.27,73.5277777777778,78
Омская область,Кормиловский район,Самаринка,д,57,55.0505555555556,74.1897222222222,57
Омская область,Саргатский район,Нижнеиртышское,с,1490,55.4491666666667,73.2513888888889,53
Омская область,Азовский немецкий национальный район,Тулумбай,аул,88,54.8366666666667,73.0238888888889,23
Омская область,Кормиловский район,Рощинский,п,217,55.1027777777778,74.1297222222222,54
Омская область,Саргатский район,Карманово,д,127,55.8111111111111,73.4602777777778,94
Омская область,Азовский немецкий национальный район,Барсуковка,д,44,54.6211111111111,72.9741666666667,44
Омская область,Омский район,Падь,д,43,54.8063888888889,73.5563888888889,23
Омская область,Любинский район,Ровная Поляна,д,332,55.1052777777778,72.5183333333333,52
Омская область,Тюкалинский район,Максимовка,д,225,55.6447222222222,72.71,84
Омская область,Любинский район,Масляновка,д,43,55.2011111111111,72.6594444444444,49
Омская область,Кормиловский район,Корниловка,д,152,55.0238888888889,73.9580555555556,41
Омская область,Саргатский район,Степановка,д,43,55.7138888888889,73.4941666666667,83
Омская область,Саргатский район,Новотроицк,с,817,55.7780555555556,73.0583333333333,91
Омская область,Омский район,Омский,п,1878,55.1030555555556,73.3438888888889,15
Омская область,Шербакульский район,Кудук-Чилик,аул,95,54.3741666666667,72.4980555555556,84
Омская область,Таврический район,Черниговка,д,305,54.5877777777778,73.4819444444445,43
Омская область,Любинский район,Любинский,рп,10435,55.1541666666667,72.6969444444444,44
Омская область,Шербакульский район,Комсомольское,д,23,54.5744444444444,72.5925,63
Омская область,Горьковский район,Сухое,с,916,55.4233333333333,73.9258333333333,64
Омская область,Одесский район,Одесское,с,7621,54.2105555555556,72.9661111111111,87
Омская область,Павлоградский район,Явлено-Покровка,д,453,54.1111111111111,73.5119444444444,96
Омская область,Азовский немецкий национальный район,Бердянка,д,226,54.6405555555556,73.1011111111111,38
Омская область,Павлоградский район,Кайдаул,аул,211,54.1352777777778,73.7858333333333,97
Омская область,Омский район,Красная Горка,с,884,55.1172222222222,73.1308333333333,20
Омская область,Азовский немецкий национальный район,Привальное,с,1317,54.6888888888889,72.9938888888889,37
Омская область,Саргатский район,Плоское,д,71,55.8430555555556,72.9630555555556,99
Омская область,Горьковский район,Исаевка,д,215,55.305,74.1611111111111,66
Омская область,Марьяновский район,Березовка,д,390,55.0452777777778,72.6280555555556,44
Омская область,Любинский район,Тавричанка,с,452,55.4575,72.7677777777778,64
Омская область,Омский район,Дружино,с,3893,55.0213888888889,73.1397222222222,12
Омская область,Омский район,Развязка,рзд,6,54.9825,73.7941666666667,31
Омская область,Любинский район,Новоархангелка,с,1074,55.3513888888889,73.0291666666667,46
Омская область,Саргатский район,Верблюжье,д,1023,55.3947222222222,73.1527777777778,48
Омская область,Таврический район,Новоуральский,п,1402,54.36,74.1266666666667,85
Омская область,Таврический район,Байдалин,д,173,54.3922222222222,74.2616666666667,88
Омская область,Шербакульский район,1-е Комиссаровское,д,367,54.5047222222222,72.725,63
Омская область,Горьковский район,Чернышеевка,д,8,55.5322222222222,73.7655555555556,69
Омская область,Любинский район,2647 км,ж/д_оп,0,55.2036111111111,72.5247222222222,56
Омская область,Омский район,Морозовка,с,2784,54.9255555555556,73.5616666666667,16
Омская область,Горьковский район,Октябрьское,с,829,55.5538888888889,73.5944444444444,67
Омская область,Омский район,Надеждино,с,1924,55.1958333333333,73.255,25
Омская область,Кормиловский район,Победитель,с,969,54.78,74.07,53
Омская область,Таврический район,Отделение 4 ОПХ СибНИИСХОЗа,нп,262,54.2991666666667,74.1438888888889,91
