регион,район,город,тип,население,широта,долгота,расстояние
Кемеровская область,Яйский район,Судженка,п/ст,663,56.1116666666667,86.1658333333333,66
Новосибирская область,Болотнинский район,Большая Черная,д,312,55.9688888888889,84.4366666666667,66
Кемеровская область,Яшкинский район,Колмогорово,с,1570,55.6388888888889,85.6622222222222,87
Томская область,Томский район,Чёрная Речка,д,1256,56.4,84.91,18
Томская область,Томский район,Берёзовая Речка,д,5,56.1508333333333,84.3291666666667,60
Кемеровская область,Яйский район,Новостройка,п,130,56.1780555555556,86.1091666666667,60
Томская область,Томский район,Губино,д,589,56.5858333333333,84.6286111111111,42
Кемеровская область,Яшкинский район,Низовка,д,0,55.9575,85.8725,62
Кемеровская область,Яйский район,Вознесенка,с,308,56.3205555555556,85.96,46
Кемеровская область,Яшкинский район,Крутовка,д,2,55.9805555555556,85.8227777777778,58
Томская область,Томский район,Бодажково,д,60,56.4930555555556,85.2352777777778,12
Томская область,Томский район,Ягодное,п,11,56.3666666666667,85.1947222222222,1
Томская область,Томский район,104 км,ж/д_рзд,2,56.5886111111111,84.5908333333333,44
Кемеровская область,Кемеровский,Сосновка,п,34,55.7458333333333,86.1025,90
Кемеровская область,Яйский район,Михайловка,д,0,56.2738888888889,85.8055555555556,38
Кемеровская область,Юргинский,Приречье,п,76,55.8905555555556,84.8011111111111,60
Кемеровская область,Яшкинский район,Ленинский,п,642,56.0261111111111,85.0658333333333,40
Томская область,Томский район,Петрово,д,542,56.5375,84.8222222222222,29
Новосибирская область,Болотнинский район,Кунчурук,с,401,55.9194444444444,84.2966666666667,76
Томская область,Томский район,Карбышево,д,187,56.4894444444444,84.4519444444445,48
Томская область,Томский район,Тахтамышево,с,740,56.3777777777778,84.8819444444444,20
Томская область,Томский район,Быково,д,10,56.5638888888889,84.7591666666667,34
Кемеровская область,Юргинский,Макурино,д,378,56.0361111111111,84.6661111111111,51
Кемеровская область,Кемеровский,Черемушки,п,304,55.6108333333333,85.9180555555556,96
Томская область,Шегарский район,Большое Брагино,д,1,56.8588888888889,84.4205555555556,71
Томская область,Томский район,Бобровка,д,3,56.7127777777778,85.1613888888889,36
Кемеровская область,Яйский район,Улановка,с,635,56.3994444444444,86.1027777777778,55
Кемеровская область,Яйский район,Новоникольское,п,4,56.3547222222222,85.8825,41
Кемеровская область,Анжеро-Судженский,326 Квартала,п,132,56.0194444444444,86.0925,68
Томская область,Томск,Киргизка,д,108,56.55,85.0644444444444,20
Кемеровская область,Юргинский,Мальцево,с,417,55.9569444444444,84.8313888888889,52
Томская область,Томский район,Спасо-Яйское,д,181,56.7066666666667,86.1175,66
Томская область,Асиновский район,Латат,д,55,56.7483333333333,85.905,59
Томская область,Томский район,129 км,ж/д_рзд,5,56.7475,85.4730555555556,43
Томская область,Томский район,Наумовка,с,491,56.7594444444444,85.1105555555555,42
Новосибирская область,Болотнинский район,Дивинка,п,736,55.6958333333333,84.4741666666667,89
Кемеровская область,Юргинский,Зеленая Горка,п,147,55.705,84.6413888888889,83
Кемеровская область,Яшкинский район,Власково,д,178,55.7536111111111,85.4197222222222,71
Кемеровская область,Юргинский,Юрга 2-я,п/ст,3061,55.6708333333333,84.7691666666667,83
Кемеровская область,Яшкинский район,Таловка,с,484,55.9630555555556,85.8352777777778,60
Томская область,ЗАТО город Северск,Орловка,п,823,56.8130555555556,84.6466666666667,59
Кемеровская область,Топкинский район,Хорошеборка,с,98,55.5161111111111,85.4311111111111,97
Кемеровская область,Юргинский,Зеледеево,д,562,56.0388888888889,84.8727777777778,43
Кемеровская область,Яшкинский район,Саломатово,д,317,55.9283333333333,85.0186111111111,51
Кемеровская область,Юргинский,Кирово,д,16,55.6975,85.4097222222222,77
Томская область,Томский район,Богашево,с,3963,56.3641666666667,85.1425,4
Томская область,Томский район,Москали,д,51,56.7130555555556,85.3377777777778,37
Томская область,Томский район,Перовка,д,102,56.6944444444444,85.9669444444445,58
Кемеровская область,Яшкинский район,Яшкино,пгт,13489,55.8738888888889,85.4347222222222,58
Томская область,Томский район,Синий Утёс,п,487,56.3366666666667,84.9211111111111,18
Томская область,Томск,Лоскутово,д,3818,56.3752777777778,85.1066666666667,6
Кемеровская область,Яшкинский район,Красноселка,с,778,55.8658333333333,85.2194444444444,57
Кемеровская область,Яшкинский район,Нижняя Тайменка,д,89,55.6669444444444,85.2138888888889,79
Томская область,Томский район,Усманка,д,0,56.6305555555556,86.1602777777778,64
Томская область,Томский район,Яр,с,250,56.16,84.9327777777778,30
Кемеровская область,Яшкинский район,Зырянка,д,350,55.7155555555556,85.2330555555556,74
Томская область,Томский район,Большое Протопопово,д,528,56.4216666666667,85.1994444444444,4
Новосибирская область,Болотнинский район,Кустово,д,0,55.9388888888889,84.2908333333333,75
Томская область,Томский район,Семилужки,с,1017,56.6175,85.3533333333333,27
Кемеровская область,Яйский район,Воскресенка,п,57,56.2563888888889,86.0386111111111,53
Томская область,Томский район,Головина,д,57,56.4088888888889,84.8622222222222,21
Томская область,Томский район,Плотниково,д,143,56.3863888888889,85.2461111111111,2
Кемеровская область,Юргинский,Верх-Тайменка,с,546,55.6591666666667,85.2025,80
