регион,район,город,тип,население,широта,долгота,расстояние
Кемеровская область,Прокопьевский,Школьный,п,545,54.0019444444444,86.8258333333333,21
Кемеровская область,Новокузнецкий,Муратово,п,58,53.6816666666667,87.2483333333333,28
Кемеровская область,Новокузнецкий,Берензас,п,20,53.6791666666667,87.5844444444444,48
Кемеровская область,Новокузнецкий,Ключи,п,31,53.5436111111111,87.1686111111111,35
Кемеровская область,Киселёвский,Октябринка,п,0,54.0358333333333,86.5691666666667,32
Кемеровская область,Новокузнецкий,Николаевка,п,278,53.4833333333333,87.1647222222222,41
Кемеровская область,Ленинск-Кузнецкий,Устюжанино,с,10,54.505,86.0352777777778,94
Алтайский край,Ельцовский,Чистая Грива,с,61,53.19,86.4636111111111,74
Кемеровская область,Новокузнецкий,Атаманово,с,2704,53.7811111111111,87.395,34
Кемеровская область,Гурьевский район,Шанда,д,208,54.3105555555556,86.0669444444444,76
Кемеровская область,Гурьевский район,Малая Салаирка,с,1265,54.3294444444444,85.9483333333333,83
Кемеровская область,Мысковский,Кольчезас,п,6,53.7977777777778,87.64,50
Кемеровская область,Новокузнецкий,Мостовая,д,52,53.4616666666667,86.7975,39
Кемеровская область,Беловский,Конево,с,319,54.5291666666667,86.2494444444444,89
Кемеровская область,Новокузнецкий,Бенжереп 2-й,с,167,53.2630555555556,86.7966666666667,61
Кемеровская область,Новокузнецкий,Загорский,п,2143,53.76,87.0086111111111,10
Кемеровская область,Калтанский,Калтан,г,20610,53.5211111111111,87.2772222222222,41
Алтайский край,Ельцовский,Кедровка,с,3,53.0513888888889,86.6552777777778,85
Кемеровская область,Новокузнецкий,Урнас,п,8,53.2394444444444,86.9208333333333,63
Кемеровская область,Таштагольский район,Мундыбаш,пгт,4706,53.2094444444444,87.2772222222222,72
Кемеровская область,Новокузнецкий,Макариха,с,8,54.2063888888889,87.8072222222222,75
Кемеровская область,Новокузнецкий,Белорус,п,6,53.4975,87.0752777777778,37
Кемеровская область,Осинниковский,Осинники,г,42454,53.5986111111111,87.3369444444444,38
Кемеровская область,Прокопьевский,Пушкино,п,121,54.1913888888889,86.7933333333333,42
Кемеровская область,Беловский,Пермяки,с,1572,54.465,86.9141666666667,72
Кемеровская область,Новокузнецкий,Красный Холм,п,4,53.6288888888889,86.6916666666667,23
Кемеровская область,Осинниковский,Тайжина,п,4794,53.6666666666667,87.4327777777778,39
Кемеровская область,Новокузнецкий,Успенка,п,330,54.0822222222222,87.22,37
Кемеровская область,Беловский,Каракан,с,1010,54.3869444444444,86.7688888888889,64
Кемеровская область,Беловский,Верховская,д,223,54.3647222222222,86.2119444444444,75
Кемеровская область,Калтанский,Сарбала,с,1011,53.4613888888889,87.3066666666667,48
Кемеровская область,Новокузнецкий,Шарово,с,1,53.2963888888889,86.8786111111111,57
Кемеровская область,Новокузнецкий,Подстрелка,п,9,53.3627777777778,87.2608333333333,56
Кемеровская область,Прокопьевский,Лукьяновка,д,67,54.2177777777778,86.7127777777778,46
Кемеровская область,Беловский,Грамотеино,д,950,54.5255555555556,86.3586111111111,86
Кемеровская область,Прокопьевский,Шарап,с,678,53.9116666666667,86.9027777777778,11
Кемеровская область,Новокузнецкий,Учул,д,35,53.6027777777778,87.0488888888889,25
Кемеровская область,Беловский,Убинский,п,597,54.4788888888889,86.3083333333333,83
Кемеровская область,Прокопьевский,Тайбинка,п,50,53.9308333333333,86.6244444444444,21
Кемеровская область,Новокузнецкий,Недорезово,п,661,54.0041666666667,87.1213888888889,26
Кемеровская область,Прокопьевский,Антоновка,д,44,54.2505555555556,86.6841666666667,50
Кемеровская область,Беловский,Старобачаты,п,4251,54.2366666666667,86.2025,64
Кемеровская область,Новокузнецкий,Ерунаково,п/ст,506,54.0005555555556,87.1908333333333,29
Кемеровская область,Прокопьевский,Томское,с,0,53.61,86.4919444444444,34
Кемеровская область,Прокопьевский,Котино,с,599,54.2458333333333,86.9172222222222,48
Кемеровская область,Беловский,Белово,г,61012,54.4222222222222,86.3036111111111,77
Кемеровская область,Новокузнецкий,Осман,п,20,53.2827777777778,87.1925,62
Кемеровская область,Прокопьевский,Центральный,п,79,53.9513888888889,86.5230555555556,28
Кемеровская область,Полысаевский,Полысаево,г,26012,54.6055555555556,86.2808333333333,96
Кемеровская область,Прокопьевский,Терентьевская,п/ст,695,54.0663888888889,86.8694444444444,28
