регион,район,город,тип,население,широта,долгота,расстояние
Красноярский край,Туруханский район,Сухая Тунгуска,п,2,65.1725,87.9291666666667,70
Красноярский край,Туруханский район,Костино,д,21,65.3222222222222,87.9783333333333,53
Красноярский край,Туруханский район,Ангутиха,п,0,66.1366666666667,87.2505555555556,48
Красноярский край,Туруханский район,Селиваниха,д,70,65.8647222222222,87.8736111111111,7
Красноярский край,Туруханский район,Старотуруханск,д,72,65.9147222222222,87.5758333333333,20
Красноярский край,Туруханский район,Фарково,с,278,65.7186111111111,86.98,44
Красноярский край,Туруханский район,Туруханск,с,4662,65.7930555555556,87.9591666666667,1
Красноярский край,Туруханский район,Курейка,п,78,66.4655555555556,87.1702777777778,81
Красноярский край,Туруханский район,Мадуйка,п,45,66.6488888888889,88.4272222222222,97
Красноярский край,Туруханский район,Горошиха,д,106,66.3941666666667,87.5066666666667,68
