регион,район,город,тип,население,широта,долгота,расстояние
Республика Крым,Алушта,Пушкино,с,273,44.5958333333333,34.3408333333333,61
Республика Крым,Сакский район,Орехово,с,3049,45.1311111111111,33.6327777777778,49
Республика Крым,Сакский район,Добрушино,с,1213,45.3755555555556,33.3625,77
Севастополь,Тыловое,Тыловое,с,470,44.4425,33.7338888888889,30
Республика Крым,Белогорский район,Пчелиное,с,12,44.935,34.5441666666667,81
Республика Крым,Симферопольский район,Мазанка,с,2564,45.0038888888889,34.2552777777778,64
Республика Крым,Сакский район,Чеботарка,с,202,45.1141666666667,33.6591666666667,47
Республика Крым,Бахчисарайский район,Отрадное,с,826,44.8608333333333,33.7330555555556,22
Республика Крым,Бахчисарайский район,Глубокий Яр,с,592,44.7919444444444,33.9147222222222,29
Республика Крым,Красногвардейский район,Рогово,с,230,45.3238888888889,33.9680555555556,76
Республика Крым,Красногвардейский район,Новозуевка,с,501,45.2397222222222,34.1530555555556,76
Республика Крым,Сакский район,Крымское,с,1822,45.1872222222222,33.8002777777778,57
Севастополь,Черноречье,Черноречье,с,281,44.5433333333333,33.6797222222222,18
Республика Крым,Первомайский район,Панфиловка,с,135,45.4986111111111,33.7344444444444,90
Республика Крым,Белогорский район,Ароматное,с,1772,45.0363888888889,34.3997222222222,75
Республика Крым,Симферопольский район,Соловьевка,с,66,44.9536111111111,34.2955555555556,64
Республика Крым,Алушта,Запрудное,с,788,44.5941666666667,34.3191666666667,60
Республика Крым,Белогорский район,Вишневое,с,249,45.0277777777778,34.3361111111111,70
Севастополь,Павловка,Павловка,с,437,44.4472222222222,33.7880555555556,32
Республика Крым,Симферополь,Аграрное,пгт,3754,45.0155555555556,34.0563888888889,52
Республика Крым,Евпатория,Евпатория,г,119788,45.1905555555556,33.3669444444444,57
Республика Крым,Красногвардейский район,Новоникольское,с,355,45.3902777777778,34.3888888888889,100
Республика Крым,Белогорский район,Мельничное,с,746,45.1997222222222,34.42,87
Республика Крым,Ялта,Даниловка,п,454,44.5227777777778,34.2575,57
Республика Крым,Первомайский район,Черново,с,843,45.5113888888889,33.9347222222222,95
Севастополь,Пироговка,Пироговка,с,456,44.6841666666667,33.7277777777778,12
Республика Крым,Симферополь,Аэрофлотский,пгт,1768,45.0194444444444,34.0,49
Республика Крым,Белогорский район,Курортное,с,431,44.9963888888889,34.3625,70
Республика Крым,Сакский район,Куликовка,с,421,45.2180555555556,33.6119444444444,58
Республика Крым,Сакский район,Трудовое,с,1423,45.2375,33.7597222222222,62
Республика Крым,Бахчисарайский район,Тополи,с,609,44.8416666666667,33.9944444444444,37
Республика Крым,Сакский район,Властное,с,3,45.3944444444444,33.2597222222222,81
Республика Крым,Сакский район,Митяево,с,1915,45.2338888888889,33.6991666666667,61
Республика Крым,Раздольненский район,Новоселовское,пгт,3179,45.4419444444444,33.5988888888889,83
Республика Крым,Симферопольский район,Широкое,с,1491,45.2011111111111,34.0508333333333,67
