регион,район,город,тип,население,широта,долгота,расстояние
Республика Крым,Алушта,Пушкино,с,273,44.5958333333333,34.3408333333333,58
Республика Крым,Сакский район,Орехово,с,3049,45.1311111111111,33.6327777777778,28
Республика Крым,Сакский район,Добрушино,с,1213,45.3755555555556,33.3625,59
Республика Крым,Джанкойский район,Новокрымское,с,1081,45.7797222222222,34.1552777777778,82
Севастополь,Тыловое,Тыловое,с,470,44.4425,33.7338888888889,70
Республика Крым,Белогорский район,Пчелиное,с,12,44.935,34.5441666666667,46
Республика Крым,Нижнегорский район,Владиславовка,с,839,45.4691666666667,34.5955555555556,67
Республика Крым,Алушта,Рыбачье,с,1414,44.7730555555556,34.5963888888889,58
Республика Крым,Симферопольский район,Мазанка,с,2564,45.0038888888889,34.2552777777778,22
Республика Крым,Нижнегорский район,Стрепетово,с,491,45.2725,34.6108333333333,55
Республика Крым,Сакский район,Чеботарка,с,202,45.1141666666667,33.6591666666667,25
Республика Крым,Джанкойский район,Новофедоровка,с,165,45.6677777777778,34.64,86
Республика Крым,Джанкойский район,Новосельцево,с,433,45.5858333333333,34.6719444444444,80
Республика Крым,Бахчисарайский район,Отрадное,с,826,44.8608333333333,33.7330555555556,28
Республика Крым,Раздольненский район,Ветрянка,с,104,45.6597222222222,33.5741666666667,74
Республика Крым,Красноперекопский район,Источное,с,723,45.9008333333333,34.0194444444444,94
Республика Крым,Бахчисарайский район,Глубокий Яр,с,592,44.7919444444444,33.9147222222222,29
Республика Крым,Красногвардейский район,Рогово,с,230,45.3238888888889,33.9680555555556,30
Республика Крым,Первомайский район,Правда,с,1474,45.7794444444444,33.8475,81
Республика Крым,Нижнегорский район,Уваровка,с,1136,45.4458333333333,34.7875,77
Республика Крым,Советский район,Красногвардейское,с,1441,45.1816666666667,34.9472222222222,77
Республика Крым,Черноморский район,Владимировка,с,262,45.6519444444444,33.0252777777778,99
Республика Крым,Белогорский район,Ульяновка,с,428,45.0016666666667,34.6538888888889,53
Республика Крым,Белогорский район,Радостное,с,95,44.9966666666667,34.8438888888889,68
Республика Крым,Красногвардейский район,Новозуевка,с,501,45.2397222222222,34.1530555555556,25
Республика Крым,Первомайский район,Фрунзе,с,492,45.6452777777778,33.8644444444444,66
Республика Крым,Сакский район,Крымское,с,1822,45.1872222222222,33.8002777777778,20
Севастополь,Черноречье,Черноречье,с,281,44.5433333333333,33.6797222222222,61
Республика Крым,Нижнегорский район,Желябовка,с,2669,45.3991666666667,34.7566666666667,72
Республика Крым,Первомайский район,Панфиловка,с,135,45.4986111111111,33.7344444444444,53
Республика Крым,Раздольненский район,Портовое,пгт,67,45.8488888888889,33.4855555555556,96
Республика Крым,Белогорский район,Ароматное,с,1772,45.0363888888889,34.3997222222222,33
Республика Крым,Симферопольский район,Соловьевка,с,66,44.9536111111111,34.2955555555556,27
Республика Крым,Джанкойский район,Островское,с,126,45.77,34.4269444444444,87
Республика Крым,Белогорский район,Северное,с,100,45.1602777777778,34.7305555555556,60
Республика Крым,Красногвардейский район,Коммунары,с,598,45.5497222222222,34.2227777777778,58
Республика Крым,Алушта,Запрудное,с,788,44.5941666666667,34.3191666666667,57
Республика Крым,Белогорский район,Вишневое,с,249,45.0277777777778,34.3361111111111,28
Республика Крым,Нижнегорский район,Зоркино,с,1099,45.5475,34.7130555555556,79
Республика Крым,Раздольненский район,Серебрянка,с,833,45.6380555555556,33.4997222222222,74
Севастополь,Павловка,Павловка,с,437,44.4472222222222,33.7880555555556,68
Республика Крым,Красноперекопский район,Танковое,с,229,45.9486111111111,33.8230555555556,100
Республика Крым,Первомайский район,Крыловка,с,171,45.7019444444444,33.6547222222222,76
Республика Крым,Джанкойский район,Федоровка,с,15,45.5825,34.6086111111111,77
Республика Крым,Симферополь,Аграрное,пгт,3754,45.0155555555556,34.0563888888889,7
Республика Крым,Евпатория,Евпатория,г,119788,45.1905555555556,33.3669444444444,50
Республика Крым,Красногвардейский район,Новоникольское,с,355,45.3902777777778,34.3888888888889,49
Республика Крым,Белогорский район,Мельничное,с,746,45.1997222222222,34.42,38
Республика Крым,Ялта,Даниловка,п,454,44.5227777777778,34.2575,62
Республика Крым,Нижнегорский район,Цветущее,с,280,45.4958333333333,34.8722222222222,86
Республика Крым,Нижнегорский район,Кукурузное,с,66,45.3719444444444,34.6416666666667,63
Республика Крым,Нижнегорский район,Изобильное,с,990,45.5705555555556,34.9416666666667,95
Республика Крым,Первомайский район,Черново,с,843,45.5113888888889,33.9347222222222,51
Республика Крым,Нижнегорский район,Великоселье,с,346,45.6219444444444,34.7416666666667,87
Севастополь,Пироговка,Пироговка,с,456,44.6841666666667,33.7277777777778,45
Республика Крым,Джанкойский район,Пахаревка,с,1161,45.8347222222222,34.1641666666667,88
Республика Крым,Судак,Ворон,с,178,44.8916666666667,34.82,69
Республика Крым,Симферополь,Аэрофлотский,пгт,1768,45.0194444444444,34.0,4
Республика Крым,Белогорский район,Курортное,с,431,44.9963888888889,34.3625,31
Республика Крым,Джанкойский район,Перепелкино,с,461,45.7416666666667,34.5633333333333,89
Республика Крым,Сакский район,Куликовка,с,421,45.2180555555556,33.6119444444444,33
Республика Крым,Белогорский район,Кривцово,с,8,45.0702777777778,34.8572222222222,69
Республика Крым,Сакский район,Трудовое,с,1423,45.2375,33.7597222222222,26
Республика Крым,Черноморский район,Далекое,с,782,45.6591666666667,33.0791666666667,97
