регион,район,город,тип,население,широта,долгота,расстояние
Краснодарский край,Крымский район,Верхняя Ставрополька,х,110,44.8719444444444,38.0775,59
Краснодарский край,Крымский район,Ленинский,х,65,45.0744444444444,37.8491666666667,40
Краснодарский край,Город-курорт Анапа,Тарусин,х,383,44.8977777777778,37.4491666666667,14
Краснодарский край,Крымский район,Садовый,х,791,45.0144444444444,37.755,32
Краснодарский край,Город-курорт Анапа,Уташ,х,322,45.0991666666667,37.3436111111111,10
Краснодарский край,Славянский район,Кирпичный,п,54,45.2427777777778,38.0391666666667,60
Краснодарский край,Крымский район,Подгорный,х,0,44.9572222222222,37.7938888888889,35
Краснодарский край,Крымский район,Майоровский,х,234,44.9302777777778,38.1072222222222,60
Краснодарский край,Город-курорт Анапа,Виноградный,п,3421,45.0566666666667,37.3205555555556,6
Краснодарский край,Славянский район,Петровская,ст-ца,12032,45.4302777777778,37.9608333333333,67
Краснодарский край,Город-курорт Геленджик,Виноградное,с,241,44.6402777777778,38.0038888888889,65
Краснодарский край,Город-герой Новороссийск,Раевская,ст-ца,13270,44.8363888888889,37.5497222222222,24
Краснодарский край,Город-курорт Анапа,Здоровье,снт,654,44.9711111111111,37.4658333333333,9
Краснодарский край,Крымский район,Калиновка Первая,х,0,45.0772222222222,37.8675,41
Республика Крым,Ленинский район,Войково,с,4284,45.3847222222222,36.4347222222222,83
Краснодарский край,Славянский район,Забойский,п,2894,45.5761111111111,38.0972222222222,86
Краснодарский край,Красноармейский район,Крикуна,х,675,45.2655555555556,38.2144444444444,74
Краснодарский край,Город-курорт Анапа,Восход,дп,857,44.8669444444444,37.3772222222222,15
Краснодарский край,Абинский район,Новый,п,888,44.725,38.3305555555556,83
Краснодарский край,Красноармейский район,Крижановский,х,413,45.2491666666667,38.1694444444444,70
Краснодарский край,Крымский район,Кубанская Колонка,х,350,45.0875,37.6752777777778,27
Краснодарский край,Темрюкский район,Вышестеблиевская,ст-ца,4520,45.195,37.0005555555556,34
Краснодарский край,Темрюкский район,Запорожская,ст-ца,2233,45.3786111111111,36.8683333333333,56
Краснодарский край,Город-курорт Анапа,Нижний Ханчакрак,х,60,45.1002777777778,37.3836111111111,11
Краснодарский край,Славянский район,Троицкий,х,271,45.1452777777778,38.1405555555556,64
Краснодарский край,Крымский район,Красный,х,650,44.9894444444444,38.0494444444444,55
Краснодарский край,Город-курорт Анапа,Большой Утриш,с,137,44.7602777777778,37.3872222222222,27
Краснодарский край,Славянский район,Беликов,х,827,45.485,37.9677777777778,72
Краснодарский край,Темрюкский район,Виноградный,п,1528,45.1952777777778,36.9019444444444,41
Краснодарский край,Красноармейский район,Колос,п,597,45.1511111111111,38.3472222222222,80
Республика Крым,Ленинский район,Костырино,с,45,45.1511111111111,36.3733333333333,78
Краснодарский край,Темрюкский район,Кучугуры,п,2646,45.4058333333333,36.9563888888889,54
Краснодарский край,Крымский район,Даманка,х,1325,44.9705555555556,37.7888888888889,35
Краснодарский край,Темрюкский район,Таманский,п,2021,45.1455555555556,36.7841666666667,47
Краснодарский край,Темрюкский район,Светлый Путь Ленина,п,2537,45.1983333333333,37.6591666666667,32
Краснодарский край,Темрюкский район,Тамань,ст-ца,9908,45.2086111111111,36.7138888888889,54
Краснодарский край,Абинский район,Бережной,х,116,44.9077777777778,38.1291666666667,62
Краснодарский край,Крымский район,Южный,п,860,45.0263888888889,38.0780555555556,57
Краснодарский край,Город-курорт Геленджик,Широкая Щель,х,119,44.5686111111111,38.1741666666667,81
Краснодарский край,Темрюкский район,Волна,п,752,45.1275,36.7122222222222,51
Краснодарский край,Город-курорт Анапа,Большой Разнокол,х,526,45.1480555555556,37.4613888888889,18
Краснодарский край,Темрюкский район,Фонталовская,ст-ца,1294,45.3641666666667,36.935,51
Краснодарский край,Крымский район,Киевское,с,6518,45.0380555555556,37.8897222222222,42
Краснодарский край,Город-курорт Анапа,Прикубанский,х,16,45.1886111111111,37.4697222222222,22
Краснодарский край,Абинский район,Садовый,х,48,45.0408333333333,38.2355555555556,70
Краснодарский край,Темрюкский район,Курчанская,ст-ца,6486,45.2261111111111,37.5552777777778,29
Краснодарский край,Славянский район,Колесников,х,114,45.1711111111111,38.195,69
Краснодарский край,Славянский район,Прикубанский,х,1824,45.1636111111111,38.0833333333333,60
Краснодарский край,Красноармейский район,Молдаванский,х,272,45.1702777777778,38.3208333333333,78
Краснодарский край,Крымский район,Свет,х,82,45.0602777777778,37.655,25
Краснодарский край,Славянский район,Погорелово,с,592,45.4702777777778,38.0052777777778,73
Краснодарский край,Город-курорт Анапа,Кубань,снт,33,44.995,37.3272222222222,1
Краснодарский край,Крымский район,Школьный,х,1165,45.0325,37.6169444444444,21
Краснодарский край,Крымский район,Милютинский,х,48,44.9947222222222,37.8086111111111,36
Краснодарский край,Город-курорт Анапа,Варваровка,с,2470,44.8413888888889,37.3833333333333,18
Краснодарский край,Город-курорт Анапа,Ветерок,снт,49,44.9480555555556,37.3483333333333,6
Краснодарский край,Город-курорт Анапа,Анапа,г,81447,44.895,37.3163888888889,12
Краснодарский край,Темрюкский район,Ордынский,п,0,45.3366666666667,37.6627777777778,44
Краснодарский край,Крымский район,Неберджаевская,ст-ца,1382,44.8322222222222,37.9044444444444,47
Краснодарский край,Славянский район,Сербин,х,1021,45.1777777777778,38.1966666666667,69
Краснодарский край,Славянский район,Бараниковский,х,2699,45.3405555555556,38.0183333333333,64
Краснодарский край,Город-герой Новороссийск,Лесничество Абрау-Дюрсо,п,276,44.7161111111111,37.5555555555556,35
Краснодарский край,Крымский район,Красный,х,88,44.9825,37.8463888888889,39
Краснодарский край,Крымский район,Анапский,х,340,45.0763888888889,37.7602777777778,33
Краснодарский край,Абинский район,Светлогорское,с,701,44.8394444444444,38.2155555555556,70
Краснодарский край,Абинский район,Багдасаров,х,16,45.1530555555556,38.3311111111111,79
Краснодарский край,Город-курорт Анапа,Ягодка,снт,20,45.0141666666667,37.3805555555556,2
Краснодарский край,Красноармейский район,Коржевский,х,321,45.2183333333333,38.1897222222222,70
