регион,район,город,тип,население,широта,долгота,расстояние
Краснодарский край,Абинский район,Аушед,х,38,45.0511111111111,38.3966666666667,60
Краснодарский край,Крымский район,Верхняя Ставрополька,х,110,44.8719444444444,38.0775,32
Краснодарский край,Динской район,Осечки,х,249,45.2388888888889,38.8697222222222,99
Краснодарский край,Крымский район,Ленинский,х,65,45.0744444444444,37.8491666666667,56
Краснодарский край,Город-курорт Анапа,Тарусин,х,383,44.8977777777778,37.4491666666667,56
Краснодарский край,Крымский район,Садовый,х,791,45.0144444444444,37.755,52
Краснодарский край,Красноармейский район,Старонижестеблиевская,ст-ца,10230,45.3794444444444,38.4394444444444,94
Краснодарский край,Абинский район,Сосновая Роща,п,22,44.7219444444444,38.355,31
Краснодарский край,Абинский район,Кравченко,х,40,44.9305555555556,38.4955555555556,54
Краснодарский край,Туапсинский район,Джубга,пгт,5621,44.3225,38.7044444444444,62
Краснодарский край,Северский район,Афипский,пгт,22155,44.9033333333333,38.8411111111111,74
Краснодарский край,Город-курорт Анапа,Уташ,х,322,45.0991666666667,37.3436111111111,78
Краснодарский край,Славянский район,Кирпичный,п,54,45.2427777777778,38.0391666666667,73
Краснодарский край,Крымский район,Подгорный,х,0,44.9572222222222,37.7938888888889,45
Республика Адыгея,Тахтамукайский район,Кубаньстрой,п,401,44.9955555555556,38.7916666666667,76
Краснодарский край,Крымский район,Майоровский,х,234,44.9302777777778,38.1072222222222,39
Краснодарский край,Город-курорт Анапа,Виноградный,п,3421,45.0566666666667,37.3205555555556,76
Краснодарский край,Туапсинский район,пансионата Небуг,п,20,44.1711111111111,39.0019444444444,91
Краснодарский край,Славянский район,Петровская,ст-ца,12032,45.4302777777778,37.9608333333333,94
Краснодарский край,Город-курорт Геленджик,Виноградное,с,241,44.6402777777778,38.0038888888889,6
Краснодарский край,Город-герой Новороссийск,Раевская,ст-ца,13270,44.8363888888889,37.5497222222222,46
Краснодарский край,Город-курорт Анапа,Здоровье,снт,654,44.9711111111111,37.4658333333333,61
Краснодарский край,Крымский район,Калиновка Первая,х,0,45.0772222222222,37.8675,56
