регион,район,город,тип,население,широта,долгота,расстояние
Краснодарский край,Кореновский район,Пролетарский,х,1483,45.5083333333333,39.2747222222222,53
Краснодарский край,Абинский район,Аушед,х,38,45.0511111111111,38.3966666666667,60
Краснодарский край,Туапсинский район,Агуй-Шапсуг,аул,2223,44.1838888888889,39.0683333333333,94
Краснодарский край,Динской район,Осечки,х,249,45.2388888888889,38.8697222222222,32
Краснодарский край,Тбилисский район,Чернобабов,х,299,45.5483333333333,40.1030555555556,92
Краснодарский край,Усть-Лабинский район,Потаенный,х,0,45.3566666666667,40.0458333333333,77
Краснодарский край,Выселковский район,Бузиновская,ст-ца,1386,45.5963888888889,39.8008333333333,79
Краснодарский край,Красноармейский район,Старонижестеблиевская,ст-ца,10230,45.3794444444444,38.4394444444444,68
Республика Адыгея,Теучежский район,Ассоколай,аул,1466,44.8447222222222,39.4675,31
Краснодарский край,Абинский район,Сосновая Роща,п,22,44.7219444444444,38.355,73
Краснодарский край,Абинский район,Кравченко,х,40,44.9305555555556,38.4955555555556,54
Краснодарский край,Город Краснодар,Пригородный,п,6453,45.0738888888889,39.1936111111111,4
Краснодарский край,Туапсинский район,Джубга,пгт,5621,44.3225,38.7044444444444,87
Краснодарский край,Северский район,Афипский,пгт,22155,44.9033333333333,38.8411111111111,29
Краснодарский край,Апшеронский район,Цуревский,х,324,44.4111111111111,39.7855555555556,84
Краснодарский край,Кореновский район,Малеванный,х,87,45.5366666666667,39.4466666666667,59
Краснодарский край,Город Краснодар,Калинино,пгт,22559,45.0902777777778,39.0172222222222,13
Краснодарский край,Кореновский район,Раздольный,п,379,45.7166666666667,39.4858333333333,79
Краснодарский край,Усть-Лабинский район,Новоселовка,х,147,45.2675,39.9358333333333,65
Республика Адыгея,Тахтамукайский район,Кубаньстрой,п,401,44.9955555555556,38.7916666666667,30
Краснодарский край,Брюховецкий район,Переясловская,ст-ца,7929,45.8419444444444,39.0236111111111,90
Краснодарский край,Туапсинский район,пансионата Небуг,п,20,44.1711111111111,39.0019444444444,96
Краснодарский край,Туапсинский район,Папоротный,х,73,44.235,39.3875,90
