регион,район,город,тип,население,широта,долгота,расстояние
Республика Северная Осетия - Алания,Моздокский,Ново-Георгиевское,с,765,43.7625,44.7030555555556,90
Республика Дагестан,Кизлярский район,Первокизлярское,с,438,43.8844444444444,46.68,96
Республика Дагестан,Бабаюртовский район,Советское,с,1057,43.5991666666667,46.695,83
Республика Ингушетия,Малгобекский район,Нижние Ачалуки,с,5431,43.4047222222222,44.7663888888889,75
Чеченская республика,Веденский муниципальный район,Ихарой,с,8,42.7386111111111,46.0852777777778,78
Республика Дагестан,Хасавюртовский район,Сивух,с,4029,43.4080555555556,46.6027777777778,73
Республика Дагестан,Кизлярский район,Опытно-мелиоративная станция,с,129,43.8436111111111,46.6694444444444,93
Чеченская республика,Шалинский муниципальный район,Чири-Юрт,п,6532,43.0869444444444,45.7436111111111,33
Чеченская республика,Ножай-Юртовский муниципальный район,Бас-Гордали,с,168,43.0388888888889,46.21,56
Чеченская республика,Шалинский муниципальный район,Дуба-Юрт,с,7135,43.0397222222222,45.7291666666667,38
Республика Дагестан,Хасавюрт,Северный,п,3741,43.2719444444444,46.5972222222222,73
Республика Дагестан,Ногайский район,Карагас,с,1772,44.2519444444444,45.3819444444444,99
Республика Дагестан,Хасавюртовский район,Первомайское,с,1419,43.4375,46.3444444444444,52
Чеченская республика,Шелковской муниципальный район,Рунное,п,38,43.9202777777778,46.0430555555556,65
Чеченская республика,Ножай-Юртовский муниципальный район,Лем-Корц,с,213,42.9463888888889,46.3144444444444,70
Чеченская республика,Ножай-Юртовский муниципальный район,Бетти-Мохк,с,1129,43.1130555555556,46.3366666666667,60
Республика Дагестан,Ботлихский район,Кванхидатли,с,901,42.6580555555556,46.2719444444444,93
Республика Дагестан,Гумбетовский район,Ингиши,с,867,42.7747222222222,46.5416666666667,96
Республика Дагестан,Хасавюртовский район,Садовая,с,855,43.2877777777778,46.6594444444444,78
Чеченская республика,Итум-Калинский район муниципальный район,Эзихо,с,0,42.7666666666667,45.5016666666667,70
Республика Дагестан,Ботлихский район,Муни,с,3220,42.6797222222222,46.3088888888889,93
Чеченская республика,Урус-Мартановский муниципальный район,Шалажи,с,5313,43.1080555555556,45.3702777777778,41
Чеченская республика,Ачхой-Мартановский муниципальный район,Шаами-Юрт,с,4841,43.2275,45.3875,30
Республика Дагестан,Казбековский район,Дучи,с,0,43.1652777777778,46.4841666666667,68
Республика Дагестан,Хасавюрт,Мичурина,п,4517,43.2516666666667,46.5622222222222,71
Чеченская республика,Ножай-Юртовский муниципальный район,Ножай-Юрт,с,8225,43.0963888888889,46.3769444444444,63
Республика Дагестан,Ногайский район,Эдиге,с,446,44.0741666666667,46.3555555555556,92
Ставропольский край,Курский район,Песчаный,п,73,44.1430555555556,45.425,86
Чеченская республика,Ножай-Юртовский муниципальный район,Исай-Юрт,с,246,43.0733333333333,46.2797222222222,58
Республика Дагестан,Ногайский район,Кумли,с,1201,43.9905555555556,46.0641666666667,73
Республика Ингушетия,Назрановский район,Гамурзиевский округ,тер,12175,43.2333333333333,44.8002777777778,74
Республика Дагестан,Хасавюрт,Бамматбекюрт,п,3674,43.2697222222222,46.6175,75
Чеченская республика,Веденский муниципальный район,Ца-Ведено,с,1516,43.0211111111111,46.0552777777778,49
Чеченская республика,Веденский муниципальный район,Кулинхой,с,9,42.7344444444444,46.0766666666667,78
Чеченская республика,Наурский муниципальный район,Юбилейное,с,854,43.5961111111111,45.6405555555556,23
Чеченская республика,Ножай-Юртовский муниципальный район,Бильты,с,359,43.0566666666667,46.3480555555556,64
Чеченская республика,Ножай-Юртовский муниципальный район,Гендерген,с,791,43.0247222222222,46.3341666666667,65
Республика Северная Осетия - Алания,Пригородный,Куртат,с,2091,43.0925,44.7455555555556,84
Республика Дагестан,Хасавюртовский район,Октябрьское,с,2246,43.4847222222222,46.4366666666667,60
Чеченская республика,Веденский муниципальный район,Ригахой,с,0,42.8166666666667,46.0288888888889,68
Республика Дагестан,Новолакский район,Барчхойотар,с,0,43.1597222222222,46.4808333333333,68
Чеченская республика,Веденский муниципальный район,Тунжи-Аул,с,0,42.7275,46.0488888888889,78
Чеченская республика,Веденский муниципальный район,Юкарчой,д,0,42.9830555555556,46.1944444444444,60
Республика Дагестан,Новолакский район,Новокули,с,2783,43.1636111111111,46.5225,71
Чеченская республика,Итум-Калинский район муниципальный район,Ушкалой,с,536,42.7808333333333,45.6086111111111,67
Республика Ингушетия,Сунженский район,Троицкое,с/п,17884,43.3066666666667,44.9891666666667,58
Ставропольский край,Курский район,Мирный,п,1900,44.0819444444444,44.9563888888889,97
Чеченская республика,Шаройский муниципальный район,Кири,с,234,42.6738888888889,45.9183333333333,81
Чеченская республика,Ножай-Юртовский муниципальный район,Ишхой-Хутор,с,231,43.0772222222222,46.3580555555556,63
Чеченская республика,Ножай-Юртовский муниципальный район,Чурч-Ирзу,с,1288,43.0811111111111,46.3961111111111,66
Чеченская республика,Наурский муниципальный район,Мекенская,ст-ца,4127,43.6658333333333,45.3825,40
Чеченская республика,Грозненский муниципальный район,Радужное,с,2800,43.4027777777778,45.39,25
Чеченская республика,Шатойский муниципальный район,Тумсой,с,381,42.8344444444444,45.6302777777778,61
Ставропольский край,Курский район,Советский,х,0,43.7755555555556,44.9638888888889,73
Чеченская республика,Грозненский муниципальный район,Долинский,п,1576,43.4044444444444,45.3822222222222,25
Чеченская республика,Наурский муниципальный район,Клинков,х,134,43.7527777777778,45.4441666666667,45
Республика Дагестан,Хасавюрт,Винсовхозный,п,3731,43.2297222222222,46.6188888888889,76
Республика Дагестан,Гумбетовский район,Ново-Аргвани,с,1463,42.7816666666667,46.6036111111111,99
Чеченская республика,Надтеречный муниципальный район,Горагорский,п,5659,43.5013888888889,45.0836111111111,51
Чеченская республика,Грозненский муниципальный район,Старые-Атаги,с,12494,43.1227777777778,45.7433333333333,29
Республика Дагестан,Казбековский район,Калининаул,с,5231,43.0719444444444,46.5663888888889,78
Республика Дагестан,Новолакский район,Тухчар,с,5109,43.2219444444444,46.4136111111111,60
Чеченская республика,Курчалоевский муниципальный район,Эникали,с,1221,43.0736111111111,46.1505555555556,50
Чеченская республика,Веденский муниципальный район,Курчали,с,0,43.0108333333333,46.1919444444444,57
Чеченская республика,Шатойский муниципальный район,Дех-Йисте,с,160,42.8366666666667,45.7358333333333,61
Чеченская республика,Шелковской муниципальный район,Песчаное,п,47,43.9080555555556,45.8055555555556,58
Республика Дагестан,Хасавюртовский район,Ботаюрт,с,4069,43.3147222222222,46.6811111111111,79
Республика Дагестан,Кизлярский район,Косякино,с,1566,43.9022222222222,46.6805555555556,97
Республика Дагестан,Хасавюртовский район,Цияб Ичичали,с,2467,43.3858333333333,46.6186111111111,74
Республика Дагестан,Тарумовский район,Куйбышев,х,105,44.0247222222222,46.5116666666667,96
Чеченская республика,Веденский муниципальный район,Хой,с,58,42.7533333333333,46.1319444444444,78
Чеченская республика,Урус-Мартановский муниципальный район,Гой-чу,с,5475,43.0616666666667,45.6130555555556,36
Чеченская республика,Шатойский муниципальный район,Горгачи,с,150,42.8558333333333,45.6722222222222,59
Чеченская республика,Гудермесский муниципальный район,Н.Беной,пгт,1735,43.315,46.1347222222222,36
Республика Ингушетия,Сунженский район,Чемульга,с,1120,43.1894444444444,45.1186111111111,52
Чеченская республика,Наурский муниципальный район,Ульяновское,с,1229,43.63,45.6027777777778,27
Чеченская республика,Курчалоевский муниципальный район,Гелдаган,с,13876,43.2141666666667,46.0394444444444,33
Республика Северная Осетия - Алания,Пригородный,Чермен,с,6066,43.1516666666667,44.7113888888889,84
Чеченская республика,Итум-Калинский район муниципальный район,Хозачу,с,0,42.6227777777778,45.4805555555556,86
Республика Дагестан,Цунтинский район,Караозек,с,0,43.6875,46.6633333333333,84
Ставропольский край,Курский район,Стодеревская,ст-ца,1700,43.7222222222222,44.835,79
Республика Ингушетия,Малгобекский район,Новый Редант,с/п,4472,43.4738888888889,44.8052777777778,73
Чеченская республика,Веденский муниципальный район,Тазен-Кала,с,748,42.9822222222222,46.1783333333333,59
Чеченская республика,Грозненский муниципальный район,Комсомольское,с,8080,43.2697222222222,45.8311111111111,16
Республика Северная Осетия - Алания,Пригородный,Дачное,с,2717,43.0847222222222,44.7358333333333,85
Чеченская республика,Курчалоевский муниципальный район,Цоци-Юрт,с,20629,43.2383333333333,45.9986111111111,29
Республика Дагестан,Хасавюртовский район,Нурадилово,с,4440,43.285,46.4555555555556,62
Чеченская республика,Ножай-Юртовский муниципальный район,Бешил-Ирзу,с,311,43.1244444444444,46.305,57
Республика Ингушетия,Сунженский район,Даттых,с,285,43.0308333333333,45.1002777777778,62
Ставропольский край,Курский район,Галюгаевская,ст-ца,2800,43.6972222222222,44.9352777777778,70
Чеченская республика,Шелковской муниципальный район,Воскресеновское,с,956,43.5552777777778,46.3858333333333,58
Республика Дагестан,Ботлихский район,Рахата,с,2972,42.6891666666667,46.1469444444444,85
Чеченская республика,Наурский муниципальный район,Козлов,х,26,43.7244444444444,45.5555555555556,39
Чеченская республика,Ножай-Юртовский муниципальный район,Новый Замай-Юрт,с,181,43.1338888888889,46.3580555555556,60
Республика Ингушетия,Малгобекский район,Южное,с,1301,43.5172222222222,44.7497222222222,78
Чеченская республика,Гудермесский муниципальный район,Нижний-Нойбер,с,8275,43.2661111111111,46.2788888888889,48
Чеченская республика,Веденский муниципальный район,Первомайское,с,753,43.0386111111111,46.0708333333333,49
Чеченская республика,Урус-Мартановский муниципальный район,Гехи-Чу,с,2601,43.1088888888889,45.4138888888889,38
Республика Дагестан,Гумбетовский район,Аргвани,с,796,42.81,46.5794444444444,96
Чеченская республика,Веденский муниципальный район,Кезеной,с,8,42.7597222222222,46.1113888888889,77
Республика Дагестан,Тарумовский район,Кузнецовка,х,468,43.9016666666667,46.6330555555556,94
Республика Дагестан,Хасавюртовский район,Советское,с,1868,43.41,46.3452777777778,52
Чеченская республика,Ачхой-Мартановский муниципальный район,Валерик,с,9483,43.1786111111111,45.4072222222222,33
Республика Дагестан,Ботлихский район,Кадари,с,9,42.6127777777778,46.2252777777778,96
Чеченская республика,Веденский муниципальный район,Гуни,с,971,43.0508333333333,46.1008333333333,49
Республика Дагестан,Бабаюртовский район,Уцми-Юрт,с,4237,43.5347222222222,46.4686111111111,64
Чеченская республика,Наурский муниципальный район,Майорский,х,60,43.8358333333333,45.4913888888889,52
Республика Дагестан,Кизлярский район,Рыбалко,с,1959,43.7827777777778,46.6558333333333,88
Чеченская республика,Шелковской муниципальный район,Червленная-Узловая,ст-ца,1387,43.4477777777778,45.9777777777778,23
Республика Дагестан,Хасавюртовский район,Карланюрт,ж/д_ст,0,43.2308333333333,46.6447222222222,78
Чеченская республика,Шелковской муниципальный район,Червленная,ст-ца,10866,43.5027777777778,45.8855555555556,19
Республика Дагестан,Гумбетовский район,Ичичали,с,160,42.7325,46.4052777777778,92
Чеченская республика,Грозненский муниципальный район,Центора-Юрт,с,3256,43.3188888888889,45.8302777777778,13
Чеченская республика,Ножай-Юртовский муниципальный район,Балансу,с,1626,43.1213888888889,46.3883333333333,63
Чеченская республика,Грозненский муниципальный район,Беркат-Юрт,с,3868,43.3280555555556,45.8233333333333,12
Республика Дагестан,Хасавюртовский район,Кемсиюрт,с,570,43.4327777777778,46.4347222222222,59
Чеченская республика,Ножай-Юртовский муниципальный район,Чечель-Хи,с,324,43.0286111111111,46.4261111111111,71
Республика Дагестан,Хасавюрт,Садовый,п,3822,43.2291666666667,46.5775,73
Республика Дагестан,Ботлихский район,Ботлих 2,с,2035,42.6711111111111,46.2077777777778,89
Чеченская республика,Ножай-Юртовский муниципальный район,Пачу,с,342,43.0038888888889,46.3088888888889,65
Чеченская республика,Шатойский муниципальный район,Асланбек-Шерипова,с,1488,42.8413888888889,45.755,60
Республика Дагестан,Ахвахский район,Маштада,с,268,42.6136111111111,46.3147222222222,99
Республика Дагестан,Новолакский район,Новолакское,с,7254,43.1205555555556,46.4825,70
Чеченская республика,Веденский муниципальный район,Ноже,х,0,42.9761111111111,46.1608333333333,59
Чеченская республика,Ножай-Юртовский муниципальный район,Галайты,с,2354,43.1711111111111,46.3852777777778,60
Республика Дагестан,Тарумовский район,Ново-Георгиевка,с,2738,43.9311111111111,46.6344444444444,96
Республика Дагестан,Ботлихский район,Нижнее Инхело,с,2138,42.645,46.2591666666667,94
Республика Дагестан,Хасавюрт,Свободы,п,3684,43.2502777777778,46.57,72
Чеченская республика,Шатойский муниципальный район,Рядухой,с,279,42.8533333333333,45.6525,59
Республика Дагестан,Бабаюртовский район,Тупкутан,с,649,43.4880555555556,46.6791666666667,80
Чеченская республика,Урус-Мартановский муниципальный район,Урус-Мартан,г,61221,43.1275,45.5405555555556,31
Республика Дагестан,Бабаюртовский район,Чанка-Юрт,с,387,43.5694444444444,46.565,72
Республика Ингушетия,Назрановский район,Альтиевский округ,тер,8338,43.2377777777778,44.7794444444444,76
Чеченская республика,Надтеречный муниципальный район,Новый Городок,п,1246,43.5458333333333,45.3266666666667,34
Чеченская республика,Шаройский муниципальный район,Хуландой,с,67,42.5538888888889,45.7527777777778,92
Чеченская республика,Итум-Калинский район муниципальный район,Верхний-Бара,с,0,42.8066666666667,45.4191666666667,68
Чеченская республика,Шелковской муниципальный район,Ораз-Аул,с,291,43.5563888888889,45.9569444444444,27
Республика Дагестан,Ногайский район,Червленные Буруны,с,1107,44.1616666666667,45.6213888888889,86
Республика Дагестан,Цумадинский район,Кванада,с,1450,42.5616666666667,46.1738888888889,99
Чеченская республика,Гудермесский муниципальный район,Верхний-Нойбер,с,4947,43.2555555555556,46.2830555555556,49
Республика Дагестан,Хасавюртовский район,Тукита,с,1399,43.4897222222222,46.6133333333333,74
Республика Дагестан,Новолакский район,Дучи,с,602,43.1652777777778,46.4841666666667,68
Чеченская республика,Ачхой-Мартановский муниципальный район,Хамби-Ирзи,с,3852,43.2336111111111,45.4511111111111,26
Чеченская республика,Ножай-Юртовский муниципальный район,Беной,с,1895,42.9888888888889,46.3247222222222,67
Чеченская республика,Веденский муниципальный район,Эшилхатой,с,397,42.9638888888889,46.0519444444444,55
Чеченская республика,Урус-Мартановский муниципальный район,Гойты,с,18816,43.1633333333333,45.6311111111111,25
Чеченская республика,Курчалоевский муниципальный район,Курчалой,с,26115,43.2019444444444,46.0877777777778,37
Чеченская республика,Шаройский муниципальный район,Бути,с,47,42.6625,45.9775,83
Чеченская республика,Урус-Мартановский муниципальный район,Алхазурово,с,5493,43.0711111111111,45.6494444444444,35
