регион,район,город,тип,население,широта,долгота,расстояние
Республика Дагестан,Гунибский район,Амуариб,х,34,42.41,46.8466666666667,80
Республика Дагестан,Лакский район,Гущи,с,116,42.1508333333333,47.0938888888889,87
Республика Дагестан,Хунзахский район,Хини,с,251,42.5280555555556,46.7044444444444,84
Республика Дагестан,Хунзахский район,Архида,с,372,43.2058333333333,47.0625,64
Республика Дагестан,Кайтагский район,Тубенаул,с,563,42.1311111111111,47.8372222222222,77
Республика Дагестан,Дахадаевский район,Ираки,с,391,42.1625,47.7172222222222,72
Республика Дагестан,Буйнакский район,Верхнее Казанище,с,7694,42.7338888888889,47.1366666666667,43
Республика Дагестан,Сергокалинский район,Айнурбимахи,с,82,42.2958333333333,47.5844444444444,58
Республика Дагестан,Рутульский район,Новый Борч,с,1605,43.485,47.0483333333333,89
Республика Дагестан,Гунибский район,Агада,с,42,42.4119444444444,46.8419444444444,80
Республика Дагестан,Карабудахкентский район,Манас,пгт,5922,42.7244444444444,47.6819444444444,10
Республика Дагестан,Табасаранский район,Хархни,с,84,41.9394444444444,47.88,99
Республика Дагестан,Табасаранский район,Кулиф,с,391,41.9591666666667,47.8841666666667,97
Республика Дагестан,Акушинский район,Какмахи,х,616,42.2916666666667,47.3858333333333,62
Республика Дагестан,Кизилюртовский район,Гельбах,с,1540,43.1508333333333,46.8569444444444,74
Республика Дагестан,Лакский район,Дилчу,с,68,43.1191666666667,47.4641666666667,36
Республика Дагестан,Кайтагский район,Бажлук,с,39,42.0402777777778,47.8083333333333,87
Республика Дагестан,Акушинский район,Муги,с,3080,42.2994444444444,47.4219444444444,60
Республика Дагестан,Кайтагский район,Пиляки,с,41,42.0055555555556,47.8555555555556,91
Республика Дагестан,Левашинский район,Инкучимахи,х,537,42.35,47.1730555555556,65
Республика Дагестан,Махачкала,Красноармейск,с,3803,43.0175,47.4097222222222,29
Республика Дагестан,Гунибский район,Щубада,х,2,42.4,46.8333333333333,81
Республика Дагестан,Кайтагский район,Санчи,с,1953,42.1325,47.8227777777778,77
Республика Дагестан,Хасавюртовский район,Садовая,с,855,43.2877777777778,46.6594444444444,96
Республика Дагестан,Левашинский район,Хибрила-Эла,х,0,42.4102777777778,47.4561111111111,47
Республика Дагестан,Акушинский район,Камхамахи,х,81,42.3266666666667,47.2247222222222,64
Республика Дагестан,Левашинский район,Гургумахи,х,538,42.3655555555556,47.1805555555556,63
Республика Дагестан,Кайтагский район,Карталай,с,601,42.0880555555556,47.8563888888889,82
Республика Дагестан,Гунибский район,Эгеда,х,60,42.4091666666667,46.845,80
Республика Дагестан,Гергебильский район,Тунзи,с,139,42.4683333333333,46.9758333333333,67
Республика Дагестан,Кизилюртовский район,Стальское,с,5729,43.1916666666667,46.9672222222222,69
Республика Дагестан,Лакский район,Сангар,с,203,43.5919444444444,47.1708333333333,94
Республика Дагестан,Лакский район,Шара,с,591,42.1144444444444,47.1338888888889,88
Республика Дагестан,Левашинский район,Чагни,с,36,42.3725,47.2188888888889,60
Республика Дагестан,Гунибский район,Нижний Кегер,с,208,42.4033333333333,46.9783333333333,71
Республика Дагестан,Лакский район,Тулизма,с,67,42.115,47.1194444444444,89
Республика Дагестан,Дербентский район,Татляр,с,1510,42.1991666666667,48.0261111111111,75
Республика Дагестан,Гунибский район,Зазилькала,х,37,42.4,46.8333333333333,81
Республика Дагестан,Кумторкалинский район,Аджидада,с,1593,43.2847222222222,47.0766666666667,70
Республика Дагестан,Хунзахский район,Хунзах,с,4688,42.5436111111111,46.7058333333333,83
Республика Дагестан,Табасаранский район,Арак,с,564,41.9630555555556,47.9908333333333,98
Республика Дагестан,Гунибский район,Хенда,х,39,42.4333333333333,46.8166666666667,80
Республика Дагестан,Дахадаевский район,Гузбая,х,0,42.0475,47.5144444444444,86
Республика Дагестан,Гунибский район,Басар,х,12,42.4238888888889,46.7930555555556,82
Республика Дагестан,Унцукульский район,Иштибури,с,291,42.6791666666667,46.7027777777778,79
Республика Дагестан,Лакский район,Баласма,с,80,43.5977777777778,47.1488888888889,95
Республика Дагестан,Кайтагский район,Джибахни,с,1198,42.0619444444444,47.9102777777778,86
Республика Дагестан,Хунзахский район,Гоцатль Малый,с,881,42.5033333333333,46.8877777777778,71
Республика Дагестан,Лакский район,Шуни,с,123,42.1941666666667,47.1725,79
Республика Дагестан,Хасавюртовский район,Костек,с,4551,43.3402777777778,46.8522222222222,87
