регион,район,город,тип,население,широта,долгота,расстояние
Ставропольский край,Благодарненский район,Новоалександровский,х,300,45.0913888888889,43.2205555555556,96
Ставропольский край,Кировский район,Зольская,ст-ца,9400,43.9047222222222,43.2977777777778,39
Карачаево-Черкесская республика,Усть-Джегутинский район,Эльтаркач,аул,3263,43.9819444444444,42.1325,80
Ставропольский край,Минераловодский городской округ,Греческое,с,1100,44.4269444444444,43.0027777777778,23
Кабардино-Балкарская республика,Баксанский район,Верхний Куркужин,с,3112,43.6938888888889,43.2766666666667,61
Ставропольский край,Георгиевский район,сдт Заря,тер,0,44.2738888888889,43.4536111111111,30
Кабардино-Балкарская республика,Зольский район,Шордаково,с,1705,43.8766666666667,43.1038888888889,38
Ставропольский край,Предгорный район,Этока,с,2900,43.9130555555556,43.0308333333333,35
Карачаево-Черкесская республика,Малокарачаевский район,Кичи-Балык,с,616,43.7891666666667,42.65,59
Ставропольский край,Георгиевский район,сдт Нива,тер,0,44.2738888888889,43.4536111111111,30
Кабардино-Балкарская республика,Майский район,612 км,ж/д_будка,0,43.6461111111111,43.9766666666667,96
Кабардино-Балкарская республика,Чегемский район,Звездный,п,1386,43.5022222222222,43.4863888888889,86
Карачаево-Черкесская республика,Прикубанский район,Красивый,п,90,44.3141666666667,42.2441666666667,67
Ставропольский край,Город-курорт Кисловодск,Нарзанный,п,900,43.8636111111111,42.7544444444444,48
Ставропольский край,Город-курорт Железноводск,сдт Шелковод,тер,0,44.1227777777778,43.0794444444444,11
Ставропольский край,Минераловодский городской округ,Кумагорск,п,200,44.2858333333333,43.0275,7
Ставропольский край,Минераловодский городской округ,Новомирский,х,31,44.4880555555556,42.8919444444444,32
Ставропольский край,Предгорный район,Нежинский,п,3600,43.93,42.6883333333333,45
Карачаево-Черкесская республика,Малокарачаевский район,Терезе,с,7205,43.9333333333333,42.4425,60
Ставропольский край,Новоселицкий район,Новоселицкое,с,8500,44.7511111111111,43.4336111111111,64
Ставропольский край,Александровский район,Малостепновский,п,25,44.6827777777778,43.2236111111111,51
Ставропольский край,Минераловодский городской округ,Перевальный,х,1000,44.3980555555556,42.7908333333333,30
Кабардино-Балкарская республика,Урванский район,Кахун,с,7934,43.5377777777778,43.8797222222222,99
Ставропольский край,Лермонтов,ГСК Заозерный,тер,0,44.1052777777778,42.9730555555556,16
Ставропольский край,Город-курорт Железноводск,ГСК Лесной,тер,0,44.1227777777778,43.0794444444444,11
Ставропольский край,Город-курорт Пятигорск,Малинник,п,0,44.0411111111111,43.0661111111111,20
Ставропольский край,Кировский район,Пегушин,х,300,43.9641666666667,43.7755555555556,62
Карачаево-Черкесская республика,Прикубанский район,Холоднородниковское,с,950,44.1394444444444,42.2536111111111,67
Ставропольский край,Лермонтов,Поселок-1,п,0,44.1052777777778,42.9730555555556,16
Ставропольский край,Минераловодский городской округ,Апанасенко,х,100,44.4458333333333,43.0922222222222,24
Ставропольский край,Город-курорт Железноводск,ГСК Дубовая роща,тер,0,44.1319444444444,43.0305555555556,11
Ставропольский край,Новоселицкий район,Чернолесское,с,5500,44.7183333333333,43.7077777777778,73
Ставропольский край,Советский район,Петровский,х,100,44.2091666666667,43.685,48
Ставропольский край,Андроповский район,Казинка,с,1400,44.4661111111111,42.3052777777778,67
Кабардино-Балкарская республика,Прохладненский район,Граничное,с,457,43.9541666666667,44.0316666666667,81
Ставропольский край,Лермонтов,ГСК Восток,тер,0,44.1052777777778,42.9730555555556,16
Карачаево-Черкесская республика,Карачаевский район,Нижняя Мара,аул,690,43.7630555555556,42.0863888888889,95
Ставропольский край,Лермонтов,СНТ им И.В.Мичурина,тер,0,44.1052777777778,42.9730555555556,16
Ставропольский край,Предгорный район,Винсады,с,9100,44.0869444444444,42.9511111111111,18
Ставропольский край,Георгиевский район,Ульяновка,п,500,44.4602777777778,43.4480555555556,38
Ставропольский край,Предгорный район,Хорошевский,х,700,43.9363888888889,42.8586111111111,36
Ставропольский край,Александровский район,Новый Маяк,х,0,44.7172222222222,43.0097222222222,54
Ставропольский край,Минераловодский городской округ,Новогодний,х,35,44.2677777777778,42.8816666666667,16
Карачаево-Черкесская республика,Прикубанский район,Ильичевское,с,1287,44.1875,42.1477777777778,74
Кабардино-Балкарская республика,Зольский район,Совхозное,с,680,43.8016666666667,43.1477777777778,47
Ставропольский край,Александровский район,Лесная Поляна,п,100,44.7233333333333,42.8780555555556,57
Ставропольский край,Минераловодский городской округ,Возрождение,х,100,44.1888888888889,43.1875,9
Ставропольский край,Город-курорт Железноводск,сдт Ясная поляна,тер,0,44.1227777777778,43.0794444444444,11
Кабардино-Балкарская республика,Прохладненский район,Ново-Покровский,х,1140,43.7388888888889,44.0366666666667,93
Ставропольский край,Кировский район,Совпахарь,х,300,44.0913888888889,43.79,58
Кабардино-Балкарская республика,Прохладненский район,Ново-Троицкий,х,214,43.7438888888889,43.9766666666667,89
Ставропольский край,Андроповский район,Куршава,с,1600,44.4311111111111,42.5705555555556,46
Карачаево-Черкесская республика,Прикубанский район,Октябрьский,п,1464,44.2561111111111,42.4877777777778,47
Ставропольский край,Георгиевский район,сдт Сокол,тер,0,44.2738888888889,43.4536111111111,30
Ставропольский край,Александровский район,Конный,х,95,44.5313888888889,43.0097222222222,34
Ставропольский край,Предгорный район,Томатный,х,100,44.0452777777778,42.7766666666667,31
Ставропольский край,Советский район,Рог,х,300,44.4655555555556,43.9747222222222,75
Ставропольский край,Минераловодский городской округ,Кумской,п,600,44.2461111111111,43.0711111111111,2
Ставропольский край,Александровский район,Саблинское,с,2800,44.5219444444444,43.2316666666667,34
Кабардино-Балкарская республика,Чегемский район,Чегем-Второй,с,11465,43.5925,43.5966666666667,81
Ставропольский край,Кировский район,Советская,ст-ца,7900,44.0272222222222,44.0436111111111,80
Кабардино-Балкарская республика,Зольский район,Батех,с,1318,43.8522222222222,43.2302777777778,43
Ставропольский край,Предгорный район,Нижнеэтокский,п,400,44.0033333333333,43.3719444444444,33
Ставропольский край,Предгорный район,Славянский,п,0,43.9363888888889,42.8586111111111,36
Ставропольский край,Георгиевский район,Подгорная,ст-ца,5900,44.2011111111111,43.4261111111111,27
Кабардино-Балкарская республика,Зольский район,Белокаменское,с,605,43.8822222222222,43.0155555555556,38
Ставропольский край,Город-курорт Пятигорск,Горячеводский,п,36761,44.0236111111111,43.0972222222222,22
Карачаево-Черкесская республика,Малокарачаевский район,Учкекен,с,17059,43.9388888888889,42.5155555555556,55
Кабардино-Балкарская республика,Эльбрусский район,Кенделен,с,6366,43.5958333333333,43.1636111111111,70
Ставропольский край,Георгиевский район,Ореховая Роща,п,300,44.15,43.5247222222222,36
Ставропольский край,Минераловодский городской округ,Дунаевка,с,700,44.2313888888889,42.9244444444444,12
Ставропольский край,Минераловодский городской округ,Привольный,п,200,44.1669444444444,43.0530555555556,7
Ставропольский край,Минераловодский городской округ,Утренняя Долина,х,81,44.3577777777778,43.1322222222222,15
Карачаево-Черкесская республика,Малокарачаевский район,Кызыл-Покун,с,881,43.9313888888889,42.3222222222222,69
Ставропольский край,Минераловодский городской округ,Побегайловка,с,2400,44.2388888888889,43.0152777777778,5
