регион,район,город,тип,население,широта,долгота,расстояние
Республика Северная Осетия - Алания,Алагирский,Бад,с,2,42.8227777777778,44.0486111111111,83
Ставропольский край,Кировский район,Зольская,ст-ца,9400,43.9047222222222,43.2977777777778,51
Кабардино-Балкарская республика,Терский район,Дейское,с,4704,43.4766666666667,44.1627777777778,42
Кабардино-Балкарская республика,Черекский район,Верхняя Жемтала,с,1651,43.2347222222222,43.6680555555556,31
Кабардино-Балкарская республика,Баксанский район,Верхний Куркужин,с,3112,43.6938888888889,43.2766666666667,35
Ставропольский край,Георгиевский район,сдт Заря,тер,0,44.2738888888889,43.4536111111111,85
Республика Северная Осетия - Алания,Ирафский,Верний Задалеск,с,3,43.0077777777778,43.8036111111111,57
Кабардино-Балкарская республика,Зольский район,Шордаково,с,1705,43.8766666666667,43.1038888888889,58
Ставропольский край,Предгорный район,Этока,с,2900,43.9130555555556,43.0308333333333,66
Карачаево-Черкесская республика,Малокарачаевский район,Кичи-Балык,с,616,43.7891666666667,42.65,85
Республика Северная Осетия - Алания,Правобережный,Хумалаг,с,3624,43.24,44.4761111111111,74
Ставропольский край,Георгиевский район,сдт Нива,тер,0,44.2738888888889,43.4536111111111,85
Кабардино-Балкарская республика,Майский район,612 км,ж/д_будка,0,43.6461111111111,43.9766666666667,31
Кабардино-Балкарская республика,Чегемский район,Звездный,п,1386,43.5022222222222,43.4863888888889,12
Кабардино-Балкарская республика,Терский район,Куян,п,515,43.6222222222222,44.1291666666667,41
Ставропольский край,Город-курорт Кисловодск,Нарзанный,п,900,43.8636111111111,42.7544444444444,81
Республика Северная Осетия - Алания,Ардонский,Ардон,г,19412,43.1755555555556,44.2955555555556,65
Ставропольский край,Город-курорт Железноводск,сдт Шелковод,тер,0,44.1227777777778,43.0794444444444,81
Ставропольский край,Курский район,Зайцев,х,1000,43.9941666666667,44.2744444444444,74
Ставропольский край,Минераловодский городской округ,Кумагорск,п,200,44.2858333333333,43.0275,98
Ставропольский край,Предгорный район,Нежинский,п,3600,43.93,42.6883333333333,89
Республика Северная Осетия - Алания,Ардонский,Нарт,с,1403,43.12,44.4291666666667,77
Республика Северная Осетия - Алания,Ирафский,Сурх-Дигора,с,1939,43.1730555555556,43.9944444444444,47
