регион,район,город,тип,население,широта,долгота,расстояние
Республика Северная Осетия - Алания,Моздокский,Ново-Георгиевское,с,765,43.7625,44.7030555555556,62
Республика Северная Осетия - Алания,Алагирский,Бад,с,2,42.8227777777778,44.0486111111111,62
Республика Ингушетия,Джейрахский район,Джейрах,с/п,1874,42.8230555555556,44.6755555555556,42
Кабардино-Балкарская республика,Терский район,Дейское,с,4704,43.4766666666667,44.1627777777778,46
Кабардино-Балкарская республика,Черекский район,Верхняя Жемтала,с,1651,43.2347222222222,43.6680555555556,76
Республика Ингушетия,Малгобекский район,Нижние Ачалуки,с,5431,43.4047222222222,44.7663888888889,25
Республика Северная Осетия - Алания,Ирафский,Верний Задалеск,с,3,43.0077777777778,43.8036111111111,68
Республика Северная Осетия - Алания,Правобережный,Хумалаг,с,3624,43.24,44.4761111111111,11
Кабардино-Балкарская республика,Майский район,612 км,ж/д_будка,0,43.6461111111111,43.9766666666667,70
Кабардино-Балкарская республика,Терский район,Куян,п,515,43.6222222222222,44.1291666666667,60
Республика Северная Осетия - Алания,Ардонский,Ардон,г,19412,43.1755555555556,44.2955555555556,25
Ставропольский край,Курский район,Зайцев,х,1000,43.9941666666667,44.2744444444444,91
Чеченская республика,Итум-Калинский район муниципальный район,Эзихо,с,0,42.7666666666667,45.5016666666667,87
Республика Северная Осетия - Алания,Ардонский,Нарт,с,1403,43.12,44.4291666666667,17
Чеченская республика,Урус-Мартановский муниципальный район,Шалажи,с,5313,43.1080555555556,45.3702777777778,63
Республика Северная Осетия - Алания,Ирафский,Сурх-Дигора,с,1939,43.1730555555556,43.9944444444444,49
Кабардино-Балкарская республика,Урванский район,Кахун,с,7934,43.5377777777778,43.8797222222222,69
Чеченская республика,Ачхой-Мартановский муниципальный район,Шаами-Юрт,с,4841,43.2275,45.3875,63
Республика Северная Осетия - Алания,Ирафский,Калух,с,38,43.0958333333333,43.8188888888889,65
Ставропольский край,Курский район,Привольный,х,700,44.0377777777778,44.6241666666667,92
Республика Северная Осетия - Алания,Алагирский,Верхний Бирагзанг,с,768,43.0080555555556,44.2352777777778,37
Республика Северная Осетия - Алания,Моздокский,Мирный,п,0,43.6952777777778,44.5166666666667,54
Кабардино-Балкарская республика,Прохладненский район,Граничное,с,457,43.9541666666667,44.0316666666667,95
Республика Северная Осетия - Алания,Ирафский,Стур-Дигора,с,197,42.9036111111111,43.6533333333333,84
Республика Ингушетия,Назрановский район,Гамурзиевский округ,тер,12175,43.2333333333333,44.8002777777778,16
Республика Северная Осетия - Алания,Алагирский,Сахсат,с,6,42.68,44.0683333333333,73
Республика Северная Осетия - Алания,Ардонский,Фиагдон,с,753,43.0758333333333,44.4375,19
Республика Северная Осетия - Алания,Пригородный,Куртат,с,2091,43.0925,44.7455555555556,16
Республика Северная Осетия - Алания,Алагирский,Саубын,с,0,42.8258333333333,44.1102777777778,58
Кабардино-Балкарская республика,Прохладненский район,Екатериноградская,ст-ца,3386,43.7605555555556,44.2319444444444,68
Республика Ингушетия,Сунженский район,Троицкое,с/п,17884,43.3066666666667,44.9891666666667,33
Чеченская республика,Наурский муниципальный район,Мекенская,ст-ца,4127,43.6658333333333,45.3825,81
Кабардино-Балкарская республика,Прохладненский район,Ново-Покровский,х,1140,43.7388888888889,44.0366666666667,75
Республика Северная Осетия - Алания,Ирафский,Новый Урух,с,469,43.2341666666667,43.9380555555556,54
Чеченская республика,Грозненский муниципальный район,Радужное,с,2800,43.4027777777778,45.39,67
Кабардино-Балкарская республика,Прохладненский район,Ново-Троицкий,х,214,43.7438888888889,43.9766666666667,78
Ставропольский край,Курский район,Советский,х,0,43.7755555555556,44.9638888888889,69
Чеченская республика,Грозненский муниципальный район,Долинский,п,1576,43.4044444444444,45.3822222222222,66
Ставропольский край,Курский район,Межевой,х,200,44.0005555555556,44.1758333333333,94
Чеченская республика,Наурский муниципальный район,Клинков,х,134,43.7527777777778,45.4441666666667,91
Республика Северная Осетия - Алания,Алагирский,Худисан,с,0,42.6788888888889,43.9913888888889,77
Республика Северная Осетия - Алания,Ардонский,Красногор,с,1712,43.2261111111111,44.2308333333333,30
Чеченская республика,Надтеречный муниципальный район,Горагорский,п,5659,43.5013888888889,45.0836111111111,50
Кабардино-Балкарская республика,Терский район,Верхний Акбаш,с,2560,43.4722222222222,44.2352777777778,42
Республика Северная Осетия - Алания,Алагирский,Цмити,с,17,42.835,44.2913888888889,48
Кабардино-Балкарская республика,Терский район,Опытное,п,557,43.63,44.1413888888889,60
Республика Северная Осетия - Алания,Владикавказ,Верхний Ларс,с,0,42.7663888888889,44.6311111111111,48
Республика Северная Осетия - Алания,Алагирский,Суадаг,с,1176,43.0408333333333,44.2791666666667,32
Ставропольский край,Курский район,Каново,с,1500,44.0133333333333,44.3333333333333,92
Республика Ингушетия,Сунженский район,Чемульга,с,1120,43.1894444444444,45.1186111111111,41
Республика Северная Осетия - Алания,Алагирский,Нижний Зарамаг,с,8,42.695,43.9694444444444,76
Чеченская республика,Наурский муниципальный район,Ульяновское,с,1229,43.63,45.6027777777778,93
Республика Северная Осетия - Алания,Пригородный,Чермен,с,6066,43.1516666666667,44.7113888888889,10
Кабардино-Балкарская республика,Терский район,Верхний Курп,с,1473,43.4688888888889,44.3686111111111,35
Чеченская республика,Итум-Калинский район муниципальный район,Хозачу,с,0,42.6227777777778,45.4805555555556,96
Ставропольский край,Курский район,Стодеревская,ст-ца,1700,43.7222222222222,44.835,60
Республика Ингушетия,Малгобекский район,Новый Редант,с/п,4472,43.4738888888889,44.8052777777778,33
Ставропольский край,Курский район,Прогонный,х,100,44.0055555555556,44.1497222222222,96
Республика Северная Осетия - Алания,Моздокский,Малгобек,с,412,43.6155555555556,44.4536111111111,47
Республика Северная Осетия - Алания,Кировский,Дарг-Кох,с,2166,43.2661111111111,44.3577777777778,21
Республика Северная Осетия - Алания,Ирафский,Хазнидон,с,889,43.2005555555556,43.8441666666667,61
Республика Северная Осетия - Алания,Пригородный,Дачное,с,2717,43.0847222222222,44.7358333333333,17
Республика Ингушетия,Сунженский район,Даттых,с,285,43.0308333333333,45.1002777777778,44
Ставропольский край,Курский район,Галюгаевская,ст-ца,2800,43.6972222222222,44.9352777777778,60
Республика Северная Осетия - Алания,Алагирский,Алагир,г,36763,43.0416666666667,44.22,36
Кабардино-Балкарская республика,Терский район,Хамидие,с,1712,43.6708333333333,44.3719444444444,55
Чеченская республика,Наурский муниципальный район,Козлов,х,26,43.7244444444444,45.5555555555556,96
Кабардино-Балкарская республика,Прохладненский район,Цораевский,х,122,43.6925,43.7861111111111,85
Кабардино-Балкарская республика,Прохладненский район,Ново-Полтавское,с,1181,43.6913888888889,43.9766666666667,74
Республика Ингушетия,Малгобекский район,Южное,с,1301,43.5172222222222,44.7497222222222,36
Чеченская республика,Урус-Мартановский муниципальный район,Гехи-Чу,с,2601,43.1088888888889,45.4138888888889,66
Ставропольский край,Курский район,Тарский,х,100,44.0308333333333,44.7819444444444,92
Республика Северная Осетия - Алания,Пригородный,Какадур,с,13,42.83,44.395,45
Кабардино-Балкарская республика,Черекский район,Герпегеж,с,1291,43.3713888888889,43.6530555555556,79
Республика Северная Осетия - Алания,Алагирский,Тагардон,с,1,42.96,44.3666666666667,33
Республика Северная Осетия - Алания,Ардонский,Цмити,с,129,43.2061111111111,44.4138888888889,15
Республика Северная Осетия - Алания,Ирафский,Мацута,с,37,42.9794444444444,43.7716666666667,72
Чеченская республика,Ачхой-Мартановский муниципальный район,Валерик,с,9483,43.1786111111111,45.4072222222222,65
Республика Северная Осетия - Алания,Алагирский,Курайтта,с,3,42.8547222222222,43.9769444444444,64
Кабардино-Балкарская республика,Прохладненский район,Матвеевский,х,222,43.7447222222222,43.9552777777778,79
Чеченская республика,Наурский муниципальный район,Майорский,х,60,43.8358333333333,45.4913888888889,100
Республика Ингушетия,Назрановский район,Долаково,с/п,7158,43.2377777777778,44.5908333333333,3
