регион,район,город,тип,население,широта,долгота,расстояние
Республика Северная Осетия - Алания,Моздокский,Ново-Георгиевское,с,765,43.7625,44.7030555555556,54
Республика Северная Осетия - Алания,Алагирский,Бад,с,2,42.8227777777778,44.0486111111111,96
Республика Ингушетия,Джейрахский район,Джейрах,с/п,1874,42.8230555555556,44.6755555555556,61
Кабардино-Балкарская республика,Терский район,Дейское,с,4704,43.4766666666667,44.1627777777778,70
Республика Ингушетия,Малгобекский район,Нижние Ачалуки,с,5431,43.4047222222222,44.7663888888889,21
Республика Северная Осетия - Алания,Правобережный,Хумалаг,с,3624,43.24,44.4761111111111,44
Чеченская республика,Шалинский муниципальный район,Чири-Юрт,п,6532,43.0869444444444,45.7436111111111,64
Чеченская республика,Шалинский муниципальный район,Дуба-Юрт,с,7135,43.0397222222222,45.7291666666667,66
Кабардино-Балкарская республика,Терский район,Куян,п,515,43.6222222222222,44.1291666666667,78
Республика Северная Осетия - Алания,Ардонский,Ардон,г,19412,43.1755555555556,44.2955555555556,60
Ставропольский край,Курский район,Зайцев,х,1000,43.9941666666667,44.2744444444444,95
Чеченская республика,Итум-Калинский район муниципальный район,Эзихо,с,0,42.7666666666667,45.5016666666667,73
Республика Северная Осетия - Алания,Ардонский,Нарт,с,1403,43.12,44.4291666666667,52
Чеченская республика,Урус-Мартановский муниципальный район,Шалажи,с,5313,43.1080555555556,45.3702777777778,37
Чеченская республика,Ачхой-Мартановский муниципальный район,Шаами-Юрт,с,4841,43.2275,45.3875,32
Ставропольский край,Курский район,Привольный,х,700,44.0377777777778,44.6241666666667,85
Ставропольский край,Курский район,Песчаный,п,73,44.1430555555556,45.425,96
Республика Северная Осетия - Алания,Алагирский,Верхний Бирагзанг,с,768,43.0080555555556,44.2352777777778,72
Республика Северная Осетия - Алания,Моздокский,Мирный,п,0,43.6952777777778,44.5166666666667,57
Республика Ингушетия,Назрановский район,Гамурзиевский округ,тер,12175,43.2333333333333,44.8002777777778,19
Чеченская республика,Наурский муниципальный район,Юбилейное,с,854,43.5961111111111,45.6405555555556,59
Республика Северная Осетия - Алания,Ардонский,Фиагдон,с,753,43.0758333333333,44.4375,54
Республика Северная Осетия - Алания,Пригородный,Куртат,с,2091,43.0925,44.7455555555556,33
Республика Северная Осетия - Алания,Алагирский,Саубын,с,0,42.8258333333333,44.1102777777778,91
Кабардино-Балкарская республика,Прохладненский район,Екатериноградская,ст-ца,3386,43.7605555555556,44.2319444444444,79
Чеченская республика,Итум-Калинский район муниципальный район,Ушкалой,с,536,42.7808333333333,45.6086111111111,77
Республика Ингушетия,Сунженский район,Троицкое,с/п,17884,43.3066666666667,44.9891666666667,2
Ставропольский край,Курский район,Мирный,п,1900,44.0819444444444,44.9563888888889,84
Чеченская республика,Наурский муниципальный район,Мекенская,ст-ца,4127,43.6658333333333,45.3825,48
Кабардино-Балкарская республика,Прохладненский район,Ново-Покровский,х,1140,43.7388888888889,44.0366666666667,91
Чеченская республика,Грозненский муниципальный район,Радужное,с,2800,43.4027777777778,45.39,31
Чеченская республика,Шатойский муниципальный район,Тумсой,с,381,42.8344444444444,45.6302777777778,74
Ставропольский край,Курский район,Советский,х,0,43.7755555555556,44.9638888888889,50
Чеченская республика,Грозненский муниципальный район,Долинский,п,1576,43.4044444444444,45.3822222222222,31
Чеченская республика,Наурский муниципальный район,Клинков,х,134,43.7527777777778,45.4441666666667,59
Республика Северная Осетия - Алания,Ардонский,Красногор,с,1712,43.2261111111111,44.2308333333333,64
Чеченская республика,Надтеречный муниципальный район,Горагорский,п,5659,43.5013888888889,45.0836111111111,20
Чеченская республика,Грозненский муниципальный район,Старые-Атаги,с,12494,43.1227777777778,45.7433333333333,63
Кабардино-Балкарская республика,Терский район,Верхний Акбаш,с,2560,43.4722222222222,44.2352777777778,65
Республика Северная Осетия - Алания,Алагирский,Цмити,с,17,42.835,44.2913888888889,79
Кабардино-Балкарская республика,Терский район,Опытное,п,557,43.63,44.1413888888889,78
Республика Северная Осетия - Алания,Владикавказ,Верхний Ларс,с,0,42.7663888888889,44.6311111111111,69
Чеченская республика,Шатойский муниципальный район,Дех-Йисте,с,160,42.8366666666667,45.7358333333333,79
Чеченская республика,Шелковской муниципальный район,Песчаное,п,47,43.9080555555556,45.8055555555556,91
Республика Северная Осетия - Алания,Алагирский,Суадаг,с,1176,43.0408333333333,44.2791666666667,67
Ставропольский край,Курский район,Каново,с,1500,44.0133333333333,44.3333333333333,94
Чеченская республика,Урус-Мартановский муниципальный район,Гой-чу,с,5475,43.0616666666667,45.6130555555556,56
Чеченская республика,Шатойский муниципальный район,Горгачи,с,150,42.8558333333333,45.6722222222222,74
Республика Ингушетия,Сунженский район,Чемульга,с,1120,43.1894444444444,45.1186111111111,17
Чеченская республика,Наурский муниципальный район,Ульяновское,с,1229,43.63,45.6027777777778,58
Республика Северная Осетия - Алания,Пригородный,Чермен,с,6066,43.1516666666667,44.7113888888889,31
Кабардино-Балкарская республика,Терский район,Верхний Курп,с,1473,43.4688888888889,44.3686111111111,54
Чеченская республика,Итум-Калинский район муниципальный район,Хозачу,с,0,42.6227777777778,45.4805555555556,86
Ставропольский край,Курский район,Стодеревская,ст-ца,1700,43.7222222222222,44.835,46
Республика Ингушетия,Малгобекский район,Новый Редант,с/п,4472,43.4738888888889,44.8052777777778,23
Республика Северная Осетия - Алания,Моздокский,Малгобек,с,412,43.6155555555556,44.4536111111111,55
Республика Северная Осетия - Алания,Кировский,Дарг-Кох,с,2166,43.2661111111111,44.3577777777778,53
Чеченская республика,Грозненский муниципальный район,Комсомольское,с,8080,43.2697222222222,45.8311111111111,66
Республика Северная Осетия - Алания,Пригородный,Дачное,с,2717,43.0847222222222,44.7358333333333,34
Чеченская республика,Курчалоевский муниципальный район,Цоци-Юрт,с,20629,43.2383333333333,45.9986111111111,80
