регион,район,город,тип,население,широта,долгота,расстояние
Ставропольский край,Ставрополь,СНТ Промстроевец-2,тер,0,45.0444444444444,41.9691666666667,13
Ставропольский край,Ставрополь,ДСНТ Комплекс-2,тер,0,45.0852777777778,42.0741666666667,4
Карачаево-Черкесская республика,Ногайский район,Кызыл-Тогай,аул,242,44.3327777777778,41.7916666666667,89
Ставропольский край,Ставрополь,ДНТ Виктория,тер,0,45.0444444444444,41.9691666666667,13
Ставропольский край,Новоалександровский район,Красночервонный,х,1700,45.4438888888889,41.1358333333333,85
Краснодарский край,Отрадненский район,Воскресенское,с,145,44.5122222222222,41.4602777777778,84
Ставропольский край,Изобильненский район,Смыков,х,300,45.2691666666667,41.5452777777778,48
Ставропольский край,Новоалександровский район,Равнинный,п,900,45.2719444444444,41.3927777777778,59
Ставропольский край,Ставрополь,СНТ Виктория,тер,0,45.0444444444444,41.9691666666667,13
Ставропольский край,Ставрополь,СТ Пищевик-Молочный,тер,0,45.0444444444444,41.9691666666667,13
Карачаево-Черкесская республика,Прикубанский район,Красивый,п,90,44.3141666666667,42.2441666666667,88
Ставропольский край,Кочубеевский район,Маковский,х,200,44.5636111111111,41.9380555555556,62
Ставропольский край,Шпаковский район,Рынок,х,80,44.86,41.8888888888889,32
Ставропольский край,Ипатовский район,Крестьянское,с,100,45.5702777777778,42.9202777777778,81
Краснодарский край,Новокубанский район,Прикубанский,п,3366,45.0063888888889,41.1736111111111,74
Ставропольский край,Минераловодский городской округ,Новомирский,х,31,44.4880555555556,42.8919444444444,92
Ставропольский край,Ипатовский район,Добровольное,с,1100,45.5955555555556,42.4013888888889,58
Краснодарский край,Успенский район,Державный,х,233,44.8519444444444,41.4277777777778,61
Ставропольский край,Минераловодский городской округ,Перевальный,х,1000,44.3980555555556,42.7908333333333,95
Ставропольский край,Ставрополь,Сдт Водник,тер,0,45.0625,42.0319444444444,8
Ставропольский край,Кочубеевский район,Петровский,х,400,44.5141666666667,41.7261111111111,72
Ставропольский край,Ставрополь,СНТ Лесник,тер,0,45.0444444444444,41.9691666666667,13
Ставропольский край,Изобильненский район,Спорный,х,1500,45.3052777777778,41.7697222222222,34
Ставропольский край,Шпаковский район,Верхнедубовский,п,400,45.2422222222222,42.2897222222222,20
Ставропольский край,Ставрополь,ДНТ Горка,тер,0,45.0444444444444,41.9691666666667,13
Краснодарский край,Отрадненский район,Урупский,п,1326,44.4536111111111,41.5713888888889,84
Карачаево-Черкесская республика,Адыге-Хабльский район,Садовое,с,1821,44.3275,42.0388888888889,87
Ставропольский край,Андроповский район,Казинка,с,1400,44.4661111111111,42.3052777777778,73
Ставропольский край,Труновский район,Подлесное,с,1800,45.7516666666667,42.1091666666667,71
Ставропольский край,Шпаковский район,Липовчанский,х,200,44.815,42.0763888888889,32
Ставропольский край,Шпаковский район,Михайловск,г,82743,45.1297222222222,42.0288888888889,6
Ставропольский край,Ставрополь,Днт Дорожник,тер,0,45.0444444444444,41.9691666666667,13
Ставропольский край,Ставрополь,ДНТ Колосок южный,тер,0,45.0183333333333,41.9941666666667,13
Карачаево-Черкесская республика,Хабезский район,Бесленей,аул,3508,44.2438888888889,41.7391666666667,100
Ставропольский край,Ставрополь,ДНТ Лесовод-2,тер,0,44.9947222222222,41.9461111111111,18
Ставропольский край,Шпаковский район,Дубовка,с,1600,45.2233333333333,42.1683333333333,13
Ставропольский край,Ставрополь,Днт Мелиоратор,тер,0,45.0213888888889,41.8725,21
Ставропольский край,Невинномысск,Невинномысск,г,117868,44.6383333333333,41.9361111111111,54
Ставропольский край,Александровский район,Новый Маяк,х,0,44.7172222222222,43.0097222222222,83
Ставропольский край,Ипатовский район,Бурукшун,с,2100,45.9088888888889,42.5494444444444,95
Ставропольский край,Александровский район,Лесная Поляна,п,100,44.7233333333333,42.8780555555556,74
Ставропольский край,Кочубеевский район,Вревское,с,1000,44.7,41.5316666666667,64
Краснодарский край,Отрадненский район,Рудь,с,873,44.4577777777778,41.2238888888889,100
Ставропольский край,Кочубеевский район,Мищенский,х,1000,44.5988888888889,41.6036111111111,69
Ставропольский край,Ставрополь,гк Песчанный,тер,0,45.0444444444444,41.9691666666667,13
Ставропольский край,Петровский район,Рогатая Балка,п,2100,45.2052777777778,43.0430555555556,73
Ставропольский край,Андроповский район,Куршава,с,1600,44.4311111111111,42.5705555555556,83
Ставропольский край,Ипатовский район,Малый Барханчак,аул,1100,45.5875,43.0747222222222,92
Карачаево-Черкесская республика,Прикубанский район,Чапаевское,с,5463,44.2830555555556,42.0663888888889,91
Карачаево-Черкесская республика,Прикубанский район,Октябрьский,п,1464,44.2561111111111,42.4877777777778,99
Ставропольский край,Новоалександровский район,Краснозоринский,п,1300,45.3611111111111,41.3677777777778,64
Ставропольский край,Новоалександровский район,Румяная Балка,х,100,45.2486111111111,41.3444444444444,62
Ставропольский край,Кочубеевский район,Андреевский,х,400,44.7030555555556,41.6491666666667,58
Ставропольский край,Петровский район,Мартыновка,с,300,45.5516666666667,42.5797222222222,61
Ставропольский край,Изобильненский район,Тищенское,с,3000,45.4641666666667,41.6780555555556,52
Ставропольский край,Александровский район,Конный,х,95,44.5313888888889,43.0097222222222,95
Ставропольский край,Кочубеевский район,Заветное,с,3900,44.7477777777778,41.5952777777778,57
Ставропольский край,Изобильненский район,Беляев,х,500,45.3527777777778,41.8530555555556,33
Ставропольский край,Ставрополь,сдт Долина,тер,0,45.0752777777778,41.9952777777778,9
Ставропольский край,Ставрополь,ДНТ Химик,тер,0,45.0444444444444,41.9691666666667,13
