регион,район,город,тип,население,широта,долгота,расстояние
Краснодарский край,Кущёвский район,Большая Лопатина,х,352,46.6447222222222,39.5783333333333,98
Ростовская область,Октябрьский,Миллеров,х,39,47.6227777777778,40.0358333333333,16
Ростовская область,Зерноградский,Средние Хороли,х,349,46.9580555555556,40.4786111111111,72
Ростовская область,Матвеево-Курганский,Новоандриановка,с,653,47.5736111111111,39.0358333333333,67
Ростовская область,Октябрьский,Бессергеневская,ст-ца,2070,47.3994444444444,40.3377777777778,32
Ростовская область,Багаевский,Голые Бугры,х,26,47.2819444444444,40.3166666666667,37
Ростовская область,Багаевский,Елкин,х,3304,47.3127777777778,40.4952777777778,47
Ростовская область,Красносулинский,Владимировская,ст-ца,1041,47.9338888888889,40.2933333333333,56
Ростовская область,Красносулинский,Первомайский,х,52,47.8572222222222,39.8211111111111,41
Ростовская область,Аксайский,Большой Лог,х,4420,47.2913888888889,39.9236111111111,22
Ростовская область,Родионово-Несветайский,Курлаки,х,139,47.5380555555556,39.6091666666667,24
Ростовская область,Каменский,Нижнеговейный,х,516,48.2858333333333,40.3444444444444,93
Ростовская область,Красносулинский,Комиссаровка,х,611,48.1161111111111,40.1458333333333,71
Ростовская область,Кагальницкий,Зеленопольский,п,20,47.0411111111111,40.1836111111111,54
Краснодарский край,Кущёвский район,Садовый,п,359,46.62,39.74,98
Ростовская область,Родионово-Несветайский,Персиановка,х,29,47.5266666666667,39.4172222222222,38
Ростовская область,Кагальницкий,Новоракитный,п,128,46.9675,39.9225,58
Ростовская область,Родионово-Несветайский,Атамано-Власовка,х,274,47.7744444444444,39.5891666666667,40
Краснодарский край,Кущёвский район,Исаевский,х,208,46.7119444444444,39.5269444444444,92
Краснодарский край,Кущёвский район,Красное,х,1437,46.7294444444444,39.5877777777778,88
Ростовская область,Неклиновский,Синявское,с,3604,47.2777777777778,39.2825,54
Ростовская область,Мясниковский,Савченко,х,301,47.485,39.4613888888889,34
Краснодарский край,Кущёвский район,Зеленая Роща,х,267,46.7666666666667,39.7955555555556,81
Ростовская область,Азовский,Головатовка,с,1541,47.0155555555556,39.3508333333333,68
Ростовская область,Каменский,Верхнекрасный,х,323,48.3611111111111,40.1386111111111,97
Ростовская область,Белокалитвинский,Богатов,х,549,48.0986111111111,40.7913888888889,93
Ростовская область,Октябрьский,Нижнедонской,п,1240,47.5819444444444,40.4636111111111,41
Ростовская область,Азовский,Курган,х,224,47.1441666666667,39.4755555555556,51
Ростовская область,Каменский,Муравлев,х,80,48.2519444444444,40.61,98
Ростовская область,Родионово-Несветайский,Нагорно-Тузловка,х,98,47.8316666666667,39.4036111111111,54
Ростовская область,Родионово-Несветайский,Папчино,х,215,47.6325,39.5002777777778,35
Краснодарский край,Кущёвский район,Новостепнянский,х,14,46.6930555555556,39.525,94
Ростовская область,Мясниковский,Чалтырь,с,18595,47.2827777777778,39.4991666666667,39
Ростовская область,Красносулинский,Калиновка,х,82,48.1411111111111,40.2686111111111,76
Ростовская область,Мясниковский,Мокрый Чалтырь,х,299,47.2683333333333,39.4752777777778,42
Ростовская область,Неклиновский,Сужено,х,7,47.3686111111111,39.0922222222222,64
Ростовская область,Октябрьский,Кривянская,ст-ца,10493,47.3952777777778,40.1675,21
Ростовская область,Веселовский,Северный,п,78,47.2997222222222,40.8197222222222,70
Ростовская область,Кагальницкий,Новонатальин,п,224,47.1186111111111,39.97,41
Ростовская область,Красносулинский,Украинский,х,247,47.9713888888889,39.8605555555556,53
Ростовская область,Мясниковский,Калмыково,с,93,47.4883333333333,39.3819444444444,40
Ростовская область,Зерноградский,Сорговый,п,1893,47.0519444444444,40.4016666666667,60
Ростовская область,Неклиновский,Приют,х,340,47.4055555555556,39.1672222222222,57
Ростовская область,Азовский,Рогожкино,х,800,47.1747222222222,39.3441666666667,56
Ростовская область,Аксайский,Ленина,х,3572,47.1111111111111,39.8538888888889,42
Ростовская область,Красносулинский,Донлесхоз,п,201,47.8622222222222,40.2375,47
Ростовская область,Аксайский,Ольгинская,ст-ца,5819,47.1869444444444,39.9494444444444,34
Ростовская область,Веселовский,Кирпичный,х,46,47.2030555555556,40.5761111111111,58
Ростовская область,Азовский,Шмат,х,43,47.1416666666667,39.5058333333333,50
Ростовская область,Город Азов,Азов,г,81335,47.1122222222222,39.4233333333333,56
Ростовская область,Усть-Донецкий,Ольховский,х,372,47.64,40.7066666666667,61
Ростовская область,Усть-Донецкий,Раздорская,ст-ца,1722,47.5425,40.65,54
Ростовская область,Аксайский,Красный,п,703,47.3902777777778,39.88,12
Ростовская область,Красносулинский,Новоровенецкий,х,403,48.0091666666667,39.8086111111111,57
Ростовская область,Каменский,Хоботок,х,37,48.2747222222222,40.3755555555556,93
Ростовская область,Каменский,Кудинов,х,9,48.2733333333333,40.5852777777778,99
Ростовская область,Куйбышевский,Крюково,х,832,47.6583333333333,39.2280555555556,55
Ростовская область,Родионово-Несветайский,Новопрохоровка,х,199,47.8238888888889,39.5313888888889,47
Ростовская область,Усть-Донецкий,Черни,х,210,47.7547222222222,40.8972222222222,78
Ростовская область,Октябрьский,Калиновка,х,450,47.7758333333333,40.0113888888889,32
Ростовская область,Каменский,Липов,х,12,48.2069444444444,40.5152777777778,90
Ростовская область,Красносулинский,Углеродовский,рп,1307,48.1447222222222,40.0638888888889,73
Ростовская область,Аксайский,Октябрьский,п,2551,47.3991666666667,39.8325,12
Ростовская область,Город Новочеркасск,Новочеркасск,г,168766,47.4119444444444,40.1041666666667,16
Ростовская область,Зерноградский,Гуляй-Борисовка,х,2556,46.6272222222222,40.2116666666667,98
Ростовская область,Аксайский,Золотой Колос,п,913,47.3394444444444,39.8516666666667,18
Ростовская область,Красносулинский,Рябиновка,п,327,47.7925,40.2105555555556,39
Ростовская область,Зерноградский,Клюев,х,623,46.7313888888889,40.645,100
Ростовская область,Багаевский,Первомайский,п,1066,47.2161111111111,40.295,41
Ростовская область,Октябрьский,Коммуна им Ленина,х,2,47.6811111111111,40.4855555555556,47
Ростовская область,Куйбышевский,Зайцево,х,220,47.7227777777778,39.3586111111111,49
Ростовская область,Аксайский,Островского,х,1174,47.1133333333333,39.935,42
Ростовская область,Красносулинский,Октябрьский,п,206,47.9386111111111,39.9522222222222,49
Ростовская область,Куйбышевский,Власово-Буртовка,х,41,47.8097222222222,39.3380555555556,56
Ростовская область,Неклиновский,Советка,сл,954,47.5063888888889,39.2505555555556,50
Ростовская область,Аксайский,Малый Мишкин,х,599,47.3791666666667,40.0730555555556,16
Ростовская область,Усть-Донецкий,Евсеевский,х,591,47.8247222222222,40.7919444444444,74
Краснодарский край,Кущёвский район,Воровского,х,180,46.6561111111111,39.5872222222222,96
Ростовская область,Каменский,Светлый,х,324,48.1577777777778,40.0736111111111,74
Ростовская область,Родионово-Несветайский,Балабино-Русский,х,15,47.7861111111111,39.6105555555556,40
Ростовская область,Аксайский,Верхнетемерницкий,п,806,47.31,39.7330555555556,25
Ростовская область,Азовский,Обуховка,х,1027,47.1544444444444,39.4577777777778,51
Ростовская область,Красносулинский,Грачев,х,274,48.0072222222222,40.2813888888889,63
Ростовская область,Октябрьский,Верхняя Кадамовка,х,284,47.8419444444444,40.4497222222222,55
Ростовская область,Родионово-Несветайский,Ивановка,х,73,47.7652777777778,39.5505555555556,41
Ростовская область,Неклиновский,Мелюзовка,х,8,47.4008333333333,39.1725,57
Ростовская область,Красносулинский,Пролетарка,х,1070,47.8833333333333,40.1980555555556,47
Краснодарский край,Кущёвский район,Крутоярский,х,58,46.7661111111111,39.9841666666667,81
Ростовская область,Красносулинский,Горный,рп,1161,47.8144444444444,40.1988888888889,41
Ростовская область,Багаевский,Привольный,п,687,47.3355555555556,40.675,59
Ростовская область,Азовский,Лагутник,х,28,47.22,39.3263888888889,54
Ростовская область,Куйбышевский,Новая Надежда,х,986,47.8413888888889,39.0708333333333,74
Ростовская область,Азовский,Кочеванчик,х,685,46.975,39.6336111111111,61
Ростовская область,Каменский,Диченский,х,518,48.3008333333333,40.3808333333333,95
Ростовская область,Родионово-Несветайский,Большекрепинская,сл,1866,47.5975,39.3775,42
Ростовская область,Матвеево-Курганский,Политотдельское,с,960,47.5280555555556,39.0719444444444,64
Ростовская область,Семикаракорский,Слободской,х,834,47.4325,40.8327777777778,68
Ростовская область,Каменский,Лавров,рзд,33,48.1847222222222,40.3205555555556,82
Ростовская область,Каменский,Нижнесазонов,х,163,48.2319444444444,40.4608333333333,91
Ростовская область,Азовский,Новополтавский,п,1107,46.8766666666667,39.1405555555556,90
Ростовская область,Зерноградский,Красная Звезда,х,187,46.9036111111111,40.8236111111111,94
Ростовская область,Азовский,Зеленый,п,132,47.05,39.3830555555556,64
Ростовская область,Каменский,Малая Каменка,х,1291,48.3311111111111,40.1708333333333,94
Ростовская область,Родионово-Несветайский,Веселый,х,838,47.595,39.6394444444444,24
Ростовская область,Зерноградский,Краснюков,х,326,46.8811111111111,40.9052777777778,100
Ростовская область,Усть-Донецкий,Коныгин,х,386,47.5911111111111,40.6911111111111,58
Краснодарский край,Кущёвский район,Ровный,п,183,46.6091666666667,40.0077777777778,98
Ростовская область,Родионово-Несветайский,Плато-Ивановка,с,632,47.6863888888889,39.4169444444444,43
Ростовская область,Аксайский,Нижнетемерницкий,х,376,47.3566666666667,39.7541666666667,19
Ростовская область,Красносулинский,Прохоровка,с,458,47.8866666666667,40.2641666666667,50
Ростовская область,Каменский,Дубовой,х,2,48.2741666666667,40.4086111111111,93
Ростовская область,Зерноградский,Пятая Сотня,х,147,46.9561111111111,40.5661111111111,77
Ростовская область,Зерноградский,Малый Лог,п,323,47.0847222222222,40.4655555555556,61
Ростовская область,Зерноградский,Лободин,п,198,46.8833333333333,40.8458333333333,97
Ростовская область,Родионово-Несветайский,Авилов,х,420,47.6483333333333,39.8919444444444,17
Ростовская область,Азовский,Задонский,х,1119,46.9297222222222,39.6594444444444,65
Ростовская область,Кагальницкий,Середин,х,131,46.8744444444444,40.005,69
Ростовская область,Белокалитвинский,Чернышев,х,489,47.9097222222222,40.7380555555556,76
Краснодарский край,Кущёвский район,Алексеевское,с,365,46.7580555555556,39.7141666666667,83
Ростовская область,Усть-Донецкий,Мостовой,х,385,47.7991666666667,40.8177777777778,75
Ростовская область,Кагальницкий,Песчаный Брод,х,85,46.8744444444444,40.0247222222222,69
Ростовская область,Кагальницкий,Раково-Таврический,х,259,46.9997222222222,40.3552777777778,63
Ростовская область,Мясниковский,Недвиговка,х,2003,47.2683333333333,39.3519444444444,50
Ростовская область,Зерноградский,Большая Таловая,х,815,46.9711111111111,40.6186111111111,78
Ростовская область,Кагальницкий,Кагальничек,х,66,46.8763888888889,39.9294444444444,68
Ростовская область,Октябрьский,Ильичевка,х,1354,47.7441666666667,39.8861111111111,27
Ростовская область,Веселовский,Рассвет,х,117,47.2938888888889,40.8852777777778,75
Ростовская область,Азовский,Васильево-Петровское,с,311,46.9680555555556,39.5025,66
Ростовская область,Октябрьский,Первомайский,х,243,47.5808333333333,40.405,37
Ростовская область,Красносулинский,Черников,х,320,47.8213888888889,39.78,37
Ростовская область,Красносулинский,Закордонный,п,52,47.8491666666667,39.7866666666667,40
Ростовская область,Багаевский,Садовый,п,860,47.1455555555556,40.3925,52
Ростовская область,Неклиновский,Самбек,с,2187,47.3330555555556,39.0225,70
Ростовская область,Родионово-Несветайский,Глинки,х,84,47.5616666666667,39.5936111111111,26
Ростовская область,Азовский,Новоалександровка,х,2198,47.0791666666667,39.5083333333333,55
Ростовская область,Азовский,Левобережный,х,234,46.9569444444444,39.6313888888889,63
Ростовская область,Красносулинский,Большая Федоровка,х,815,47.9730555555556,40.3627777777778,62
Ростовская область,Азовский,Зеленый Мыс,х,132,46.9833333333333,39.5219444444444,64
Ростовская область,Багаевский,Верхнеянченков,х,410,47.3180555555556,40.5419444444444,50
Ростовская область,Аксайский,Реконструктор,п,1850,47.3044444444444,39.9430555555556,21
Ростовская область,Зерноградский,Новоалександровский,х,83,46.62,40.2758333333333,100
Ростовская область,Азовский,Пешково,с,3816,47.0180555555556,39.3919444444444,66
Ростовская область,Октябрьский,Новозарянский,п,965,47.6680555555556,40.4313888888889,42
Ростовская область,Багаевский,Отрадный,п,1495,47.1255555555556,40.4622222222222,57
Ростовская область,Аксайский,Веселый,х,309,47.4619444444444,40.0008333333333,6
Ростовская область,Октябрьский,Равнинный,п,351,47.8516666666667,40.5997222222222,64
Краснодарский край,Кущёвский район,Серебрянка,х,97,46.7258333333333,40.0908333333333,86
Ростовская область,Кагальницкий,Лугань,х,78,46.8805555555556,39.905,68
Ростовская область,Зерноградский,Каменный,х,383,46.7730555555556,40.3083333333333,85
Ростовская область,Веселовский,Чаканиха,п,887,47.2763888888889,40.8252777777778,72
Ростовская область,Белокалитвинский,Наумов,х,75,48.0436111111111,40.8713888888889,93
Ростовская область,Зерноградский,Кленовый,п,612,46.8494444444444,40.3652777777778,79
Ростовская область,Веселовский,Цугейкин,х,38,47.2263888888889,40.9005555555556,79
Ростовская область,Октябрьский,Новогригорьевка,х,520,47.7075,40.0358333333333,25
Ростовская область,Родионово-Несветайский,Бунако-Соколовец,х,242,47.8036111111111,39.6088888888889,41
Краснодарский край,Кущёвский район,Таврическое,с,50,46.6908333333333,39.4825,95
Ростовская область,Красносулинский,Обухов N4,х,360,48.0711111111111,40.3430555555556,71
Ростовская область,Каменский,Акатновка,х,70,48.2897222222222,40.1394444444444,89
Ростовская область,Город Гуково,Гуково,г,66332,48.0583333333333,39.9402777777778,62
Ростовская область,Азовский,Береговой,х,368,47.0436111111111,39.3277777777778,67
Ростовская область,Азовский,Дугино,х,645,47.1577777777778,39.4352777777778,52
Ростовская область,Белокалитвинский,Ольховчик,х,1,48.0894444444444,40.8175,94
Ростовская область,Веселовский,Полевой,п,98,47.2372222222222,40.6541666666667,62
Ростовская область,Кагальницкий,Малиновка,п,501,46.8991666666667,40.1733333333333,68
Ростовская область,Аксайский,Щепкин,п,1526,47.3763888888889,39.7936111111111,16
Ростовская область,Азовский,Чепрасовский,п,211,46.9044444444444,39.195,85
Ростовская область,Красносулинский,Павловка,с,219,47.9311111111111,39.8238888888889,49
Ростовская область,Каменский,Перебойный,х,38,48.2680555555556,40.5291666666667,97
Ростовская область,Кагальницкий,Двуречье,п,1418,46.8494444444444,40.0547222222222,72
Ростовская область,Зерноградский,Зерновой,п,501,46.8338888888889,40.2422222222222,77
Ростовская область,Белокалитвинский,Боярышниковый,п,41,47.98,40.9186111111111,92
Ростовская область,Аксайский,Алитуб,х,460,47.2286111111111,40.1066666666667,32
Ростовская область,Красносулинский,Пригородный,п,903,47.9294444444444,40.0447222222222,49
Ростовская область,Зерноградский,1-й Россошинский,х,1014,46.6825,40.2902777777778,94
Ростовская область,Красносулинский,Чичерино,п,759,48.1369444444444,40.1538888888889,73
Ростовская область,Веселовский,Нижнесоленый,х,903,47.2261111111111,40.7925,71
Краснодарский край,Кущёвский район,Звездочка,х,84,46.7752777777778,39.5725,84
Ростовская область,Зерноградский,Чернышевка,х,1281,46.8805555555556,40.7236111111111,91
Ростовская область,Октябрьский,Мокрый Лог,п,267,47.6619444444444,40.5472222222222,50
Ростовская область,Родионово-Несветайский,Волошино,х,782,47.5147222222222,39.6630555555556,19
Ростовская область,Веселовский,Верхнесоленый,х,1741,47.2377777777778,40.8194444444444,73
Ростовская область,Каменский,Разъезд 201-й км,п,0,48.1783333333333,40.0841666666667,77
Ростовская область,Азовский,Солнечный,п,311,46.8183333333333,39.3358333333333,87
Ростовская область,Октябрьский,Атюхта,п,251,47.775,40.2305555555556,38
Ростовская область,Багаевский,Пустошкин,х,264,47.1825,40.2313888888889,41
Ростовская область,Мясниковский,Хапры,х,931,47.2708333333333,39.4377777777778,44
Ростовская область,Красносулинский,Божковка,х,965,48.13,40.3761111111111,78
Ростовская область,Азовский,Кагальник,с,8446,47.0769444444444,39.3238888888889,64
Ростовская область,Веселовский,Верхний Хомутец,х,270,46.9797222222222,40.7677777777778,85
Ростовская область,Зерноградский,Зерноград,г,18483,46.8494444444444,40.3127777777778,77
Ростовская область,Неклиновский,Любовка,х,164,47.4713888888889,39.1613888888889,57
Ростовская область,Веселовский,Свобода,х,516,47.1838888888889,40.6527777777778,64
Ростовская область,Усть-Донецкий,Виноградный,х,295,47.6544444444444,40.7202777777778,62
Ростовская область,Неклиновский,Некрасовка,х,150,47.3666666666667,39.1119444444444,62
Ростовская область,Мясниковский,Баевка,х,49,47.4805555555556,39.375,41
Ростовская область,Каменский,Аникин,х,201,48.1647222222222,39.9841666666667,74
Ростовская область,Азовский,Еремеевка,х,657,46.9658333333333,39.5536111111111,65
Ростовская область,Неклиновский,Халыбо-Адабашев,х,163,47.3302777777778,39.2080555555556,57
Ростовская область,Красносулинский,Калинов,х,0,48.0580555555556,40.5344444444444,77
Ростовская область,Октябрьский,Интернациональный,п,1360,47.6988888888889,40.1311111111111,27
Ростовская область,Каменский,Плешаков,х,81,48.21,39.965,79
Ростовская область,Азовский,Орловка,с,858,46.7294444444444,39.2152777777778,100
Ростовская область,Зерноградский,Революционный,х,255,46.7291666666667,40.2675,88
Ростовская область,Кагальницкий,Тимошенко,х,6,46.8772222222222,40.0080555555556,68
Ростовская область,Азовский,Харьковский,х,443,46.7944444444444,39.2136111111111,94
Краснодарский край,Кущёвский район,Полтавченское,с,911,46.7288888888889,40.0194444444444,85
Ростовская область,Азовский,Каяльский,п,994,46.8836111111111,39.68,70
Ростовская область,Октябрьский,Костиков,х,493,47.6838888888889,40.3030555555556,35
