регион,район,город,тип,население,широта,долгота,расстояние
Краснодарский край,Апшеронский район,Гуамка,х,316,44.2313888888889,39.9025,87
Краснодарский край,Город-курорт Сочи,Верхнерусское Лоо,с,74,43.7727777777778,39.65,43
Краснодарский край,Город-курорт Сочи,Каткова Щель,с,171,43.8586111111111,39.4158333333333,62
Краснодарский край,Город-курорт Сочи,Семеновка,с,252,43.6408333333333,39.8552777777778,23
Краснодарский край,Туапсинский район,Малое Псеушхо,аул,102,44.1144444444444,39.3027777777778,90
Краснодарский край,Туапсинский район,Папоротный,х,73,44.235,39.3875,98
Краснодарский край,Город-курорт Сочи,Верхняя Хобза,с,561,43.7288888888889,39.5761111111111,43
Краснодарский край,Город-курорт Сочи,Ордынка,с,409,43.6875,39.6875,34
Краснодарский край,Туапсинский район,Дзеберкой,с,156,44.0738888888889,39.1225,96
Краснодарский край,Туапсинский район,Большое Псеушко,аул,161,44.0763888888889,39.3383333333333,85
Краснодарский край,Туапсинский район,Шепси,с,4133,44.0366666666667,39.1447222222222,92
Краснодарский край,Город-курорт Сочи,Лазаревское,п,42843,43.9141666666667,39.3352777777778,71
Краснодарский край,Город-курорт Сочи,Малый Кичмай,аул,205,43.8213888888889,39.4994444444444,55
Краснодарский край,Мостовский район,Бугунжа,п,29,44.0822222222222,40.6519444444444,90
Республика Адыгея,Майкопский район,Каменномостский,п,7097,44.2961111111111,40.1836111111111,96
Краснодарский край,Город-курорт Сочи,Головинка,п,455,43.7938888888889,39.4688888888889,54
Республика Адыгея,Майкопский район,Новопрохладное,с,119,44.1375,40.2866666666667,81
Краснодарский край,Туапсинский район,Греческий,х,218,44.1438888888889,39.1755555555556,99
Краснодарский край,Город-курорт Сочи,Казачий Брод,с,1418,43.505,39.9905555555556,7
Краснодарский край,Город-курорт Сочи,Бзогу,с,68,43.8155555555556,39.7136111111111,45
Республика Адыгея,Майкопский район,Хамышки,с,743,44.0969444444444,40.1311111111111,73
Республика Адыгея,Майкопский район,Веселый,х,10,44.2691666666667,40.2861111111111,95
Краснодарский край,Город-курорт Сочи,Беранда,с,1035,43.7711111111111,39.5258333333333,49
Краснодарский край,Апшеронский район,Горный Луч,х,37,44.3352777777778,39.8022222222222,99
Краснодарский край,Город-курорт Сочи,Краевско-Армянское,с,1819,43.5938888888889,39.8061111111111,20
Краснодарский край,Город-курорт Сочи,Харциз Первый,с,497,43.7952777777778,39.6413888888889,46
Краснодарский край,Город-курорт Сочи,Якорная Щель,с,181,43.7794444444444,39.5136111111111,51
Краснодарский край,Город-курорт Сочи,Ахштырь,с,160,43.51,40.0005555555556,8
Краснодарский край,Мостовский район,Соленое,с,1398,44.0444444444444,40.8830555555556,100
Краснодарский край,Город-курорт Сочи,Монастырь,с,220,43.5905555555556,40.0080555555556,16
Краснодарский край,Город-курорт Сочи,Молдовка,с,2350,43.4547222222222,39.9527777777778,1
Краснодарский край,Апшеронский район,Черниговское,с,2666,44.2511111111111,39.7655555555556,90
Краснодарский край,Город-курорт Сочи,Верхнее Буу,с,904,43.7577777777778,39.5575,47
Краснодарский край,Апшеронский район,Тубы,с,137,44.1136111111111,39.685,77
Краснодарский край,Город-курорт Сочи,Марьино,с,117,43.9388888888889,39.4797222222222,66
