регион,район,город,тип,население,широта,долгота,расстояние
Астраханская область,Енотаевский район,Промысловый,п,32,47.0097222222222,47.4186111111111,92
Астраханская область,Наримановский район,Янго-Аскер,с,241,46.2552777777778,47.6419444444444,28
Астраханская область,Володарский район,Раздор,с,197,46.4105555555556,48.2830555555556,25
Астраханская область,Лиманский район,Баста,с,24,45.7883333333333,47.5136111111111,67
Астраханская область,Наримановский район,Мирный,п,953,46.3752777777778,47.9225,12
Астраханская область,Город Астрахань,Ленинский,р-н,148717,46.3944444444444,48.1066666666667,14
Астраханская область,Володарский район,Плотовинка,п,180,46.2277777777778,48.4963888888889,37
Астраханская область,Камызякский район,Самосделка,с,1233,46.0252777777778,47.84,31
Астраханская область,Володарский район,Сармантаевка,с,155,46.3325,48.7791666666667,59
Астраханская область,Красноярский район,Куянлы,с,2,46.7761111111111,47.9811111111111,54
Астраханская область,Икрянинский район,Восточное,с,661,46.1230555555556,47.6702777777778,31
Астраханская область,Наримановский район,Линейное,с,889,46.2533333333333,47.4144444444444,46
Астраханская область,Харабалинский район,Речное,с,879,46.93,47.6175,78
Астраханская область,Володарский район,Маково,с,1101,46.1697222222222,48.645,50
Астраханская область,Володарский район,Кара-Бирюк,с,0,46.2966666666667,48.5752777777778,43
Астраханская область,Приволжский район,Осыпной Бугор,с,3800,46.2966666666667,48.0530555555556,3
Астраханская область,Город Астрахань,Трусовский,р-н,115208,46.3516666666667,47.9955555555556,7
Астраханская область,Володарский район,Барановка,с,176,46.3738888888889,48.7311111111111,56
Астраханская область,Приволжский район,Эрле,п,106,46.2133333333333,48.04,8
Астраханская область,Камызякский район,Комаровка,с,343,46.1644444444444,47.8833333333333,16
Астраханская область,Приволжский район,Яманцуг,с,479,46.3633333333333,48.2175,18
Астраханская область,Лиманский район,Лиман,рп,8514,45.7819444444444,47.2238888888889,82
Астраханская область,Камызякский район,Гандурино,с,382,45.8586111111111,48.0013888888889,47
Астраханская область,Красноярский район,Досанг,п,740,46.9025,47.9147222222222,69
