регион,район,город,тип,население,широта,долгота,расстояние
Республика Калмыкия,Ики-Бурульский район,Шатта,п,74,45.9175,44.41,51
Республика Калмыкия,Целинный район,Бага-Чонос,п,709,46.7197222222222,44.4197222222222,39
Республика Калмыкия,Яшкульский район,Хогн,п,15,46.2488888888889,45.17,66
Республика Калмыкия,Целинный район,Дубравный,п,16,46.6538888888889,44.4919444444444,33
Республика Калмыкия,Яшкульский район,Хар Толга,п,397,46.1033333333333,45.0983333333333,66
Республика Калмыкия,Приютненский район,Ульдючины,с,706,46.1255555555556,43.7669444444444,51
Республика Калмыкия,Целинный район,Вознесеновка,с,2304,46.2716666666667,44.3619444444444,11
Республика Калмыкия,Целинный район,Ики-Чонос,п,881,46.4197222222222,44.4794444444444,12
Ростовская область,Заветинский,Воротилов,х,251,46.8991666666667,43.9763888888889,64
Республика Калмыкия,Целинный район,Ялмта,п,260,46.5372222222222,44.8963888888889,47
Республика Калмыкия,городской округ Элиста,Салын,п,259,46.36,44.205,9
Ростовская область,Заветинский,Тюльпаны,с,755,46.8255555555556,43.6688888888889,70
Республика Калмыкия,Ики-Бурульский район,Оргакин,п,696,46.1052777777778,44.43,31
Ростовская область,Ремонтненский,Большое Ремонтное,с,714,46.4669444444444,43.8297222222222,39
Ростовская область,Заветинский,Алексеев,х,59,46.9872222222222,43.6494444444444,85
Республика Калмыкия,Кетченеровский район,Новый,п,31,46.9813888888889,45.0763888888889,88
Республика Калмыкия,Ики-Бурульский район,Байр,п,16,45.7891666666667,44.8777777777778,77
Республика Калмыкия,Яшкульский район,Ниицян,п,85,46.5475,45.1347222222222,65
Республика Калмыкия,Целинный район,Могата,п,1,46.5702777777778,44.4958333333333,25
Республика Калмыкия,Яшкульский район,Цаган-Усн,п,436,46.0494444444444,45.2938888888889,83
Ставропольский край,Апанасенковский район,Дивное,с,13400,45.9069444444444,43.3483333333333,91
Ростовская область,Заветинский,Золотое Руно,х,146,46.8516666666667,43.6786111111111,72
Республика Калмыкия,Целинный район,Троицкое,с,12605,46.4158333333333,44.2611111111111,6
Республика Калмыкия,Целинный район,Овата,п,666,46.8519444444444,44.3727777777778,53
Республика Калмыкия,Ики-Бурульский район,Ики-Бурул,п,3836,45.8225,44.6380555555556,66
Ростовская область,Ремонтненский,Вольный,х,125,46.7,43.6077777777778,65
Ростовская область,Заветинский,Федосеевка,с,917,46.8763888888889,44.0122222222222,60
Республика Калмыкия,Целинный район,Ар Нур,п,0,46.7427777777778,44.6580555555556,48
Республика Калмыкия,Приютненский район,Модта,п,99,45.8294444444444,44.0841666666667,63
Ростовская область,Заветинский,Андреев,х,152,47.055,44.1472222222222,76
