регион,район,город,тип,население,широта,долгота,расстояние
Волгоградская область,Калачёвский район,Осиновский,х,58,48.9880555555556,43.3661111111111,75
Волгоградская область,Октябрьский район,Аксай,с,1387,47.9547222222222,43.9638888888889,96
Волгоградская область,Калачёвский район,Голубинская,ст-ца,1129,48.8475,43.5647222222222,57
Волгоградская область,Иловлинский район,Кондраши,с,747,49.4361111111111,44.185,73
Волгоградская область,Иловлинский район,Яблонский,х,54,49.3413888888889,43.5988888888889,82
Волгоградская область,Калачёвский район,Прудбой,п,1080,48.6863888888889,43.9141666666667,33
Волгоградская область,Калачёвский район,Калач-на-Дону,г,24092,48.6927777777778,43.5241666666667,61
Волгоградская область,Ленинский район,Лопушок,х,0,48.5872222222222,45.2122222222222,67
Республика Калмыкия,Малодербетовский район,Васильев,х,3,48.0477777777778,44.6527777777778,84
Волгоградская область,Иловлинский район,Стародонской,х,24,49.3355555555556,43.7097222222222,76
Волгоградская область,Городищенский район,Ерзовка,рп,6407,48.9316666666667,44.635,26
Волгоградская область,Светлоярский район,Барбаши,х,18,48.5161111111111,44.7441666666667,41
Волгоградская область,Среднеахтубинский район,Краснослободск,г,18817,48.7066666666667,44.5630555555556,18
Волгоградская область,Калачёвский район,Братский,х,324,48.4058333333333,43.6269444444444,67
Волгоградская область,Октябрьский район,Каменка,с,275,47.9905555555556,43.8080555555556,96
Волгоградская область,Калачёвский район,Приканальный,п,363,48.6675,43.8205555555556,40
Волгоградская область,Светлоярский район,Солянка,с,234,48.4227777777778,44.4288888888889,40
Астраханская область,Черноярский район,Солодники,с,1555,48.4069444444444,45.2791666666667,80
Волгоградская область,Среднеахтубинский район,Великий Октябрь,п,634,48.66,44.7286111111111,31
Волгоградская область,Урюпинский район,Степной,х,10,48.5816666666667,43.7930555555556,46
Волгоградская область,Среднеахтубинский район,Максима Горького,п,335,48.6316666666667,44.9177777777778,45
Волгоградская область,Калачёвский район,Мариновка,с,1173,48.6925,43.8322222222222,38
Волгоградская область,Среднеахтубинский район,Тумак,х,365,48.6263888888889,44.6202777777778,26
Волгоградская область,Дубовский район,Петропаловка,с,60,49.45,44.5166666666667,75
Волгоградская область,Светлоярский район,Абганерово,ж/д_ст,747,48.1391666666667,44.1125,73
