регион,район,город,тип,население,широта,долгота,расстояние
Челябинская область,Красноармейский район,Сычево,д,291,55.3038888888889,61.6336111111111,8
Челябинская область,Еткульский район,Еманжелинка,с,4474,54.8019444444444,61.2977777777778,57
Челябинская область,Увельский район,Марково,д,42,54.4261111111111,61.5466666666667,97
Челябинская область,Еткульский район,Грознецкий,п,124,54.6430555555556,61.5555555555556,73
Челябинская область,Челябинский,Федоровка,пгт,3951,55.0844444444444,61.3377777777778,26
Челябинская область,Кунашакский район,Махмутова,д,164,55.9408333333333,62.1152777777778,80
Челябинская область,Сосновский район,Мичурино,д,271,54.9311111111111,61.1336111111111,47
Челябинская область,Сосновский район,Рощино,п,7590,55.3105555555556,61.2633333333333,15
Челябинская область,Кунашакский район,Канзафарова,д,147,55.7561111111111,61.4905555555556,50
Челябинская область,Сосновский район,Биргильда,п,199,55.0066666666667,60.9675,47
Челябинская область,Кунашакский район,Урукуль,с,202,55.8311111111111,61.3041666666667,59
Челябинская область,Сосновский район,Томино,д,103,54.9152777777778,61.2438888888889,46
Челябинская область,Аргаяшский район,Комсомольский,п,89,55.5641666666667,60.94,45
Челябинская область,Аргаяшский район,Камышевка,д,843,55.3733333333333,60.9358333333333,36
Челябинская область,Чебаркульский район,Камбулат,д,222,54.8502777777778,60.5677777777778,78
Челябинская область,Копейский,Заозерный,п,393,55.0113888888889,61.5569444444444,32
Челябинская область,Сосновский район,Туктубаево,с,642,55.1033333333333,60.8886111111111,45
Челябинская область,Кунашакский район,Кырмыскалы,д,15,55.7880555555556,61.1697222222222,57
Челябинская область,Кунашакский район,Сураково,д,349,55.4925,61.6016666666667,21
Челябинская область,Кунашакский район,Аширово,с,242,55.9319444444444,62.0975,79
Челябинская область,Чебаркульский район,Барсуки,д,200,54.8461111111111,60.6405555555556,75
Челябинская область,Сосновский район,Архангельское,с,919,54.9319444444444,60.9919444444444,52
Курганская область,Сафакулевский район,Бикбирды,д,149,54.8805555555556,62.4,74
Челябинская область,Сосновский район,Малиновка,д,518,55.0958333333333,61.1897222222222,30
Челябинская область,Красноармейский район,Устьянцево,с,263,55.3483333333333,62.0313888888889,33
Челябинская область,Коркинский район,Коркино,г,34967,54.8925,61.3930555555556,46
Челябинская область,Сосновский район,Смольное,д,476,55.5544444444444,61.2886111111111,30
Челябинская область,Чебаркульский район,Запивалово,д,186,54.9669444444444,60.62,67
Челябинская область,Каслинский район,Кульмяково,д,3,55.9661111111111,61.3127777777778,74
Челябинская область,Красноармейский район,Лазурный,п,1890,55.3566666666667,61.6869444444444,12
Челябинская область,Красноармейский район,Разъезд N6,п,51,55.3975,61.5827777777778,11
Челябинская область,Чебаркульский район,Бишкиль,п,1978,54.9830555555556,60.7561111111111,59
Челябинская область,Каслинский район,Кабанское,с,21,56.1377777777778,61.7388888888889,93
Челябинская область,Кунашакский район,Малый Кунашак,д,119,55.7427777777778,61.1183333333333,54
Челябинская область,Увельский район,Петровское,с,826,54.5019444444444,61.8611111111111,92
Челябинская область,Сосновский район,Вознесенка,с,1190,54.9902777777778,61.365,36
Челябинская область,Красноармейский район,Круглое,д,357,55.2475,61.5275,6
Челябинская область,Чебаркульский район,Ключи,п,476,55.0133333333333,60.7661111111111,57
Челябинская область,Кунашакский район,Муслюмово,с,3306,55.605,61.6252777777778,34
Челябинская область,Увельский район,Березовка,п,834,54.5305555555556,61.1797222222222,88
Челябинская область,Аргаяшский район,Метелева,д,640,55.3497222222222,60.9986111111111,32
Челябинская область,Сосновский район,Мирный,п,1835,55.3186111111111,61.0788888888889,26
Челябинская область,Чебаркульский район,Калиновка,д,12,54.7225,60.6258333333333,85
Челябинская область,Аргаяшский район,Новая Соболева,д,779,55.5025,61.0102777777778,38
Челябинская область,Красноармейский район,Сосново,д,46,55.4827777777778,62.3452777777778,56
Челябинская область,Кунашакский район,Новобурино,с,1625,55.9827777777778,61.6491666666667,75
Челябинская область,Копейский,Горняк,рп,0,55.1322222222222,61.6783333333333,22
Челябинская область,Каслинский район,Багаряк,с,1370,56.2058333333333,61.5027777777778,100
Челябинская область,Копейский,Старокамышинск,рп,0,55.0619444444444,61.5219444444444,27
Челябинская область,Сосновский район,Ключевка,д,732,55.3477777777778,61.2897222222222,14
Челябинская область,Кунашакский район,Муслюмово,ж/д_ст,87,55.5858333333333,61.5975,31
Челябинская область,Каслинский район,Булзи,с,679,56.0866666666667,61.0880555555556,90
Челябинская область,Красноармейский район,Адищево,д,8,55.1941666666667,61.9547222222222,31
Челябинская область,Чебаркульский район,Каратаново,д,372,54.8452777777778,60.7855555555556,68
Челябинская область,Кунашакский район,Каракульмяк,д,46,55.6344444444444,61.4363888888889,36
Челябинская область,Сосновский район,Терема,п,49,55.1886111111111,61.2486111111111,20
Челябинская область,Челябинский,Смолино,п,3600,55.0747222222222,61.4033333333333,26
Челябинская область,Красноармейский район,Степной,п,0,55.2908333333333,61.5722222222222,4
Курганская область,Щучанский район,Косулино,д,214,55.3261111111111,62.3327777777778,52
Челябинская область,Аргаяшский район,Сыргайды,д,92,55.5083333333333,60.7363888888889,53
Челябинская область,Сосновский район,Большое Таскино,д,334,55.6372222222222,61.3111111111111,38
Челябинская область,Аргаяшский район,Каракульмяк,д,4,55.515,60.8683333333333,46
Челябинская область,Аргаяшский район,Большая Ультракова,д,57,55.4361111111111,60.8319444444444,44
Челябинская область,Сосновский район,Саргазы,п,2242,55.0222222222222,61.2508333333333,35
Челябинская область,Красноармейский район,Мирный,п,2200,55.2513888888889,61.7338888888889,15
Челябинская область,Сосновский район,Ужевка,д,510,55.3194444444444,61.2538888888889,15
Челябинская область,Красноармейский район,Кошкуль,д,0,55.6802777777778,61.9261111111111,49
Челябинская область,Красноармейский район,Ханжино,с,328,55.075,61.9372222222222,37
Челябинская область,Увельский район,Михири,п,198,54.6391666666667,61.0986111111111,78
Челябинская область,Еткульский район,Лебедевка,с,537,54.7175,61.9616666666667,71
Челябинская область,Красноармейский район,Усольцево,д,323,55.6255555555556,62.0336111111111,48
Челябинская область,Аргаяшский район,Илимбетова,д,476,55.4641666666667,61.2338888888889,24
Челябинская область,Кунашакский район,Усть-Багаряк,с,824,56.1388888888889,61.8738888888889,95
Челябинская область,Кунашакский район,Татарская Караболка,с,380,55.9452777777778,61.1780555555556,74
Челябинская область,Челябинский,Миасский,п,1630,55.2358333333333,61.3430555555556,12
Челябинская область,Каслинский район,Огневское,с,553,56.1088888888889,61.5191666666667,89
Челябинская область,Кунашакский район,Юлдашева,д,428,55.8972222222222,61.3641666666667,66
Курганская область,Сафакулевский район,Карасево,с,337,55.0519444444444,62.3727777777778,62
Челябинская область,Аргаяшский район,Кулукаева,д,62,55.1758333333333,60.6866666666667,53
Курганская область,Сафакулевский район,Сарт-Абдрашево,с,774,54.7766666666667,62.2486111111111,75
Челябинская область,Кунашакский район,Баракова,д,236,55.7577777777778,61.8175,54
Челябинская область,Аргаяшский район,Передовик,п,45,55.5086111111111,60.7,55
Челябинская область,Кыштымский,Анбашская,п,27,55.6427777777778,60.5377777777778,71
Челябинская область,Сосновский район,Серозак,рзд,45,55.0522222222222,61.3166666666667,30
Курганская область,Сафакулевский район,Бурматово,д,77,54.7669444444444,62.4475,85
Челябинская область,Аргаяшский район,Норкино,д,370,55.5061111111111,60.92,43
Челябинская область,Еткульский район,Еткуль,с,6740,54.8230555555556,61.5833333333333,53
Челябинская область,Аргаяшский район,Разъезд N89,п,20,55.5294444444444,60.8027777777778,50
Челябинская область,Кунашакский район,Прибрежный,п,82,55.7975,61.2694444444444,56
Челябинская область,Каслинский район,Аллаки,д,278,56.0016666666667,60.9761111111111,84
Челябинская область,Сосновский район,Трубный,п,1189,55.1133333333333,60.9677777777778,40
Челябинская область,Увельский район,Хомутинино,с,1431,54.5438888888889,61.4402777777778,84
Челябинская область,Увельский район,Формачево,ст,345,54.5311111111111,61.3061111111111,87
Челябинская область,Аргаяшский район,Марксист,д,103,55.2088888888889,60.7675,48
Челябинская область,Сосновский район,Есаульский,п,2779,55.3002777777778,61.2166666666667,18
Челябинская область,Красноармейский район,Сугояк,с,834,55.7347222222222,62.0655555555556,59
Челябинская область,Чебаркульский район,Нижние Караси,д,254,55.1311111111111,60.5491666666667,63
Челябинская область,Сосновский район,Этимганова,д,208,55.5019444444444,61.3711111111111,23
Челябинская область,Челябинский,Аэропорт,п,2317,55.2883333333333,61.5155555555556,2
Челябинская область,Копейский,Октябрьский,рп,0,54.9905555555556,61.4758333333333,35
Челябинская область,Сосновский район,Таловка,д,186,55.0705555555556,61.3005555555556,29
Челябинская область,Красноармейский район,Лесной,п,473,55.2458333333333,61.9261111111111,27
Челябинская область,Аргаяшский район,Буланцы,д,213,55.3288888888889,60.8269444444444,43
Челябинская область,Кыштымский,Кыштым,г,37480,55.7061111111111,60.5563888888889,74
Челябинская область,Аргаяшский район,Селяева,д,353,55.3802777777778,60.8616666666667,41
Челябинская область,Увельский район,Каштак,д,0,54.5422222222222,61.8266666666667,87
Курганская область,Сафакулевский район,Петровка,д,19,54.8305555555556,62.4466666666667,80
Челябинская область,Красноармейский район,Шибаново,д,30,55.405,61.9211111111111,28
Челябинская область,Чебаркульский район,Ключевка 2-я,д,340,54.7130555555556,60.5066666666667,91
Челябинская область,Еткульский район,Назарово,д,194,54.8325,61.7780555555556,55
Челябинская область,Красноармейский район,Фроловка,д,410,55.1108333333333,61.8716666666667,31
Челябинская область,Кунашакский район,Алифкулова,д,90,55.9291666666667,62.1133333333333,79
Челябинская область,Еткульский район,Новобаландино,д,134,54.5911111111111,61.7438888888889,81
Челябинская область,Кунашакский район,Кулужбаева,д,53,55.8983333333333,61.3425,66
Челябинская область,Коркинский район,Станция Дубровка,нп,787,54.9419444444444,61.3197222222222,42
Челябинская область,Красноармейский район,Межевой,п,11,55.4352777777778,61.9138888888889,29
Челябинская область,Еткульский район,Кораблево,д,150,54.6297222222222,62.0822222222222,83
Челябинская область,Аргаяшский район,Башакуль,п,230,55.6861111111111,61.1936111111111,46
Челябинская область,Красноармейский район,Пашнино 1-е,д,310,55.3916666666667,61.7375,17
Челябинская область,Сосновский район,Малая Сосновка,п,201,55.0605555555556,61.2875,30
Челябинская область,Еткульский район,Николаевка,д,270,54.6544444444444,61.8486111111111,75
Курганская область,Щучанский район,Яковлевка,д,104,55.1494444444444,62.3594444444444,57
