регион,район,город,тип,население,широта,долгота,расстояние
Челябинская область,Агаповский район,Урпек,п,1,53.1741666666667,59.25,41
Челябинская область,Агаповский район,Кировский,п,244,53.2116666666667,59.5888888888889,59
Челябинская область,Кизильский район,Березки,п,210,52.9208333333333,59.4847222222222,71
Челябинская область,Агаповский район,Малиновка,п,412,53.31,59.2691666666667,35
Республика Башкортостан,Абзелиловский,Аслаево,д,374,53.8538888888889,58.8172222222222,51
Республика Башкортостан,Белорецкий,Уткалево,с,615,53.7744444444444,58.2366666666667,54
Республика Башкортостан,Абзелиловский,Ишкулово,с,929,53.1647222222222,58.5461111111111,29
Республика Башкортостан,Баймакский,Ишей,с,264,52.9583333333333,57.8483333333333,77
Республика Башкортостан,Баймакский,Баймак,г,20044,52.5913888888889,58.3111111111111,94
Челябинская область,Агаповский район,Базарский,п,226,53.0927777777778,59.34,51
Челябинская область,Кизильский район,Каменка,п,159,52.5102777777778,58.9616666666667,99
Челябинская область,Агаповский район,Черноотрог,п,203,53.16,59.1380555555556,36
Республика Башкортостан,Белорецкий,Кагарманово,д,332,53.6380555555556,57.79,69
Республика Башкортостан,Абзелиловский,Новобалапаново,д,325,53.7447222222222,58.7513888888889,39
Челябинская область,Кизильский район,Чернышевский,п,127,52.6391666666667,58.8258333333333,84
Челябинская область,Кизильский район,Целинный,п,167,52.7313888888889,59.4,85
Республика Башкортостан,Абзелиловский,Селивановский,д,169,53.39,58.695,4
Республика Башкортостан,Баймакский,Тактагулово,д,1,53.0072222222222,58.3986111111111,49
Челябинская область,Кизильский район,Измайловский,п,947,52.6613888888889,59.3094444444444,89
Республика Башкортостан,Абзелиловский,Абзелилово,д,318,53.4677777777778,58.6611111111111,10
Челябинская область,Нагайбакский район,Подгорный,п,142,53.7194444444444,59.4327777777778,57
Республика Башкортостан,Абзелиловский,Саиткулово,д,142,53.4377777777778,58.3127777777778,29
Челябинская область,Агаповский район,Наваринка,п,761,53.2883333333333,59.4138888888889,45
Республика Башкортостан,Абзелиловский,Баимово,с,1215,53.7311111111111,58.8438888888889,38
Республика Башкортостан,Абзелиловский,Ярлыкапово,д,104,53.2616666666667,58.4441666666667,25
Республика Башкортостан,Абзелиловский,Кулукасово,д,75,53.2830555555556,58.4230555555556,25
Республика Башкортостан,Абзелиловский,Тупаково,д,1006,53.4402777777778,58.6583333333333,8
Челябинская область,Агаповский район,Янгельский,п,1239,53.1255555555556,58.9833333333333,33
Республика Башкортостан,Баймакский,Абзаково,д,143,52.8033333333333,58.4963888888889,67
Челябинская область,Кизильский район,Карабулак,п,567,52.8927777777778,59.155,61
Челябинская область,Агаповский район,Верхнекизильское,с,633,53.5391666666667,59.0738888888889,26
Республика Башкортостан,Абзелиловский,Теляшево,д,115,53.6622222222222,58.6461111111111,30
Республика Башкортостан,Абзелиловский,Ишкильдино,д,305,53.4297222222222,58.2838888888889,31
Челябинская область,Кизильский район,Ерлыгас,п,106,52.5791666666667,59.2566666666667,96
Республика Башкортостан,Баймакский,Татлыбаево,с,318,52.5730555555556,58.5977777777778,91
Республика Башкортостан,Белорецкий,Черный Ключ,с,31,54.2847222222222,58.7380555555556,99
Челябинская область,Кизильский район,Новый Кондуровский,п,180,52.5997222222222,59.4163888888889,98
Челябинская область,Агаповский район,Агаповка,с,6571,53.3027777777778,59.1405555555556,27
Республика Башкортостан,Абзелиловский,Тепяново,д,289,53.1427777777778,58.5513888888889,31
Республика Башкортостан,Баймакский,Уметбаево,д,512,53.1302777777778,58.1841666666667,48
Челябинская область,Верхнеуральский район,Ложкина,д,226,54.0688888888889,59.3086111111111,83
Республика Башкортостан,Абзелиловский,Кирдасово,с,625,53.2247222222222,58.2597222222222,37
Республика Башкортостан,Абзелиловский,Утяганово,д,397,53.395,58.3152777777778,29
Республика Башкортостан,Учалинский,Мусино,д,84,54.115,58.9191666666667,81
Челябинская область,Агаповский район,Наровчатка,п,1835,53.2858333333333,59.0925,25
Республика Башкортостан,Учалинский,Кильмяково,д,332,54.0366666666667,58.7947222222222,71
Республика Башкортостан,Бурзянский,Малый Кипчак,д,85,53.2863888888889,57.7844444444444,65
Челябинская область,Нагайбакский район,Александро-Невский,п,143,53.3811111111111,59.7363888888889,65
Республика Башкортостан,Абзелиловский,Таксырово,д,201,53.2366666666667,58.6563888888889,18
Челябинская область,Нагайбакский район,Куропаткинский,п,290,53.7575,59.6677777777778,72
Челябинская область,Нагайбакский район,Кассельский,п,879,53.8002777777778,59.5697222222222,70
Челябинская область,Агаповский район,Зингейка,п,367,53.1091666666667,59.2769444444444,47
Республика Башкортостан,Баймакский,Аминево,д,285,52.9702777777778,58.0769444444444,65
Республика Башкортостан,Учалинский,Сураманово,д,240,54.0227777777778,59.0072222222222,72
Челябинская область,Кизильский район,Кизильское,с,6196,52.7227777777778,58.8997222222222,75
Республика Башкортостан,Белорецкий,Яндек,д,17,53.9152777777778,58.1177777777778,71
Челябинская область,Агаповский район,Южный,п,166,53.1205555555556,59.4555555555556,55
Челябинская область,Агаповский район,Муравейник,п,223,53.4897222222222,59.2911111111111,37
Республика Башкортостан,Баймакский,Калинино,д,342,52.7141666666667,58.7513888888889,75
Республика Башкортостан,Баймакский,Верхнеяикбаево,д,293,52.7752777777778,58.0030555555556,85
Республика Башкортостан,Баймакский,Культабан,д,256,52.6261111111111,58.7011111111111,85
Челябинская область,Нагайбакский район,Арсламбаевский,п,213,53.5436111111111,59.6044444444444,58
Республика Башкортостан,Белорецкий,Шигаево,с,964,53.8041666666667,58.2008333333333,58
Республика Башкортостан,Абзелиловский,Целинный,с,1404,53.0233333333333,58.7327777777778,41
Республика Башкортостан,Баймакский,Ахмерово,д,514,52.8311111111111,58.5283333333333,64
Республика Башкортостан,Абзелиловский,Первомайский,д,319,53.2377777777778,58.8544444444444,18
Челябинская область,Нагайбакский район,Петровский,п,313,53.5938888888889,59.5638888888889,58
Республика Башкортостан,Абзелиловский,Кордон Крутой Лог,нп,0,53.4205555555556,58.1355555555556,41
Челябинская область,Верхнеуральский район,Урлядинский,п,370,54.0266666666667,59.4202777777778,83
Челябинская область,Агаповский район,Черниговский,п,835,53.2519444444444,59.6813888888889,63
Республика Башкортостан,Абзелиловский,Бурангулово,с,773,53.4727777777778,58.3491666666667,28
Республика Башкортостан,Баймакский,Буранбаево,д,348,52.6391666666667,57.9975,98
Челябинская область,Верхнеуральский район,Каширинский,х,5,53.795,59.1458333333333,51
Республика Башкортостан,Баймакский,Тубинский,с,3109,52.8877777777778,58.2172222222222,66
Республика Башкортостан,Баймакский,Мерясово,с,675,52.6827777777778,58.3166666666667,84
Челябинская область,Кизильский район,Пролетарка,п,142,52.755,58.915,71
Челябинская область,Магнитогорский,Магнитогорск,г,418241,53.4072222222222,58.9791666666667,14
Республика Башкортостан,Абзелиловский,Красная Башкирия,с,1935,53.3858333333333,58.8433333333333,5
Республика Башкортостан,Баймакский,Старый Сибай,с,2910,52.7047222222222,58.5730555555556,77
Республика Башкортостан,Белорецкий,Азикеево,с,462,53.9308333333333,58.2286111111111,69
Челябинская область,Агаповский район,Алексеевский,п,236,53.1352777777778,59.7236111111111,70
Челябинская область,Агаповский район,Воздвиженка,п,248,53.0741666666667,59.0133333333333,39
Челябинская область,Агаповский район,Вперед,п,57,53.2161111111111,59.5247222222222,54
Республика Башкортостан,Абзелиловский,Юлдашево,д,257,53.2858333333333,58.6105555555556,15
Челябинская область,Верхнеуральский район,Самарский,п,230,54.0022222222222,59.2472222222222,75
Республика Башкортостан,Баймакский,Галеево,д,10,52.6427777777778,58.4547222222222,85
Республика Башкортостан,Баймакский,Актау,д,164,52.5711111111111,58.1736111111111,99
Челябинская область,Кизильский район,Симбирка,п,183,52.7025,59.1963888888889,82
Республика Башкортостан,Баймакский,Бетеря,д,225,53.06,57.9402777777778,65
Челябинская область,Агаповский район,Харьковский,п,420,53.2202777777778,59.1055555555556,30
Челябинская область,Верхнеуральский район,Малый Бугодак,п,125,53.8147222222222,58.9747222222222,49
Челябинская область,Агаповский район,Новобурановка,с,833,53.3433333333333,59.5033333333333,50
Республика Башкортостан,Белорецкий,Серменево,с,2233,53.875,58.0963888888889,69
Республика Башкортостан,Абзелиловский,Ахметово,д,111,53.2311111111111,58.1808333333333,42
Республика Башкортостан,Абзелиловский,Искужино,д,122,53.1880555555556,58.4294444444444,31
Республика Башкортостан,Баймакский,Файзуллино,д,0,52.5886111111111,58.4452777777778,91
Челябинская область,Кизильский район,Первомайка,п,161,52.9688888888889,59.1488888888889,54
Челябинская область,Кизильский район,Александровский,п,111,52.655,59.5369444444444,97
Республика Башкортостан,Абзелиловский,Биккулово,д,202,53.6580555555556,58.7019444444444,29
Челябинская область,Агаповский район,Магнитный,п,1320,53.2041666666667,59.5275,55
Республика Башкортостан,Учалинский,Малоказаккулово,д,185,54.0555555555556,58.945,74
Челябинская область,Кизильский район,Прудный,п,88,52.8141666666667,59.5813888888889,84
Республика Башкортостан,Баймакский,Темясово,с,3683,52.9838888888889,58.1255555555556,62
Челябинская область,Агаповский район,Озерный,п,499,53.375,59.2316666666667,31
Челябинская область,Агаповский район,Аблязово,п,399,53.2211111111111,59.1772222222222,34
Республика Башкортостан,Учалинский,Суяргулово,д,120,54.0861111111111,58.9877777777778,78
Республика Башкортостан,Сибай,Туяляс,с,1033,52.8455555555556,58.6672222222222,61
Челябинская область,Верхнеуральский район,Сабановский,п,74,53.6222222222222,59.3455555555556,46
Республика Башкортостан,Учалинский,Кутуево,д,198,54.1752777777778,59.0347222222222,88
Республика Башкортостан,Белорецкий,Дачная,д,21,53.8922222222222,58.1536111111111,68
Республика Башкортостан,Абзелиловский,Северный,д,214,53.1280555555556,58.7891666666667,29
Республика Башкортостан,Абзелиловский,Альмухаметово,д,550,53.0208333333333,58.6919444444444,41
Республика Башкортостан,Абзелиловский,Покровка,д,200,53.6125,58.8175,24
Республика Башкортостан,Белорецкий,Дубинино,с,46,54.0369444444444,57.7811111111111,96
Челябинская область,Кизильский район,Браиловский,п,259,53.0216666666667,59.3847222222222,58
Республика Башкортостан,Баймакский,Кусеево,с,430,52.9844444444444,58.4236111111111,50
Республика Башкортостан,Абзелиловский,Атавды,д,419,53.1841666666667,58.7019444444444,23
Республика Башкортостан,Баймакский,2-е Туркменево,д,108,52.8544444444444,58.4919444444444,62
Республика Башкортостан,Белорецкий,Кузгун-Ахмерово,д,313,53.9922222222222,58.245,74
Челябинская область,Агаповский район,Гумбейка,ж/д_ст,476,53.3288888888889,59.4419444444444,46
Республика Башкортостан,Абзелиловский,Елимбетово,д,376,53.5086111111111,58.6619444444444,14
Республика Башкортостан,Абзелиловский,Геологоразведка,д,342,53.6127777777778,58.6761111111111,25
Республика Башкортостан,Баймакский,Янзигитово,д,337,52.6194444444444,58.5916666666667,86
Челябинская область,Кизильский район,Полоцкое,с,1017,52.7677777777778,59.7066666666667,94
Челябинская область,Верхнеуральский район,Эстонский,п,249,53.9033333333333,59.4416666666667,72
Челябинская область,Нагайбакский район,Чернореченский,п,209,53.7297222222222,59.5122222222222,62
Республика Башкортостан,Белорецкий,Тихий Ключ,д,2,53.9586111111111,57.845,87
Республика Башкортостан,Баймакский,Мукасово 1-е,д,112,52.7911111111111,58.6255555555556,67
Республика Башкортостан,Абзелиловский,Равилово,д,428,53.2094444444444,58.5230555555556,25
Челябинская область,Кизильский район,Гранитный,п,935,52.9747222222222,58.9672222222222,48
Республика Башкортостан,Абзелиловский,Идяш-Кускарово,д,130,53.2380555555556,58.4969444444444,24
Республика Башкортостан,Абзелиловский,Калмаково,д,31,53.1511111111111,58.4513888888889,33
Республика Башкортостан,Белорецкий,Катарыш,д,18,53.6822222222222,58.0247222222222,58
Республика Башкортостан,Белорецкий,Отнурок,д,2,54.0472222222222,58.3277777777778,78
Республика Башкортостан,Белорецкий,Кадыш,д,89,53.9186111111111,58.1819444444444,69
Республика Башкортостан,Абзелиловский,Большегабдиново,д,180,53.7447222222222,58.8180555555556,39
Республика Башкортостан,Белорецкий,Ишля,с,320,53.8991666666667,57.8016666666667,84
Челябинская область,Кизильский район,Чапаевский,п,140,52.8294444444444,59.6963888888889,88
Республика Башкортостан,Абзелиловский,Станции Альмухаметово,д,306,53.0138888888889,58.7694444444444,42
Республика Башкортостан,Баймакский,Кожзавода,д,129,52.98,58.0838888888889,64
Республика Башкортостан,Абзелиловский,Давлетшино,д,166,53.1941666666667,58.6277777777778,23
Челябинская область,Верхнеуральский район,Нововоронинский,п,235,53.7594444444444,59.3008333333333,54
Республика Башкортостан,Баймакский,Баимово,д,501,52.865,57.9955555555556,77
Республика Башкортостан,ЗАТО город Межгорье,Межгорье,г,15861,54.0580555555556,57.8311111111111,95
Челябинская область,Агаповский район,Заречный,п,43,53.3183333333333,59.5025,50
Республика Башкортостан,Учалинский,Каипкулово,д,96,54.1083333333333,59.0080555555556,81
Республика Башкортостан,Баймакский,Куянтаево,с,914,52.6644444444444,58.1797222222222,89
Республика Башкортостан,Учалинский,Истамгулово,д,245,54.14,59.1666666666667,87
Республика Башкортостан,Абзелиловский,Туишево,д,475,53.7163888888889,58.8325,36
Челябинская область,Кизильский район,Грязнушинский,п,243,52.5486111111111,58.9638888888889,95
Челябинская область,Агаповский район,Урожайный,п,326,53.4575,59.2855555555556,35
Челябинская область,Кизильский район,Новый,п,96,52.8455555555556,59.3252777777778,71
Челябинская область,Кизильский район,Сыртинский,п,1380,52.9072222222222,58.8888888888889,54
Республика Башкортостан,Белорецкий,Азналкино,с,522,53.9263888888889,58.1505555555556,71
Республика Башкортостан,Абзелиловский,Ташбулатово,с,1377,53.6216666666667,58.7011111111111,25
Челябинская область,Нагайбакский район,Требиятский,п,181,53.4113888888889,59.5952777777778,55
Челябинская область,Агаповский район,Буранная,ж/д_ст,922,53.3927777777778,59.3111111111111,36
Республика Башкортостан,Баймакский,Верхнетагирово,д,148,53.0483333333333,58.18,54
Республика Башкортостан,Абзелиловский,Шарипово,д,224,53.5863888888889,58.1238888888889,47
Челябинская область,Нагайбакский район,Березовая Роща,п,256,53.5588888888889,59.4927777777778,52
Республика Башкортостан,Баймакский,Бекешево,с,463,52.7408333333333,58.0791666666667,85
Челябинская область,Верхнеуральский район,Верхнеуральск,г,9312,53.8761111111111,59.2169444444444,61
Республика Башкортостан,Белорецкий,Сосновка,с,902,53.8569444444444,58.2908333333333,60
Республика Башкортостан,Белорецкий,Карагайлы,д,3,53.9852777777778,58.5805555555556,66
Республика Башкортостан,Бурзянский,Кулганино,д,306,53.3636111111111,57.9461111111111,53
Республика Башкортостан,Абзелиловский,Нижнее Абдряшево,д,67,52.9355555555556,58.7630555555556,50
Республика Башкортостан,Баймакский,Саксай,д,0,53.0386111111111,58.0252777777778,62
Республика Башкортостан,Баймакский,Верхнеидрисово,д,368,52.9488888888889,58.0825,66
Республика Башкортостан,Абзелиловский,Таштуй,д,620,53.3341666666667,58.7791666666667,6
Республика Башкортостан,Баймакский,Бахтигареево,д,48,52.7511111111111,58.2763888888889,78
Республика Башкортостан,Белорецкий,Узянбаш,с,964,53.6827777777778,58.2438888888889,46
Челябинская область,Нагайбакский район,Нагайбакский,п,751,53.5461111111111,59.5336111111111,54
Челябинская область,Агаповский район,Первомайский,п,1320,53.3180555555556,59.3811111111111,42
Челябинская область,Кизильский район,Соколки,п,105,52.6008333333333,58.9647222222222,89
Челябинская область,Верхнеуральский район,Тайсара,п,395,53.7002777777778,58.9097222222222,35
Республика Башкортостан,Абзелиловский,Кужаново,д,289,53.4483333333333,58.5744444444444,13
Челябинская область,Верхнеуральский район,Смеловский,п,652,53.5961111111111,58.8591666666667,23
Республика Башкортостан,Баймакский,Нижнетагирово,д,488,53.0380555555556,58.1655555555556,55
Республика Башкортостан,Белорецкий,Белорецк,г,65801,53.9675,58.41,67
Республика Башкортостан,Белорецкий,Сатра,д,15,53.9311111111111,58.0525,75
Республика Башкортостан,Абзелиловский,Самарское,д,175,53.5222222222222,58.7302777777778,14
Челябинская область,Агаповский район,Утарка,п,128,53.1427777777778,59.3597222222222,48
Республика Башкортостан,Абзелиловский,Булатово,д,181,53.0527777777778,58.6677777777778,38
Республика Башкортостан,Баймакский,Покровка,д,69,52.5580555555556,58.8183333333333,93
Республика Башкортостан,Абзелиловский,Салаватово,д,363,53.4672222222222,58.5780555555556,14
Челябинская область,Кизильский район,Увальский,п,514,52.8108333333333,58.8913888888889,65
Республика Башкортостан,Абзелиловский,Кусимовского рудника,с,178,53.6072222222222,58.6552777777778,24
Челябинская область,Агаповский район,Пещерная,ж/д_ст,30,53.2516666666667,58.8991666666667,18
Республика Башкортостан,Абзелиловский,Махмутово,д,485,53.1180555555556,58.5413888888889,33
Республика Башкортостан,Белорецкий,Урал-тау,с,48,53.9777777777778,58.5747222222222,66
Республика Башкортостан,Абзелиловский,Ниязгулово,д,157,53.7030555555556,58.7269444444444,34
Республика Башкортостан,Абзелиловский,Янги-Аул,д,337,53.3205555555556,58.6827777777778,9
Республика Башкортостан,Учалинский,Мишкино,д,100,53.9997222222222,59.1052777777778,71
Челябинская область,Кизильский район,Мартыновка,п,106,52.8877777777778,59.0758333333333,60
Республика Башкортостан,Баймакский,Давлетово,д,13,52.7386111111111,58.5886111111111,73
Челябинская область,Верхнеуральский район,Сафроновский,п,203,53.8908333333333,59.3386111111111,67
Челябинская область,Кизильский район,Смородинка,п,228,52.6780555555556,59.0361111111111,81
Республика Башкортостан,Белорецкий,Тирлянский,с,5664,54.2111111111111,58.5866666666667,91
Республика Башкортостан,Баймакский,1-е Туркменево,с,835,52.8772222222222,58.5161111111111,59
Республика Башкортостан,Баймакский,Мукасово 2-е,д,28,52.7680555555556,58.5972222222222,70
Челябинская область,Верхнеуральский район,Спасский,п,1472,53.7030555555556,59.1988888888889,45
Республика Башкортостан,Баймакский,Баймурзино,д,6,53.1761111111111,58.1830555555556,45
Челябинская область,Агаповский район,Светлогорск,п,890,53.1363888888889,59.1519444444444,38
Республика Башкортостан,Учалинский,Миндяк,с,2399,54.0188888888889,58.7961111111111,69
Республика Башкортостан,Баймакский,Верхнетавлыкаево,с,798,52.7005555555556,58.0863888888889,89
Челябинская область,Агаповский район,Просторный,п,114,53.3222222222222,59.4708333333333,48
Республика Башкортостан,Белорецкий,Ломовка,с,2841,53.9211111111111,58.3680555555556,64
Республика Башкортостан,Учалинский,Узунгулово,д,163,53.9416666666667,58.8158333333333,61
Челябинская область,Верхнеуральский район,Форштадт,с,1142,53.8905555555556,59.2008333333333,62
Республика Башкортостан,Абзелиловский,Гусево,с,912,53.2666666666667,58.735,14
Челябинская область,Нагайбакский район,Курганный,п,338,53.4594444444444,59.6686111111111,61
Челябинская область,Верхнеуральский район,Подольский,п,186,53.8555555555556,59.6547222222222,78
Челябинская область,Нагайбакский район,Ягодная,д,0,53.6572222222222,59.5447222222222,60
Республика Башкортостан,Баймакский,Мунасипово,д,73,52.5202777777778,58.3827777777778,100
Республика Башкортостан,Белорецкий,Кудашманово,д,7,53.89,57.8333333333333,82
Челябинская область,Агаповский район,Новоянгелька,п,620,53.2005555555556,58.9188888888889,24
